trades,sessions,win_rate,profit_factor,expectancy,total_r,symbol,target
145,100,0.35172413793103446,1.0027675246359111,0.0017379310344827633,0.25200000000000067,AUDJPY,2.0
47,36,0.23404255319148937,0.48065555555555556,-0.39779574468085105,-18.6964,AUDUSD,2.0
40,30,0.4,1.1681875,0.10091249999999999,4.036499999999999,BRENTCMDUSD,2.0
33,26,0.45454545454545453,1.3562906259468668,0.1888545454545454,6.232199999999999,BTCUSD,2.0
9,7,0.3333333333333333,0.7951166666666666,-0.13658888888888887,-1.2292999999999998,COPPERCMDUSD,2.0
5,5,0.6,0.6985499999999999,-0.12058000000000002,-0.6029000000000001,EURGBP,2.0
67,53,0.3283582089552239,0.9257399999999999,-0.04987611940298508,-3.3417000000000003,EURJPY,2.0
69,48,0.3188405797101449,0.8689646232167143,-0.08643188405797103,-5.963800000000001,EURUSD,2.0
30,24,0.3333333333333333,0.8808411947221614,-0.07603999999999998,-2.2811999999999997,GBPJPY,2.0
83,59,0.3132530120481928,0.739401077622193,-0.1748734939759036,-14.514499999999998,GBPUSD,2.0
67,49,0.208955223880597,0.5264133025833834,-0.3647253731343284,-24.436600000000002,LIGHTCMDUSD,2.0
14,12,0.35714285714285715,1.0208373928293064,0.012221428571428562,0.17109999999999986,NZDUSD,2.0
159,114,0.3836477987421384,1.062664890864516,0.03716729559748428,5.9096,USATECHIDXUSD,2.0
37,27,0.35135135135135137,0.8001128986734407,-0.12441351351351351,-4.6033,USDCAD,2.0
24,23,0.5416666666666666,2.1166272727272726,0.5117875,12.2829,USDCHF,2.0
125,81,0.312,0.836665524246388,-0.11018400000000003,-13.773000000000003,USDJPY,2.0
59,50,0.3728813559322034,0.8371724750150338,-0.09637457627118644,-5.6861,XAGUSD,2.0
183,123,0.33879781420765026,0.9662486588558431,-0.02148743169398908,-3.9322000000000017,XAUUSD,2.0
