run_tag,symbol,preset,model,ticket,direction,ny_day,entry_time_ny,exit_time_ny,entry_price,exit_price,sl_price,tp_price,risk_points,r_realized,mfe_r,mae_r,spread_pts_entry,range_high,range_low,range_pts,atr_pts,range_atr_ratio,rvol,bias,lots,profit_ccy,balance_after,bars_held,exit_reason
orb_break_direct_fixed_r_t2.0_rvol1.5,AUDJPY,ORB,break_direct,1,SHORT,2026-03-06,2026-03-06 09:36:00+00:00,2026-03-06 10:02:00+00:00,110.24158,110.49800,110.49800,109.72873,25.6,-1.0000,0.4663,1.2847,1.1,110.49800,110.28800,21.0,12.0,1.751,1.667,OFF,0.00,-50.00,9950.00,26,stop_loss
orb_break_direct_fixed_r_t2.0_rvol1.5,AUDJPY,ORB,break_direct,2,LONG,2026-03-06,2026-03-06 10:05:00+00:00,2026-03-06 15:54:00+00:00,110.52880,110.90860,110.28800,111.01040,24.1,1.5773,1.8239,0.9543,1.0,110.49800,110.28800,21.0,12.0,1.751,1.667,OFF,0.00,78.47,10028.47,349,session_flat
orb_break_direct_fixed_r_t2.0_rvol1.5,AUDJPY,ORB,break_direct,3,SHORT,2026-03-19,2026-03-19 09:41:00+00:00,2026-03-19 09:56:00+00:00,111.15720,111.37400,111.37400,110.72360,21.7,-1.0000,0.0000,1.0092,1.0,111.37400,111.20300,17.1,11.8,1.447,1.718,OFF,0.00,-50.14,9978.33,15,stop_loss
orb_break_direct_fixed_r_t2.0_rvol1.5,AUDJPY,ORB,break_direct,4,LONG,2026-03-19,2026-03-19 09:59:00+00:00,2026-03-19 15:05:00+00:00,111.39322,111.77367,111.20300,111.77367,19.0,2.0000,2.3750,0.7582,1.2,111.37400,111.20300,17.1,11.8,1.447,1.718,OFF,0.00,99.78,10078.11,306,take_profit
orb_break_direct_fixed_r_t2.0_rvol1.5,AUDJPY,ORB,break_direct,5,LONG,2026-03-23,2026-03-23 09:37:00+00:00,2026-03-23 10:17:00+00:00,111.23502,111.52907,111.08800,111.52907,14.7,2.0000,2.0879,0.2858,1.0,111.21500,111.08800,12.7,11.7,1.083,1.770,OFF,0.00,100.78,10178.89,40,take_profit
orb_break_direct_fixed_r_t2.0_rvol1.5,AUDJPY,ORB,break_direct,6,SHORT,2026-04-17,2026-04-17 09:39:00+00:00,2026-04-17 10:16:00+00:00,114.08175,113.76726,114.23900,113.76726,15.7,2.0000,2.2560,0.7329,1.0,114.23900,114.10400,13.5,7.4,1.831,1.604,OFF,0.00,101.79,10280.68,37,take_profit
orb_break_direct_fixed_r_t2.0_rvol1.5,AUDJPY,ORB,break_direct,7,LONG,2026-06-01,2026-06-01 09:36:00+00:00,2026-06-01 09:49:00+00:00,114.18195,114.08900,114.08900,114.36785,9.3,-1.0000,0.2265,1.0430,0.6,114.17700,114.08900,8.8,5.6,1.575,2.092,OFF,0.00,-51.40,10229.28,13,stop_loss
orb_break_direct_fixed_r_t2.0_rvol1.5,AUDJPY,ORB,break_direct,8,SHORT,2026-06-01,2026-06-01 09:51:00+00:00,2026-06-01 11:29:00+00:00,114.06571,114.17700,114.17700,113.84314,11.1,-1.0000,0.9409,1.1078,0.7,114.17700,114.08900,8.8,5.6,1.575,2.092,OFF,0.00,-51.15,10178.13,98,stop_loss
orb_break_direct_fixed_r_t2.0_rvol1.5,AUDJPY,ORB,break_direct,9,LONG,2026-06-10,2026-06-10 09:36:00+00:00,2026-06-10 11:10:00+00:00,112.69194,112.61600,112.61600,112.84381,7.6,-1.0000,1.9234,1.0922,0.6,112.66600,112.61600,5.0,6.1,0.814,1.864,OFF,0.00,-50.89,10127.24,94,stop_loss
orb_break_direct_fixed_r_t2.0_rvol1.5,AUDJPY,ORB,break_direct,10,LONG,2026-06-11,2026-06-11 09:44:00+00:00,2026-06-11 10:03:00+00:00,112.20373,112.11700,112.11700,112.37720,8.7,-1.0000,0.6257,1.0576,0.5,112.19500,112.11700,7.8,6.1,1.286,1.824,OFF,0.00,-50.64,10076.60,19,stop_loss
orb_break_direct_fixed_r_t2.0_rvol1.5,AUDJPY,ORB,break_direct,11,SHORT,2026-06-11,2026-06-11 10:06:00+00:00,2026-06-11 10:36:00+00:00,112.11015,112.19500,112.19500,111.94046,8.5,-1.0000,0.8858,1.0118,0.6,112.19500,112.11700,7.8,6.1,1.286,1.824,OFF,0.00,-50.38,10026.22,30,stop_loss
orb_break_direct_fixed_r_t2.0_rvol1.5,AUDJPY,ORB,break_direct,12,LONG,2026-07-02,2026-07-02 09:36:00+00:00,2026-07-02 10:41:00+00:00,111.66556,111.54100,111.54100,111.91468,12.5,-1.0000,0.5896,1.0321,0.7,111.62600,111.54100,8.5,6.6,1.288,1.532,OFF,0.00,-50.13,9976.09,65,stop_loss
orb_break_direct_fixed_r_t2.0_rvol1.5,AUDJPY,ORB,break_direct,13,LONG,2026-07-14,2026-07-14 09:37:00+00:00,2026-07-14 10:34:00+00:00,112.99192,113.16377,112.90600,113.16377,8.6,2.0000,2.1423,0.1504,0.6,112.96400,112.90600,5.8,5.7,1.010,1.589,OFF,0.00,99.76,10075.85,57,take_profit
