run_tag,symbol,preset,model,ticket,direction,ny_day,entry_time_ny,exit_time_ny,entry_price,exit_price,sl_price,tp_price,risk_points,r_realized,mfe_r,mae_r,spread_pts_entry,range_high,range_low,range_pts,atr_pts,range_atr_ratio,rvol,bias,lots,profit_ccy,balance_after,bars_held,exit_reason
rvoltest_1.05,AUDJPY,ORB,break_direct,1,LONG,2026-02-05,2026-02-05 09:38:00+00:00,2026-02-05 10:00:00+00:00,109.30730,109.14500,109.14500,109.63191,16.2,-1.0000,1.3290,0.9692,0.7,109.28400,109.14500,13.9,20.1,0.692,1.450,OFF,0.00,-50.00,9950.00,22,stop_loss
rvoltest_1.05,AUDJPY,ORB,break_direct,2,SHORT,2026-02-05,2026-02-05 10:13:00+00:00,2026-02-05 10:32:00+00:00,109.11245,108.76936,109.28400,108.76936,17.2,2.0000,2.1770,0.7260,0.5,109.28400,109.14500,13.9,20.1,0.692,1.450,OFF,0.00,99.50,10049.50,19,take_profit
rvoltest_1.05,AUDJPY,ORB,break_direct,3,SHORT,2026-02-11,2026-02-11 09:38:00+00:00,2026-02-11 09:57:00+00:00,109.49627,109.26080,109.61400,109.26080,11.8,2.0000,2.1512,0.3545,0.5,109.61400,109.49900,11.5,18.0,0.638,1.337,OFF,0.00,100.50,10150.00,19,take_profit
rvoltest_1.05,AUDJPY,ORB,break_direct,4,SHORT,2026-02-11,2026-02-11 09:59:00+00:00,2026-02-11 10:30:00+00:00,109.36396,108.86388,109.61400,108.86388,25.0,2.0000,2.2475,0.0762,0.8,109.61400,109.49900,11.5,18.0,0.638,1.337,OFF,0.00,101.50,10251.49,31,take_profit
rvoltest_1.05,AUDJPY,ORB,break_direct,5,SHORT,2026-02-13,2026-02-13 09:38:00+00:00,2026-02-13 10:11:00+00:00,108.07822,108.28800,108.28800,107.65867,21.0,-1.0000,1.8411,1.1668,0.6,108.28800,108.11400,17.4,16.4,1.058,1.273,OFF,0.00,-51.26,10200.24,33,stop_loss
rvoltest_1.05,AUDJPY,ORB,break_direct,6,SHORT,2026-02-13,2026-02-13 10:17:00+00:00,2026-02-13 10:30:00+00:00,108.04487,108.28800,108.28800,107.55862,24.3,-1.0000,0.1270,1.0411,0.4,108.28800,108.11400,17.4,16.4,1.058,1.273,OFF,0.00,-51.00,10149.24,13,stop_loss
rvoltest_1.05,AUDJPY,ORB,break_direct,7,LONG,2026-02-17,2026-02-17 09:38:00+00:00,2026-02-17 09:47:00+00:00,108.26029,108.10100,108.10100,108.57886,15.9,-1.0000,0.4942,1.0816,0.9,108.23500,108.10100,13.4,15.3,0.874,1.314,OFF,0.00,-50.75,10098.49,9,stop_loss
rvoltest_1.05,AUDJPY,ORB,break_direct,8,SHORT,2026-02-17,2026-02-17 09:51:00+00:00,2026-02-17 10:05:00+00:00,108.03555,108.23500,108.23500,107.63665,19.9,-1.0000,0.2635,1.0301,0.7,108.23500,108.10100,13.4,15.3,0.874,1.314,OFF,0.00,-50.49,10048.00,14,stop_loss
rvoltest_1.05,AUDJPY,ORB,break_direct,9,LONG,2026-02-18,2026-02-18 09:37:00+00:00,2026-02-18 15:54:00+00:00,108.94830,109.02754,108.79400,109.25690,15.4,0.5135,1.6636,0.7148,0.5,108.91500,108.79400,12.1,15.2,0.798,1.145,OFF,0.00,25.80,10073.80,377,session_flat
rvoltest_1.05,AUDJPY,ORB,break_direct,10,SHORT,2026-02-26,2026-02-26 09:46:00+00:00,2026-02-26 10:16:00+00:00,110.82324,110.49572,110.98700,110.49572,16.4,2.0000,2.0533,0.2428,0.8,110.98700,110.84600,14.1,12.5,1.125,1.161,OFF,0.00,100.74,10174.53,30,take_profit
rvoltest_1.05,AUDJPY,ORB,break_direct,11,SHORT,2026-02-27,2026-02-27 09:44:00+00:00,2026-02-27 09:48:00+00:00,110.85464,110.99000,110.99000,110.58392,13.5,-1.0000,0.0121,0.9852,0.7,110.99000,110.89000,10.0,12.1,0.826,1.067,OFF,0.00,-50.87,10123.66,4,stop_loss
rvoltest_1.05,AUDJPY,ORB,break_direct,12,LONG,2026-02-27,2026-02-27 09:54:00+00:00,2026-02-27 10:55:00+00:00,111.01138,111.25413,110.89000,111.25413,12.1,2.0000,2.0648,0.5963,0.7,110.99000,110.89000,10.0,12.1,0.826,1.067,OFF,0.00,101.24,10224.90,61,take_profit
rvoltest_1.05,AUDJPY,ORB,break_direct,13,LONG,2026-03-02,2026-03-02 09:36:00+00:00,2026-03-02 11:31:00+00:00,111.37992,111.16100,111.16100,111.81775,21.9,-1.0000,1.4576,1.0411,0.8,111.33300,111.16100,17.2,11.5,1.490,1.317,OFF,0.00,-51.12,10173.77,115,stop_loss
rvoltest_1.05,AUDJPY,ORB,break_direct,14,SHORT,2026-03-03,2026-03-03 09:42:00+00:00,2026-03-03 10:06:00+00:00,110.33280,109.79641,110.60100,109.79641,26.8,2.0000,2.0351,0.0977,0.8,110.60100,110.39800,20.3,11.8,1.725,1.351,OFF,0.00,101.74,10275.51,24,take_profit
rvoltest_1.05,AUDJPY,ORB,break_direct,15,SHORT,2026-03-04,2026-03-04 09:36:00+00:00,2026-03-04 10:00:00+00:00,110.76589,110.94500,110.94500,110.40767,17.9,-1.0000,0.1278,1.0000,1.0,110.94500,110.82900,11.6,12.4,0.935,1.215,OFF,0.00,-51.38,10224.13,24,stop_loss
rvoltest_1.05,AUDJPY,ORB,break_direct,16,LONG,2026-03-04,2026-03-04 10:20:00+00:00,2026-03-04 12:32:00+00:00,110.99694,110.82900,110.82900,111.33282,16.8,-1.0000,1.0305,1.0715,1.0,110.94500,110.82900,11.6,12.4,0.935,1.215,OFF,0.00,-51.12,10173.01,132,stop_loss
rvoltest_1.05,AUDJPY,ORB,break_direct,17,SHORT,2026-03-06,2026-03-06 09:36:00+00:00,2026-03-06 10:02:00+00:00,110.24158,110.49800,110.49800,109.72873,25.6,-1.0000,0.4663,1.2847,1.1,110.49800,110.28800,21.0,12.0,1.751,1.667,OFF,0.00,-50.87,10122.15,26,stop_loss
rvoltest_1.05,AUDJPY,ORB,break_direct,18,LONG,2026-03-06,2026-03-06 10:05:00+00:00,2026-03-06 15:54:00+00:00,110.52880,110.90860,110.28800,111.01040,24.1,1.5773,1.8239,0.9543,1.0,110.49800,110.28800,21.0,12.0,1.751,1.667,OFF,0.00,79.83,10201.97,349,session_flat
rvoltest_1.05,AUDJPY,ORB,break_direct,19,SHORT,2026-03-09,2026-03-09 09:38:00+00:00,2026-03-09 09:58:00+00:00,111.20916,111.30300,111.30300,111.02148,9.4,-1.0000,0.8542,0.9574,0.8,111.30300,111.21700,8.6,13.3,0.648,1.496,OFF,0.00,-51.01,10150.96,20,stop_loss
rvoltest_1.05,AUDJPY,ORB,break_direct,20,LONG,2026-03-09,2026-03-09 10:04:00+00:00,2026-03-09 10:06:00+00:00,111.32532,111.21700,111.21700,111.54195,10.8,-1.0000,0.5141,1.4616,0.9,111.30300,111.21700,8.6,13.3,0.648,1.496,OFF,0.00,-50.75,10100.21,2,stop_loss
rvoltest_1.05,AUDJPY,ORB,break_direct,21,SHORT,2026-03-10,2026-03-10 09:52:00+00:00,2026-03-10 10:05:00+00:00,112.24626,112.37600,112.37600,111.98677,13.0,-1.0000,0.2101,1.1387,0.9,112.37600,112.25700,11.9,12.9,0.921,1.296,OFF,0.00,-50.50,10049.71,13,stop_loss
rvoltest_1.05,AUDJPY,ORB,break_direct,22,SHORT,2026-03-10,2026-03-10 10:08:00+00:00,2026-03-10 10:20:00+00:00,112.23996,112.37600,112.37600,111.96789,13.6,-1.0000,0.1173,1.0147,0.8,112.37600,112.25700,11.9,12.9,0.921,1.296,OFF,0.00,-50.25,9999.46,12,stop_loss
rvoltest_1.05,AUDJPY,ORB,break_direct,23,SHORT,2026-03-12,2026-03-12 09:37:00+00:00,2026-03-12 10:41:00+00:00,113.03544,112.79633,113.15500,112.79633,12.0,2.0000,2.0279,0.4898,0.7,113.15500,113.06000,9.5,12.7,0.751,1.163,OFF,0.00,99.99,10099.45,64,take_profit
rvoltest_1.05,AUDJPY,ORB,break_direct,24,SHORT,2026-03-19,2026-03-19 09:41:00+00:00,2026-03-19 09:56:00+00:00,111.15720,111.37400,111.37400,110.72360,21.7,-1.0000,0.0000,1.0092,1.0,111.37400,111.20300,17.1,11.8,1.447,1.718,OFF,0.00,-50.50,10048.96,15,stop_loss
rvoltest_1.05,AUDJPY,ORB,break_direct,25,LONG,2026-03-19,2026-03-19 09:59:00+00:00,2026-03-19 15:05:00+00:00,111.39322,111.77367,111.20300,111.77367,19.0,2.0000,2.3750,0.7582,1.2,111.37400,111.20300,17.1,11.8,1.447,1.718,OFF,0.00,100.49,10149.45,306,take_profit
rvoltest_1.05,AUDJPY,ORB,break_direct,26,LONG,2026-03-20,2026-03-20 09:44:00+00:00,2026-03-20 09:50:00+00:00,112.23030,112.10000,112.10000,112.49089,13.0,-1.0000,0.2587,1.2302,0.7,112.18800,112.10000,8.8,12.3,0.714,1.094,OFF,0.00,-50.75,10098.70,6,stop_loss
rvoltest_1.05,AUDJPY,ORB,break_direct,27,SHORT,2026-03-20,2026-03-20 09:52:00+00:00,2026-03-20 12:20:00+00:00,112.00856,112.18800,112.18800,111.64969,17.9,-1.0000,1.0342,1.0836,0.9,112.18800,112.10000,8.8,12.3,0.714,1.094,OFF,0.00,-50.49,10048.21,148,stop_loss
rvoltest_1.05,AUDJPY,ORB,break_direct,28,LONG,2026-03-23,2026-03-23 09:37:00+00:00,2026-03-23 10:17:00+00:00,111.23502,111.52907,111.08800,111.52907,14.7,2.0000,2.0879,0.2858,1.0,111.21500,111.08800,12.7,11.7,1.083,1.770,OFF,0.00,100.48,10148.69,40,take_profit
rvoltest_1.05,AUDJPY,ORB,break_direct,29,SHORT,2026-03-24,2026-03-24 09:44:00+00:00,2026-03-24 09:57:00+00:00,110.44062,110.55500,110.55500,110.21187,11.4,-1.0000,0.1278,1.0525,1.1,110.55500,110.45000,10.5,11.2,0.939,1.320,OFF,0.00,-50.74,10097.95,13,stop_loss
rvoltest_1.05,AUDJPY,ORB,break_direct,30,LONG,2026-03-24,2026-03-24 10:00:00+00:00,2026-03-24 13:05:00+00:00,110.57581,110.45000,110.45000,110.82744,12.6,-1.0000,1.8931,1.1431,0.8,110.55500,110.45000,10.5,11.2,0.939,1.320,OFF,0.00,-50.49,10047.46,185,stop_loss
rvoltest_1.05,AUDJPY,ORB,break_direct,31,SHORT,2026-04-17,2026-04-17 09:39:00+00:00,2026-04-17 10:16:00+00:00,114.08175,113.76726,114.23900,113.76726,15.7,2.0000,2.2560,0.7329,1.0,114.23900,114.10400,13.5,7.4,1.831,1.604,OFF,0.00,100.47,10147.93,37,take_profit
rvoltest_1.05,AUDJPY,ORB,break_direct,32,LONG,2026-04-30,2026-04-30 09:36:00+00:00,2026-04-30 09:49:00+00:00,112.14878,112.31634,112.06500,112.31634,8.4,2.0000,2.8076,0.1764,0.6,112.13800,112.06500,7.3,6.5,1.128,1.399,OFF,0.00,101.48,10249.41,13,take_profit
rvoltest_1.05,AUDJPY,ORB,break_direct,33,SHORT,2026-05-12,2026-05-12 09:49:00+00:00,2026-05-12 10:05:00+00:00,113.80371,113.90100,113.90100,113.60913,9.7,-1.0000,0.6240,1.0411,0.7,113.90100,113.82400,7.7,5.6,1.382,1.055,OFF,0.00,-51.25,10198.16,16,stop_loss
rvoltest_1.05,AUDJPY,ORB,break_direct,34,LONG,2026-05-12,2026-05-12 10:12:00+00:00,2026-05-12 10:34:00+00:00,113.91377,113.82400,113.82400,114.09330,9.0,-1.0000,0.4148,1.0668,0.8,113.90100,113.82400,7.7,5.6,1.382,1.055,OFF,0.00,-50.99,10147.17,22,stop_loss
rvoltest_1.05,AUDJPY,ORB,break_direct,35,SHORT,2026-05-19,2026-05-19 09:47:00+00:00,2026-05-19 09:54:00+00:00,112.97667,113.08600,113.08600,112.75801,10.9,-1.0000,0.3720,1.0091,0.7,113.08600,112.98300,10.3,5.7,1.794,1.296,OFF,0.00,-50.74,10096.44,7,stop_loss
rvoltest_1.05,AUDJPY,ORB,break_direct,36,LONG,2026-05-19,2026-05-19 09:56:00+00:00,2026-05-19 10:14:00+00:00,113.11367,112.98300,112.98300,113.37502,13.1,-1.0000,0.0408,1.1607,0.7,113.08600,112.98300,10.3,5.7,1.794,1.296,OFF,0.00,-50.48,10045.95,18,stop_loss
rvoltest_1.05,AUDJPY,ORB,break_direct,37,LONG,2026-05-27,2026-05-27 10:17:00+00:00,2026-05-27 10:33:00+00:00,113.78988,113.68500,113.68500,113.99963,10.5,-1.0000,0.3445,1.1907,0.6,113.78100,113.68500,9.6,5.4,1.792,1.069,OFF,0.00,-50.23,9995.72,16,stop_loss
rvoltest_1.05,AUDJPY,ORB,break_direct,38,LONG,2026-06-01,2026-06-01 09:36:00+00:00,2026-06-01 09:49:00+00:00,114.18195,114.08900,114.08900,114.36785,9.3,-1.0000,0.2265,1.0430,0.6,114.17700,114.08900,8.8,5.6,1.575,2.092,OFF,0.00,-49.98,9945.74,13,stop_loss
rvoltest_1.05,AUDJPY,ORB,break_direct,39,SHORT,2026-06-01,2026-06-01 09:51:00+00:00,2026-06-01 11:29:00+00:00,114.06571,114.17700,114.17700,113.84314,11.1,-1.0000,0.9409,1.1078,0.7,114.17700,114.08900,8.8,5.6,1.575,2.092,OFF,0.00,-49.73,9896.02,98,stop_loss
rvoltest_1.05,AUDJPY,ORB,break_direct,40,SHORT,2026-06-05,2026-06-05 09:37:00+00:00,2026-06-05 10:07:00+00:00,113.57519,113.33156,113.69700,113.33156,12.2,2.0000,2.0785,0.1791,0.6,113.69700,113.60600,9.1,5.5,1.657,1.493,OFF,0.00,98.96,9994.98,30,take_profit
rvoltest_1.05,AUDJPY,ORB,break_direct,41,SHORT,2026-06-08,2026-06-08 09:36:00+00:00,2026-06-08 15:54:00+00:00,113.02329,112.86186,113.11500,112.83988,9.2,1.7603,1.9987,0.5965,0.5,113.11500,113.04000,7.5,6.0,1.251,1.466,OFF,0.00,87.97,10082.95,378,session_flat
rvoltest_1.05,AUDJPY,ORB,break_direct,42,LONG,2026-06-10,2026-06-10 09:36:00+00:00,2026-06-10 11:10:00+00:00,112.69194,112.61600,112.61600,112.84381,7.6,-1.0000,1.9234,1.0922,0.6,112.66600,112.61600,5.0,6.1,0.814,1.864,OFF,0.00,-50.41,10032.53,94,stop_loss
rvoltest_1.05,AUDJPY,ORB,break_direct,43,LONG,2026-06-11,2026-06-11 09:44:00+00:00,2026-06-11 10:03:00+00:00,112.20373,112.11700,112.11700,112.37720,8.7,-1.0000,0.6257,1.0576,0.5,112.19500,112.11700,7.8,6.1,1.286,1.824,OFF,0.00,-50.16,9982.37,19,stop_loss
rvoltest_1.05,AUDJPY,ORB,break_direct,44,SHORT,2026-06-11,2026-06-11 10:06:00+00:00,2026-06-11 10:36:00+00:00,112.11015,112.19500,112.19500,111.94046,8.5,-1.0000,0.8858,1.0118,0.6,112.19500,112.11700,7.8,6.1,1.286,1.824,OFF,0.00,-49.91,9932.46,30,stop_loss
rvoltest_1.05,AUDJPY,ORB,break_direct,45,SHORT,2026-06-12,2026-06-12 09:41:00+00:00,2026-06-12 10:03:00+00:00,112.82337,112.90000,112.90000,112.67010,7.7,-1.0000,1.3097,1.0000,0.7,112.90000,112.85300,4.7,6.3,0.746,1.435,OFF,0.00,-49.66,9882.80,22,stop_loss
rvoltest_1.05,AUDJPY,ORB,break_direct,46,LONG,2026-06-18,2026-06-18 09:40:00+00:00,2026-06-18 10:15:00+00:00,113.06293,112.91200,112.91200,113.36480,15.1,-1.0000,0.0137,1.0398,0.6,113.02800,112.91200,11.6,6.7,1.744,1.254,OFF,0.00,-49.41,9833.38,35,stop_loss
rvoltest_1.05,AUDJPY,ORB,break_direct,47,LONG,2026-06-18,2026-06-18 10:22:00+00:00,2026-06-18 13:01:00+00:00,113.04409,113.30827,112.91200,113.30827,13.2,2.0000,2.0434,0.6442,0.6,113.02800,112.91200,11.6,6.7,1.744,1.254,OFF,0.00,98.33,9931.72,159,take_profit
rvoltest_1.05,AUDJPY,ORB,break_direct,48,LONG,2026-06-23,2026-06-23 09:41:00+00:00,2026-06-23 10:36:00+00:00,112.05795,111.95700,111.95700,112.25985,10.1,-1.0000,0.2977,1.0693,0.6,112.03600,111.95700,7.9,6.9,1.147,1.147,OFF,0.00,-49.66,9882.06,55,stop_loss
rvoltest_1.05,AUDJPY,ORB,break_direct,49,SHORT,2026-06-24,2026-06-24 09:44:00+00:00,2026-06-24 09:52:00+00:00,111.48512,111.59400,111.59400,111.26736,10.9,-1.0000,0.0746,1.0735,0.6,111.59400,111.49800,9.6,7.0,1.371,1.081,OFF,0.00,-49.41,9832.65,8,stop_loss
rvoltest_1.05,AUDJPY,ORB,break_direct,50,LONG,2026-06-24,2026-06-24 09:55:00+00:00,2026-06-24 10:17:00+00:00,111.60213,111.49800,111.49800,111.81037,10.4,-1.0000,0.0276,1.0096,0.6,111.59400,111.49800,9.6,7.0,1.371,1.081,OFF,0.00,-49.16,9783.48,22,stop_loss
rvoltest_1.05,AUDJPY,ORB,break_direct,51,LONG,2026-06-26,2026-06-26 09:45:00+00:00,2026-06-26 11:00:00+00:00,111.66257,111.57300,111.57300,111.84172,9.0,-1.0000,1.2104,0.9777,0.7,111.65500,111.57300,8.2,7.2,1.140,1.107,OFF,0.00,-48.92,9734.57,75,stop_loss
