run_tag,symbol,preset,model,ticket,direction,ny_day,entry_time_ny,exit_time_ny,entry_price,exit_price,sl_price,tp_price,risk_points,r_realized,mfe_r,mae_r,spread_pts_entry,range_high,range_low,range_pts,atr_pts,range_atr_ratio,rvol,bias,lots,profit_ccy,balance_after,bars_held,exit_reason
orb_break_direct_fixed_r_t1.5,AUDUSD,ORB,break_direct,1,LONG,2026-02-02,2026-02-02 09:36:00+00:00,2026-02-02 10:57:00+00:00,0.69594,0.69425,0.69425,0.69848,16.9,-1.0000,0.4819,1.0059,0.9,0.69591,0.69425,16.6,0.0,0.000,1.000,OFF,0.00,-50.00,9950.00,81,stop_loss
orb_break_direct_fixed_r_t1.5,AUDUSD,ORB,break_direct,2,SHORT,2026-02-04,2026-02-04 09:42:00+00:00,2026-02-04 10:57:00+00:00,0.70164,0.69969,0.70294,0.69969,13.0,1.5000,1.5552,0.6691,0.8,0.70294,0.70183,11.1,11.0,1.005,0.943,OFF,0.00,74.62,10024.62,75,take_profit
orb_break_direct_fixed_r_t1.5,AUDUSD,ORB,break_direct,3,LONG,2026-02-05,2026-02-05 09:38:00+00:00,2026-02-05 10:13:00+00:00,0.69719,0.69587,0.69587,0.69918,13.2,-1.0000,0.7440,1.0906,0.9,0.69674,0.69587,8.7,11.1,0.786,1.349,OFF,0.00,-50.12,9974.50,35,stop_loss
orb_break_direct_fixed_r_t1.5,AUDUSD,ORB,break_direct,4,SHORT,2026-02-05,2026-02-05 10:15:00+00:00,2026-02-05 10:36:00+00:00,0.69569,0.69411,0.69674,0.69411,10.5,1.5000,1.6005,0.7248,0.9,0.69674,0.69587,8.7,11.1,0.786,1.349,OFF,0.00,74.81,10049.31,21,take_profit
orb_break_direct_fixed_r_t1.5,AUDUSD,ORB,break_direct,5,LONG,2026-02-06,2026-02-06 09:38:00+00:00,2026-02-06 15:54:00+00:00,0.70068,0.70196,0.69915,0.70297,15.3,0.8360,1.1524,0.5093,0.8,0.70057,0.69915,14.2,10.5,1.356,0.965,OFF,0.00,42.01,10091.32,376,session_flat
orb_break_direct_fixed_r_t1.5,AUDUSD,ORB,break_direct,6,LONG,2026-02-11,2026-02-11 09:38:00+00:00,2026-02-11 09:41:00+00:00,0.71266,0.71182,0.71182,0.71392,8.4,-1.0000,0.1325,1.1907,0.8,0.71251,0.71182,6.9,9.4,0.734,1.225,OFF,0.00,-50.46,10040.86,3,stop_loss
orb_break_direct_fixed_r_t1.5,AUDUSD,ORB,break_direct,7,SHORT,2026-02-13,2026-02-13 09:38:00+00:00,2026-02-13 09:42:00+00:00,0.70678,0.70482,0.70809,0.70482,13.1,1.5000,1.6110,0.2136,0.8,0.70809,0.70712,9.7,8.6,1.128,1.403,OFF,0.00,75.31,10116.17,4,take_profit
orb_break_direct_fixed_r_t1.5,AUDUSD,ORB,break_direct,8,SHORT,2026-02-13,2026-02-13 09:44:00+00:00,2026-02-13 12:52:00+00:00,0.70572,0.70809,0.70809,0.70216,23.7,-1.0000,0.4262,1.0338,0.8,0.70809,0.70712,9.7,8.6,1.128,1.403,OFF,0.00,-50.58,10065.59,188,stop_loss
orb_break_direct_fixed_r_t1.5,AUDUSD,ORB,break_direct,9,SHORT,2026-02-17,2026-02-17 09:46:00+00:00,2026-02-17 10:25:00+00:00,0.70454,0.70303,0.70555,0.70303,10.1,1.5000,1.6268,0.5044,1.0,0.70555,0.70468,8.7,8.1,1.068,1.345,OFF,0.00,75.49,10141.08,39,take_profit
orb_break_direct_fixed_r_t1.5,AUDUSD,ORB,break_direct,10,LONG,2026-02-18,2026-02-18 09:44:00+00:00,2026-02-18 13:41:00+00:00,0.70611,0.70506,0.70506,0.70769,10.5,-1.0000,1.5117,0.9619,0.8,0.70594,0.70506,8.8,8.2,1.074,1.074,OFF,0.00,-50.71,10090.37,237,stop_loss
orb_break_direct_fixed_r_t1.5,AUDUSD,ORB,break_direct,11,SHORT,2026-02-19,2026-02-19 09:36:00+00:00,2026-02-19 09:44:00+00:00,0.70286,0.70378,0.70378,0.70149,9.2,-1.0000,0.5406,1.0109,0.9,0.70378,0.70318,6.0,8.2,0.728,0.909,OFF,0.00,-50.45,10039.92,8,stop_loss
orb_break_direct_fixed_r_t1.5,AUDUSD,ORB,break_direct,12,LONG,2026-02-20,2026-02-20 09:36:00+00:00,2026-02-20 10:01:00+00:00,0.70515,0.70652,0.70424,0.70652,9.1,1.5000,3.9491,0.6715,0.9,0.70506,0.70424,8.2,8.1,1.015,0.998,OFF,0.00,75.30,10115.22,25,take_profit
orb_break_direct_fixed_r_t1.5,AUDUSD,ORB,break_direct,13,LONG,2026-02-23,2026-02-23 09:38:00+00:00,2026-02-23 10:13:00+00:00,0.70811,0.70710,0.70710,0.70962,10.1,-1.0000,0.0910,1.0198,0.8,0.70805,0.70710,9.5,7.5,1.270,0.951,OFF,0.00,-50.58,10064.65,35,stop_loss
orb_break_direct_fixed_r_t1.5,AUDUSD,ORB,break_direct,14,SHORT,2026-02-23,2026-02-23 10:25:00+00:00,2026-02-23 11:04:00+00:00,0.70696,0.70532,0.70805,0.70532,10.9,1.5000,1.8348,0.4696,0.9,0.70805,0.70710,9.5,7.5,1.270,0.951,OFF,0.00,75.48,10140.13,39,take_profit
orb_break_direct_fixed_r_t1.5,AUDUSD,ORB,break_direct,15,LONG,2026-03-02,2026-03-02 09:36:00+00:00,2026-03-02 11:00:00+00:00,0.70732,0.70554,0.70554,0.71000,17.8,-1.0000,0.7769,0.9776,0.9,0.70691,0.70554,13.7,6.5,2.103,1.650,OFF,0.00,-50.70,10089.43,84,stop_loss
orb_break_direct_fixed_r_t1.5,AUDUSD,ORB,break_direct,16,SHORT,2026-03-03,2026-03-03 09:42:00+00:00,2026-03-03 10:08:00+00:00,0.69873,0.69599,0.70056,0.69599,18.3,1.5000,1.8244,0.1789,0.9,0.70056,0.69936,12.0,7.2,1.668,1.629,OFF,0.00,75.67,10165.10,26,take_profit
orb_break_direct_fixed_r_t1.5,AUDUSD,ORB,break_direct,17,SHORT,2026-03-04,2026-03-04 09:36:00+00:00,2026-03-04 10:00:00+00:00,0.70366,0.70521,0.70521,0.70133,15.5,-1.0000,0.0000,1.1095,1.0,0.70521,0.70469,5.2,7.6,0.688,1.546,OFF,0.00,-50.83,10114.28,24,stop_loss
orb_break_direct_fixed_r_t1.5,AUDUSD,ORB,break_direct,18,SHORT,2026-03-05,2026-03-05 09:40:00+00:00,2026-03-05 09:56:00+00:00,0.70210,0.70319,0.70319,0.70047,10.9,-1.0000,0.4824,1.1105,0.9,0.70319,0.70236,8.3,7.6,1.093,1.120,OFF,0.00,-50.57,10063.70,16,stop_loss
orb_break_direct_fixed_r_t1.5,AUDUSD,ORB,break_direct,19,LONG,2026-03-05,2026-03-05 09:58:00+00:00,2026-03-05 10:18:00+00:00,0.70348,0.70236,0.70236,0.70515,11.2,-1.0000,0.8616,0.9910,0.9,0.70319,0.70236,8.3,7.6,1.093,1.120,OFF,0.00,-50.32,10013.39,20,stop_loss
orb_break_direct_fixed_r_t1.5,AUDUSD,ORB,break_direct,20,SHORT,2026-03-06,2026-03-06 09:36:00+00:00,2026-03-06 09:51:00+00:00,0.69776,0.69944,0.69944,0.69524,16.8,-1.0000,0.0717,0.9881,1.0,0.69944,0.69844,10.0,7.5,1.335,1.933,OFF,0.00,-50.07,9963.32,15,stop_loss
orb_break_direct_fixed_r_t1.5,AUDUSD,ORB,break_direct,21,LONG,2026-03-06,2026-03-06 10:01:00+00:00,2026-03-06 15:54:00+00:00,0.70050,0.70240,0.69844,0.70359,20.6,0.9226,1.2358,0.4423,1.0,0.69944,0.69844,10.0,7.5,1.335,1.933,OFF,0.00,45.96,10009.28,353,session_flat
orb_break_direct_fixed_r_t1.5,AUDUSD,ORB,break_direct,22,SHORT,2026-03-09,2026-03-09 09:40:00+00:00,2026-03-09 10:05:00+00:00,0.70248,0.70345,0.70345,0.70102,9.7,-1.0000,0.9534,1.0925,0.9,0.70345,0.70271,7.4,8.0,0.922,1.501,OFF,0.00,-50.05,9959.23,25,stop_loss
orb_break_direct_fixed_r_t1.5,AUDUSD,ORB,break_direct,23,SHORT,2026-03-09,2026-03-09 10:07:00+00:00,2026-03-09 10:22:00+00:00,0.70161,0.70345,0.70345,0.69884,18.4,-1.0000,0.2051,1.3257,1.0,0.70345,0.70271,7.4,8.0,0.922,1.501,OFF,0.00,-49.80,9909.44,15,stop_loss
orb_break_direct_fixed_r_t1.5,AUDUSD,ORB,break_direct,24,SHORT,2026-03-10,2026-03-10 09:48:00+00:00,2026-03-10 10:30:00+00:00,0.71116,0.71249,0.71249,0.70917,13.3,-1.0000,0.3031,1.1205,1.0,0.71249,0.71130,11.9,7.9,1.500,1.285,OFF,0.00,-49.55,9859.89,42,stop_loss
