run_tag,symbol,preset,model,ticket,direction,ny_day,entry_time_ny,exit_time_ny,entry_price,exit_price,sl_price,tp_price,risk_points,r_realized,mfe_r,mae_r,spread_pts_entry,range_high,range_low,range_pts,atr_pts,range_atr_ratio,rvol,bias,lots,profit_ccy,balance_after,bars_held,exit_reason
orb_break_direct_fixed_r_t1.5,BRENTCMDUSD,ORB,break_direct,1,SHORT,2026-03-03,2026-03-03 09:42:00+00:00,2026-03-03 10:21:00+00:00,83.41867,84.02000,84.02000,82.51668,6013.3,-1.0000,0.3670,0.9834,526.6,84.02000,83.53800,4820.0,2304.3,2.092,1.657,OFF,0.00,-50.00,9950.00,39,stop_loss
orb_break_direct_fixed_r_t1.5,BRENTCMDUSD,ORB,break_direct,2,LONG,2026-03-03,2026-03-03 10:28:00+00:00,2026-03-03 10:42:00+00:00,84.05523,83.53800,83.53800,84.83106,5172.3,-1.0000,0.1929,1.0387,504.5,84.02000,83.53800,4820.0,2304.3,2.092,1.657,OFF,0.00,-49.75,9900.25,14,stop_loss
orb_break_direct_fixed_r_t1.5,BRENTCMDUSD,ORB,break_direct,3,SHORT,2026-03-11,2026-03-11 09:54:00+00:00,2026-03-11 10:08:00+00:00,89.11488,90.41500,90.41500,87.16470,13001.2,-1.0000,1.4628,1.4461,502.4,90.41500,89.30800,11070.0,5763.6,1.921,1.657,OFF,0.00,-49.50,9850.75,14,stop_loss
orb_break_direct_fixed_r_t1.5,BRENTCMDUSD,ORB,break_direct,4,LONG,2026-03-11,2026-03-11 10:10:00+00:00,2026-03-11 15:54:00+00:00,91.00446,92.11500,89.30800,93.54915,16964.6,0.6546,1.2529,0.5037,549.2,90.41500,89.30800,11070.0,5763.6,1.921,1.657,OFF,0.00,32.24,9882.99,344,session_flat
orb_break_direct_fixed_r_t1.5,BRENTCMDUSD,ORB,break_direct,5,LONG,2026-03-12,2026-03-12 09:48:00+00:00,2026-03-12 12:36:00+00:00,99.76500,98.58300,98.58300,101.53800,11820.0,-1.0000,1.5186,1.0465,500.0,99.49500,98.58300,9120.0,6329.3,1.441,1.576,OFF,0.00,-49.41,9833.58,168,stop_loss
orb_break_direct_fixed_r_t1.5,BRENTCMDUSD,ORB,break_direct,6,LONG,2026-03-16,2026-03-16 09:38:00+00:00,2026-03-16 09:49:00+00:00,102.21000,101.28500,101.28500,103.59750,9250.0,-1.0000,0.0432,1.2270,500.0,101.99000,101.28500,7050.0,6930.7,1.017,1.369,OFF,0.00,-49.17,9784.41,11,stop_loss
orb_break_direct_fixed_r_t1.5,BRENTCMDUSD,ORB,break_direct,7,SHORT,2026-03-16,2026-03-16 09:51:00+00:00,2026-03-16 10:42:00+00:00,100.97957,101.99000,101.99000,99.46393,10104.3,-1.0000,1.1427,1.0495,508.6,101.99000,101.28500,7050.0,6930.7,1.017,1.369,OFF,0.00,-48.92,9735.49,51,stop_loss
orb_break_direct_fixed_r_t1.5,BRENTCMDUSD,ORB,break_direct,8,LONG,2026-03-18,2026-03-18 09:49:00+00:00,2026-03-18 13:40:00+00:00,108.84000,107.68300,107.68300,110.57550,11570.0,-1.0000,0.9378,1.2463,500.0,108.60000,107.68300,9170.0,7384.3,1.242,1.131,OFF,0.00,-48.68,9686.81,231,stop_loss
orb_break_direct_fixed_r_t1.5,BRENTCMDUSD,ORB,break_direct,9,SHORT,2026-03-19,2026-03-19 09:39:00+00:00,2026-03-19 12:02:00+00:00,111.74641,109.67852,113.12500,109.67852,13785.9,1.5000,2.2439,0.7534,591.8,113.12500,112.35300,7720.0,7885.7,0.979,1.155,OFF,0.00,72.65,9759.46,143,take_profit
orb_break_direct_fixed_r_t1.5,BRENTCMDUSD,ORB,break_direct,10,LONG,2026-03-25,2026-03-25 09:39:00+00:00,2026-03-25 10:00:00+00:00,99.38502,100.32706,98.75700,100.32706,6280.2,1.5000,1.6591,0.6497,500.5,99.25500,98.75700,4980.0,8003.6,0.622,0.486,OFF,0.00,73.20,9832.66,21,take_profit
orb_break_direct_fixed_r_t1.5,BRENTCMDUSD,ORB,break_direct,11,LONG,2026-03-25,2026-03-25 10:02:00+00:00,2026-03-25 14:13:00+00:00,100.17159,102.29347,98.75700,102.29347,14145.9,1.5000,1.5506,0.1460,531.7,99.25500,98.75700,4980.0,8003.6,0.622,0.486,OFF,0.00,73.74,9906.40,250,take_profit
orb_break_direct_fixed_r_t1.5,BRENTCMDUSD,ORB,break_direct,12,LONG,2026-03-26,2026-03-26 09:40:00+00:00,2026-03-26 09:44:00+00:00,106.95003,106.30700,106.30700,107.91458,6430.3,-1.0000,0.2177,1.0778,500.6,106.88000,106.30700,5730.0,8177.1,0.701,0.440,OFF,0.00,-49.53,9856.87,4,stop_loss
orb_break_direct_fixed_r_t1.5,BRENTCMDUSD,ORB,break_direct,13,SHORT,2026-03-26,2026-03-26 09:48:00+00:00,2026-03-26 10:42:00+00:00,106.21172,106.88000,106.88000,105.20931,6682.8,-1.0000,0.6505,1.0703,505.5,106.88000,106.30700,5730.0,8177.1,0.701,0.440,OFF,0.00,-49.28,9807.58,53,stop_loss
orb_break_direct_fixed_r_t1.5,BRENTCMDUSD,ORB,break_direct,14,SHORT,2026-03-31,2026-03-31 09:43:00+00:00,2026-03-31 10:49:00+00:00,107.29000,107.88500,107.88500,106.39750,5950.0,-1.0000,1.2269,0.9664,500.0,107.88500,107.45300,4320.0,6150.0,0.702,0.577,OFF,0.00,-49.04,9758.55,66,stop_loss
orb_break_direct_fixed_r_t1.5,BRENTCMDUSD,ORB,break_direct,15,SHORT,2026-04-01,2026-04-01 09:38:00+00:00,2026-04-01 10:35:00+00:00,100.76409,101.86500,101.86500,99.11274,11009.1,-1.0000,0.2871,1.0045,518.1,101.86500,101.06800,7970.0,5667.9,1.406,0.839,OFF,0.00,-48.79,9709.75,57,stop_loss
orb_break_direct_fixed_r_t1.5,BRENTCMDUSD,ORB,break_direct,16,LONG,2026-04-02,2026-04-02 09:40:00+00:00,2026-04-02 09:47:00+00:00,109.40015,108.67500,108.67500,110.48788,7251.5,-1.0000,0.0481,1.0758,503.1,109.25500,108.67500,5800.0,5585.7,1.038,1.092,OFF,0.00,-48.55,9661.21,7,stop_loss
orb_break_direct_fixed_r_t1.5,BRENTCMDUSD,ORB,break_direct,17,SHORT,2026-04-02,2026-04-02 09:51:00+00:00,2026-04-02 10:33:00+00:00,108.48679,107.33447,109.25500,107.33447,7682.1,1.5000,1.5865,0.2125,524.2,109.25500,108.67500,5800.0,5585.7,1.038,1.092,OFF,0.00,72.46,9733.66,42,take_profit
orb_break_direct_fixed_r_t1.5,BRENTCMDUSD,ORB,break_direct,18,LONG,2026-04-07,2026-04-07 09:41:00+00:00,2026-04-07 10:46:00+00:00,110.55000,109.71300,109.71300,111.80550,8370.0,-1.0000,0.3943,1.0358,500.0,110.46500,109.71300,7520.0,5434.3,1.384,0.739,OFF,0.00,-48.67,9685.00,65,stop_loss
orb_break_direct_fixed_r_t1.5,BRENTCMDUSD,ORB,break_direct,19,LONG,2026-04-08,2026-04-08 09:39:00+00:00,2026-04-08 10:32:00+00:00,92.51673,94.29982,91.32800,94.29982,11887.3,1.5000,1.5632,0.8679,534.6,91.88500,91.32800,5570.0,5692.9,0.978,1.201,OFF,0.00,72.64,9757.63,53,take_profit
orb_break_direct_fixed_r_t1.5,BRENTCMDUSD,ORB,break_direct,20,LONG,2026-04-09,2026-04-09 09:52:00+00:00,2026-04-09 11:02:00+00:00,98.41527,99.34118,97.79800,99.34118,6172.7,1.5000,1.7087,0.3244,505.4,98.26000,97.79800,4620.0,5435.7,0.850,0.819,OFF,0.00,73.18,9830.82,70,take_profit
orb_break_direct_fixed_r_t1.5,BRENTCMDUSD,ORB,break_direct,21,SHORT,2026-04-15,2026-04-15 09:39:00+00:00,2026-04-15 09:56:00+00:00,94.31998,94.92000,94.92000,93.41996,6000.2,-1.0000,0.1166,1.0667,500.4,94.92000,94.51500,4050.0,4935.7,0.821,0.845,OFF,0.00,-49.15,9781.66,17,stop_loss
orb_break_direct_fixed_r_t1.5,BRENTCMDUSD,ORB,break_direct,22,SHORT,2026-04-17,2026-04-17 09:36:00+00:00,2026-04-17 09:47:00+00:00,88.80449,89.76500,89.76500,87.36372,9605.1,-1.0000,0.5148,0.9511,510.2,89.76500,88.92000,8450.0,4839.3,1.746,1.607,OFF,0.00,-48.91,9732.75,11,stop_loss
orb_break_direct_fixed_r_t1.5,BRENTCMDUSD,ORB,break_direct,23,SHORT,2026-04-17,2026-04-17 09:54:00+00:00,2026-04-17 10:33:00+00:00,88.83956,87.45140,89.76500,87.45140,9254.4,1.5000,1.5772,0.5948,508.8,89.76500,88.92000,8450.0,4839.3,1.746,1.607,OFF,0.00,73.00,9805.75,39,take_profit
orb_break_direct_fixed_r_t1.5,BRENTCMDUSD,ORB,break_direct,24,LONG,2026-04-20,2026-04-20 09:38:00+00:00,2026-04-20 10:08:00+00:00,93.36000,94.28850,92.74100,94.28850,6190.0,1.5000,1.6268,0.3393,500.0,93.29000,92.74100,5490.0,5033.6,1.091,1.228,OFF,0.00,73.54,9879.29,30,take_profit
orb_break_direct_fixed_r_t1.5,BRENTCMDUSD,ORB,break_direct,25,LONG,2026-04-22,2026-04-22 09:57:00+00:00,2026-04-22 11:43:00+00:00,100.71500,101.92550,99.90800,101.92550,8070.0,1.5000,1.5737,0.8860,500.0,100.69500,99.90800,7870.0,4990.0,1.577,1.302,OFF,0.00,74.09,9953.39,106,take_profit
orb_break_direct_fixed_r_t1.5,BRENTCMDUSD,ORB,break_direct,26,LONG,2026-04-23,2026-04-23 09:45:00+00:00,2026-04-23 10:24:00+00:00,103.19070,102.51500,102.51500,104.20425,6757.0,-1.0000,0.6131,0.9630,514.0,102.94000,102.51500,4250.0,5243.6,0.811,0.860,OFF,0.00,-49.77,9903.62,39,stop_loss
orb_break_direct_fixed_r_t1.5,BRENTCMDUSD,ORB,break_direct,27,LONG,2026-04-27,2026-04-27 09:43:00+00:00,2026-04-27 11:22:00+00:00,101.40055,102.26089,100.82700,102.26089,5735.5,1.5000,1.7425,0.9372,511.1,101.35500,100.82700,5280.0,5095.7,1.036,1.059,OFF,0.00,74.28,9977.90,99,take_profit
orb_break_direct_fixed_r_t1.5,BRENTCMDUSD,ORB,break_direct,28,LONG,2026-04-30,2026-04-30 09:36:00+00:00,2026-04-30 10:37:00+00:00,109.54062,110.88704,108.64300,110.88704,8976.2,1.5000,1.5646,0.1867,512.3,109.37500,108.64300,7320.0,4858.6,1.507,1.201,OFF,0.00,74.83,10052.73,61,take_profit
orb_break_direct_fixed_r_t1.5,BRENTCMDUSD,ORB,break_direct,29,SHORT,2026-05-01,2026-05-01 09:45:00+00:00,2026-05-01 10:12:00+00:00,108.69968,107.13170,109.74500,107.13170,10453.2,1.5000,1.9866,0.6126,546.4,109.74500,108.73500,10100.0,5051.4,1.999,1.137,OFF,0.00,75.40,10128.13,27,take_profit
orb_break_direct_fixed_r_t1.5,BRENTCMDUSD,ORB,break_direct,30,SHORT,2026-05-04,2026-05-04 10:19:00+00:00,2026-05-04 10:36:00+00:00,110.21100,111.05500,111.05500,108.94501,8440.0,-1.0000,0.3957,1.1979,519.9,111.05500,110.27500,7800.0,5562.1,1.402,1.525,OFF,0.00,-50.64,10077.49,17,stop_loss
orb_break_direct_fixed_r_t1.5,BRENTCMDUSD,ORB,break_direct,31,SHORT,2026-05-06,2026-05-06 09:36:00+00:00,2026-05-06 10:07:00+00:00,102.50149,103.55500,103.55500,100.92123,10535.1,-1.0000,0.3118,1.1044,510.2,103.55500,102.54800,10070.0,5770.7,1.745,1.225,OFF,0.00,-50.39,10027.10,31,stop_loss
orb_break_direct_fixed_r_t1.5,BRENTCMDUSD,ORB,break_direct,32,SHORT,2026-05-06,2026-05-06 10:11:00+00:00,2026-05-06 14:11:00+00:00,102.44943,100.79107,103.55500,100.79107,11055.7,1.5000,1.5914,0.4528,511.5,103.55500,102.54800,10070.0,5770.7,1.745,1.225,OFF,0.00,75.20,10102.30,240,take_profit
orb_break_direct_fixed_r_t1.5,BRENTCMDUSD,ORB,break_direct,33,LONG,2026-05-18,2026-05-18 09:37:00+00:00,2026-05-18 09:47:00+00:00,108.15500,107.63300,107.63300,108.93800,5220.0,-1.0000,0.6418,1.2548,500.0,108.08000,107.63300,4470.0,4968.6,0.900,0.887,OFF,0.00,-50.51,10051.79,10,stop_loss
orb_break_direct_fixed_r_t1.5,BRENTCMDUSD,ORB,break_direct,34,SHORT,2026-05-19,2026-05-19 09:38:00+00:00,2026-05-19 09:55:00+00:00,111.01500,110.20500,111.55500,110.20500,5400.0,1.5000,1.6019,0.6019,500.0,111.55500,111.11000,4450.0,4910.7,0.906,1.041,OFF,0.00,75.39,10127.18,17,take_profit
orb_break_direct_fixed_r_t1.5,BRENTCMDUSD,ORB,break_direct,35,SHORT,2026-05-19,2026-05-19 09:57:00+00:00,2026-05-19 14:30:00+00:00,110.34000,111.55500,111.55500,108.51750,12150.0,-1.0000,0.6930,1.0905,500.0,111.55500,111.11000,4450.0,4910.7,0.906,1.041,OFF,0.00,-50.64,10076.54,273,stop_loss
orb_break_direct_fixed_r_t1.5,BRENTCMDUSD,ORB,break_direct,36,SHORT,2026-05-21,2026-05-21 09:52:00+00:00,2026-05-21 13:10:00+00:00,107.79847,105.77117,109.15000,105.77117,13515.3,1.5000,1.8427,0.4562,1290.7,109.15000,108.44000,7100.0,4840.0,1.467,1.008,OFF,0.00,75.57,10152.12,198,take_profit
orb_break_direct_fixed_r_t1.5,BRENTCMDUSD,ORB,break_direct,37,LONG,2026-05-22,2026-05-22 09:43:00+00:00,2026-05-22 12:30:00+00:00,104.14301,103.16500,103.16500,105.61002,9780.1,-1.0000,0.5491,1.0767,520.2,104.05800,103.16500,8930.0,4824.3,1.851,0.922,OFF,0.00,-50.76,10101.36,167,stop_loss
orb_break_direct_fixed_r_t1.5,BRENTCMDUSD,ORB,break_direct,38,LONG,2026-06-01,2026-06-01 09:41:00+00:00,2026-06-01 09:51:00+00:00,95.90929,96.73623,95.35800,96.73623,5512.9,1.5000,1.6120,0.1656,525.9,95.85000,95.35800,4920.0,3956.4,1.244,1.431,OFF,0.00,75.76,10177.12,10,take_profit
orb_break_direct_fixed_r_t1.5,BRENTCMDUSD,ORB,break_direct,39,SHORT,2026-07-08,2026-07-08 09:41:00+00:00,2026-07-08 10:09:00+00:00,77.72416,78.39000,78.39000,76.72539,6658.4,-1.0000,0.3622,1.1877,616.9,78.39000,77.91300,4770.0,2468.6,1.932,1.596,OFF,0.00,-50.89,10126.23,28,stop_loss
orb_break_direct_fixed_r_t1.5,BRENTCMDUSD,ORB,break_direct,40,LONG,2026-07-08,2026-07-08 10:15:00+00:00,2026-07-08 10:27:00+00:00,78.57587,79.57017,77.91300,79.57017,6628.7,1.5000,1.5903,0.0541,617.4,78.39000,77.91300,4770.0,2468.6,1.932,1.596,OFF,0.00,75.95,10202.18,12,take_profit
