run_tag,symbol,preset,model,ticket,direction,ny_day,entry_time_ny,exit_time_ny,entry_price,exit_price,sl_price,tp_price,risk_points,r_realized,mfe_r,mae_r,spread_pts_entry,range_high,range_low,range_pts,atr_pts,range_atr_ratio,rvol,bias,lots,profit_ccy,balance_after,bars_held,exit_reason
orb_break_direct_fixed_r_t2.0_rvol1.5,BRENTCMDUSD,ORB,break_direct,1,SHORT,2026-03-03,2026-03-03 09:42:00+00:00,2026-03-03 10:21:00+00:00,83.41867,84.02000,84.02000,82.21601,6013.3,-1.0000,0.3670,0.9834,526.6,84.02000,83.53800,4820.0,2304.3,2.092,1.657,OFF,0.00,-50.00,9950.00,39,stop_loss
orb_break_direct_fixed_r_t2.0_rvol1.5,BRENTCMDUSD,ORB,break_direct,2,LONG,2026-03-03,2026-03-03 10:28:00+00:00,2026-03-03 10:42:00+00:00,84.05523,83.53800,83.53800,85.08968,5172.3,-1.0000,0.1929,1.0387,504.5,84.02000,83.53800,4820.0,2304.3,2.092,1.657,OFF,0.00,-49.75,9900.25,14,stop_loss
orb_break_direct_fixed_r_t2.0_rvol1.5,BRENTCMDUSD,ORB,break_direct,3,SHORT,2026-03-11,2026-03-11 09:54:00+00:00,2026-03-11 10:08:00+00:00,89.11488,90.41500,90.41500,86.51464,13001.2,-1.0000,1.4628,1.4461,502.4,90.41500,89.30800,11070.0,5763.6,1.921,1.657,OFF,0.00,-49.50,9850.75,14,stop_loss
orb_break_direct_fixed_r_t2.0_rvol1.5,BRENTCMDUSD,ORB,break_direct,4,LONG,2026-03-11,2026-03-11 10:10:00+00:00,2026-03-11 15:54:00+00:00,91.00446,92.11500,89.30800,94.39739,16964.6,0.6546,1.2529,0.5037,549.2,90.41500,89.30800,11070.0,5763.6,1.921,1.657,OFF,0.00,32.24,9882.99,344,session_flat
orb_break_direct_fixed_r_t2.0_rvol1.5,BRENTCMDUSD,ORB,break_direct,5,LONG,2026-03-12,2026-03-12 09:48:00+00:00,2026-03-12 12:36:00+00:00,99.76500,98.58300,98.58300,102.12900,11820.0,-1.0000,1.5186,1.0465,500.0,99.49500,98.58300,9120.0,6329.3,1.441,1.576,OFF,0.00,-49.41,9833.58,168,stop_loss
orb_break_direct_fixed_r_t2.0_rvol1.5,BRENTCMDUSD,ORB,break_direct,6,SHORT,2026-04-17,2026-04-17 09:36:00+00:00,2026-04-17 09:47:00+00:00,88.80449,89.76500,89.76500,86.88346,9605.1,-1.0000,0.5148,0.9511,510.2,89.76500,88.92000,8450.0,4839.3,1.746,1.607,OFF,0.00,-49.17,9784.41,11,stop_loss
orb_break_direct_fixed_r_t2.0_rvol1.5,BRENTCMDUSD,ORB,break_direct,7,SHORT,2026-04-17,2026-04-17 09:54:00+00:00,2026-04-17 10:40:00+00:00,88.83956,86.98868,89.76500,86.98868,9254.4,2.0000,2.3173,0.5948,508.8,89.76500,88.92000,8450.0,4839.3,1.746,1.607,OFF,0.00,97.84,9882.25,46,take_profit
orb_break_direct_fixed_r_t2.0_rvol1.5,BRENTCMDUSD,ORB,break_direct,8,SHORT,2026-05-04,2026-05-04 10:19:00+00:00,2026-05-04 10:36:00+00:00,110.21100,111.05500,111.05500,108.52301,8440.0,-1.0000,0.3957,1.1979,519.9,111.05500,110.27500,7800.0,5562.1,1.402,1.525,OFF,0.00,-49.41,9832.84,17,stop_loss
orb_break_direct_fixed_r_t2.0_rvol1.5,BRENTCMDUSD,ORB,break_direct,9,SHORT,2026-07-08,2026-07-08 09:41:00+00:00,2026-07-08 10:09:00+00:00,77.72416,78.39000,78.39000,76.39247,6658.4,-1.0000,0.3622,1.1877,616.9,78.39000,77.91300,4770.0,2468.6,1.932,1.596,OFF,0.00,-49.16,9783.68,28,stop_loss
orb_break_direct_fixed_r_t2.0_rvol1.5,BRENTCMDUSD,ORB,break_direct,10,LONG,2026-07-08,2026-07-08 10:15:00+00:00,2026-07-08 11:07:00+00:00,78.57587,79.90161,77.91300,79.90161,6628.7,2.0000,2.2163,0.0541,617.4,78.39000,77.91300,4770.0,2468.6,1.932,1.596,OFF,0.00,97.84,9881.51,52,take_profit
