run_tag,symbol,preset,model,ticket,direction,ny_day,entry_time_ny,exit_time_ny,entry_price,exit_price,sl_price,tp_price,risk_points,r_realized,mfe_r,mae_r,spread_pts_entry,range_high,range_low,range_pts,atr_pts,range_atr_ratio,rvol,bias,lots,profit_ccy,balance_after,bars_held,exit_reason
orb_break_direct_fixed_r_t1.5,BTCUSD,ORB,break_direct,1,LONG,2026-02-02,2026-02-02 09:36:00+00:00,2026-02-02 09:56:00+00:00,78621.28340,77894.80000,77894.80000,79711.00850,7264834.0,-1.0000,0.3181,1.0619,579668.0,78418.50000,77894.80000,5237000.0,0.0,0.000,1.000,OFF,0.00,-50.00,9950.00,20,stop_loss
orb_break_direct_fixed_r_t1.5,BTCUSD,ORB,break_direct,2,SHORT,2026-02-02,2026-02-02 09:58:00+00:00,2026-02-02 10:16:00+00:00,77791.36337,78418.50000,78418.50000,76850.65843,6271366.3,-1.0000,0.4825,0.9887,588732.6,78418.50000,77894.80000,5237000.0,0.0,0.000,1.000,OFF,0.00,-49.75,9900.25,18,stop_loss
orb_break_direct_fixed_r_t1.5,BTCUSD,ORB,break_direct,3,LONG,2026-02-04,2026-02-04 09:37:00+00:00,2026-02-04 09:53:00+00:00,75521.50000,74602.40000,74602.40000,76900.15000,9191000.0,-1.0000,0.0349,0.9810,500000.0,75326.00000,74602.40000,7236000.0,4679000.0,1.546,1.023,OFF,0.00,-49.50,9850.75,16,stop_loss
orb_break_direct_fixed_r_t1.5,BTCUSD,ORB,break_direct,4,SHORT,2026-02-04,2026-02-04 09:58:00+00:00,2026-02-04 12:10:00+00:00,74350.40000,72887.00000,75326.00000,72887.00000,9756000.0,1.5000,1.7045,0.8344,500000.0,75326.00000,74602.40000,7236000.0,4679000.0,1.546,1.023,OFF,0.00,73.88,9924.63,132,take_profit
orb_break_direct_fixed_r_t1.5,BTCUSD,ORB,break_direct,5,LONG,2026-02-05,2026-02-05 09:36:00+00:00,2026-02-05 09:52:00+00:00,70401.30000,69782.00000,69782.00000,71330.25000,6193000.0,-1.0000,0.5497,0.9805,500000.0,70379.10000,69782.00000,5971000.0,5531333.3,1.079,1.161,OFF,0.00,-49.62,9875.01,16,stop_loss
orb_break_direct_fixed_r_t1.5,BTCUSD,ORB,break_direct,6,SHORT,2026-02-05,2026-02-05 09:56:00+00:00,2026-02-05 10:11:00+00:00,69554.50000,68317.60000,70379.10000,68317.60000,8246000.0,1.5000,1.6712,0.1387,500000.0,70379.10000,69782.00000,5971000.0,5531333.3,1.079,1.161,OFF,0.00,74.06,9949.07,15,take_profit
orb_break_direct_fixed_r_t1.5,BTCUSD,ORB,break_direct,7,LONG,2026-02-06,2026-02-06 09:37:00+00:00,2026-02-06 11:53:00+00:00,68255.05874,70127.44686,67006.80000,70127.44686,12482587.4,1.5000,1.5512,0.4133,507174.9,68054.50000,67006.80000,10477000.0,5641250.0,1.857,1.556,OFF,0.00,74.62,10023.69,136,take_profit
orb_break_direct_fixed_r_t1.5,BTCUSD,ORB,break_direct,8,LONG,2026-02-09,2026-02-09 09:38:00+00:00,2026-02-09 12:35:00+00:00,69359.40000,70447.95000,68633.70000,70447.95000,7257000.0,1.5000,1.5462,0.8006,500000.0,69039.20000,68633.70000,4055000.0,6608400.0,0.614,1.088,OFF,0.00,75.18,10098.86,177,take_profit
orb_break_direct_fixed_r_t1.5,BTCUSD,ORB,break_direct,9,SHORT,2026-02-11,2026-02-11 09:36:00+00:00,2026-02-11 09:57:00+00:00,67567.98535,66580.51337,68226.30000,66580.51337,6583146.5,1.5000,1.7034,0.0380,500293.1,68226.30000,67603.40000,6229000.0,5923000.0,1.052,1.279,OFF,0.00,75.74,10174.61,21,take_profit
orb_break_direct_fixed_r_t1.5,BTCUSD,ORB,break_direct,10,SHORT,2026-02-11,2026-02-11 09:59:00+00:00,2026-02-11 15:54:00+00:00,66491.10000,67517.20000,68226.30000,63888.30000,17352000.0,-0.5913,0.4493,0.7817,500000.0,68226.30000,67603.40000,6229000.0,5923000.0,1.052,1.279,OFF,0.00,-30.08,10144.52,355,session_flat
orb_break_direct_fixed_r_t1.5,BTCUSD,ORB,break_direct,11,SHORT,2026-02-12,2026-02-12 09:37:00+00:00,2026-02-12 11:02:00+00:00,67773.20000,67017.35000,68277.10000,67017.35000,5039000.0,1.5000,1.6597,0.5289,500000.0,68277.10000,67881.20000,3959000.0,5961250.0,0.664,0.828,OFF,0.00,76.08,10220.61,85,take_profit
