run_tag,symbol,preset,model,ticket,direction,ny_day,entry_time_ny,exit_time_ny,entry_price,exit_price,sl_price,tp_price,risk_points,r_realized,mfe_r,mae_r,spread_pts_entry,range_high,range_low,range_pts,atr_pts,range_atr_ratio,rvol,bias,lots,profit_ccy,balance_after,bars_held,exit_reason
orb_break_direct_fixed_r_t2.0,EURJPY,ORB,break_direct,1,LONG,2026-02-02,2026-02-02 09:36:00+00:00,2026-02-02 13:02:00+00:00,183.62997,183.46600,183.46600,183.95791,16.4,-1.0000,0.7503,1.0610,0.8,183.61100,183.46600,14.5,0.0,0.000,1.000,OFF,0.00,-50.00,9950.00,146,stop_loss
orb_break_direct_fixed_r_t2.0,EURJPY,ORB,break_direct,2,SHORT,2026-02-03,2026-02-03 09:40:00+00:00,2026-02-03 10:27:00+00:00,183.83688,183.95700,183.95700,183.59665,12.0,-1.0000,0.9065,1.1166,1.0,183.95700,183.86000,9.7,0.0,0.000,1.000,OFF,0.00,-49.75,9900.25,47,stop_loss
orb_break_direct_fixed_r_t2.0,EURJPY,ORB,break_direct,3,LONG,2026-02-03,2026-02-03 10:29:00+00:00,2026-02-03 13:53:00+00:00,183.97511,183.86000,183.86000,184.20534,11.5,-1.0000,0.9459,1.0174,0.6,183.95700,183.86000,9.7,0.0,0.000,1.000,OFF,0.00,-49.50,9850.75,204,stop_loss
orb_break_direct_fixed_r_t2.0,EURJPY,ORB,break_direct,4,LONG,2026-02-04,2026-02-04 09:43:00+00:00,2026-02-04 10:56:00+00:00,184.89819,184.75500,184.75500,185.18457,14.3,-1.0000,0.8507,1.0140,0.8,184.86700,184.75500,11.2,12.1,0.926,0.911,OFF,0.00,-49.25,9801.50,73,stop_loss
orb_break_direct_fixed_r_t2.0,EURJPY,ORB,break_direct,5,LONG,2026-02-05,2026-02-05 09:44:00+00:00,2026-02-05 09:48:00+00:00,185.26875,185.14400,185.14400,185.51824,12.5,-1.0000,0.0000,1.0561,0.9,185.24100,185.14400,9.7,11.8,0.822,1.329,OFF,0.00,-49.01,9752.49,4,stop_loss
orb_break_direct_fixed_r_t2.0,EURJPY,ORB,break_direct,6,SHORT,2026-02-05,2026-02-05 09:54:00+00:00,2026-02-05 10:00:00+00:00,185.13595,184.92584,185.24100,184.92584,10.5,2.0000,2.2175,0.2670,0.6,185.24100,185.14400,9.7,11.8,0.822,1.329,OFF,0.00,97.52,9850.01,6,take_profit
orb_break_direct_fixed_r_t2.0,EURJPY,ORB,break_direct,7,LONG,2026-02-06,2026-02-06 09:40:00+00:00,2026-02-06 11:43:00+00:00,185.42571,185.61313,185.33200,185.61313,9.4,2.0000,2.1053,0.7439,0.7,185.42000,185.33200,8.8,11.3,0.780,0.828,OFF,0.00,98.50,9948.51,123,take_profit
orb_break_direct_fixed_r_t2.0,EURJPY,ORB,break_direct,8,LONG,2026-02-09,2026-02-09 09:50:00+00:00,2026-02-09 12:32:00+00:00,185.46878,185.78433,185.31100,185.78433,15.8,2.0000,2.1120,0.3598,1.0,185.44400,185.31100,13.3,10.8,1.234,1.103,OFF,0.00,99.49,10048.00,162,take_profit
orb_break_direct_fixed_r_t2.0,EURJPY,ORB,break_direct,9,SHORT,2026-02-10,2026-02-10 09:40:00+00:00,2026-02-10 10:40:00+00:00,183.96146,183.58438,184.15000,183.58438,18.9,2.0000,2.2195,0.1779,0.7,184.15000,184.02600,12.4,11.2,1.107,1.041,OFF,0.00,100.48,10148.48,60,take_profit
orb_break_direct_fixed_r_t2.0,EURJPY,ORB,break_direct,10,SHORT,2026-02-11,2026-02-11 09:36:00+00:00,2026-02-11 09:54:00+00:00,182.37488,182.02065,182.55200,182.02065,17.7,2.0000,2.2916,0.1587,0.8,182.55200,182.39600,15.6,11.4,1.372,1.329,OFF,0.00,101.48,10249.96,18,take_profit
orb_break_direct_fixed_r_t2.0,EURJPY,ORB,break_direct,11,SHORT,2026-02-13,2026-02-13 09:41:00+00:00,2026-02-13 09:45:00+00:00,181.33229,181.56200,181.56200,180.87288,23.0,-1.0000,0.3757,1.0958,0.7,181.56200,181.40400,15.8,11.4,1.381,1.103,OFF,0.00,-51.25,10198.71,4,stop_loss
orb_break_direct_fixed_r_t2.0,EURJPY,ORB,break_direct,12,LONG,2026-02-13,2026-02-13 09:47:00+00:00,2026-02-13 10:05:00+00:00,181.63610,181.40400,181.40400,182.10029,23.2,-1.0000,0.0642,1.1293,0.8,181.56200,181.40400,15.8,11.4,1.381,1.103,OFF,0.00,-50.99,10147.72,18,stop_loss
orb_break_direct_fixed_r_t2.0,EURJPY,ORB,break_direct,13,LONG,2026-02-18,2026-02-18 09:37:00+00:00,2026-02-18 14:03:00+00:00,182.43765,182.28600,182.28600,182.74094,15.2,-1.0000,0.6749,2.5826,0.9,182.38900,182.28600,10.3,10.8,0.957,1.202,OFF,0.00,-50.74,10096.98,266,stop_loss
orb_break_direct_fixed_r_t2.0,EURJPY,ORB,break_direct,14,SHORT,2026-02-19,2026-02-19 09:37:00+00:00,2026-02-19 10:00:00+00:00,182.33338,182.43500,182.43500,182.13013,10.2,-1.0000,0.7909,1.1574,0.7,182.43500,182.34300,9.2,10.7,0.857,0.937,OFF,0.00,-50.48,10046.50,23,stop_loss
orb_break_direct_fixed_r_t2.0,EURJPY,ORB,break_direct,15,LONG,2026-02-19,2026-02-19 10:04:00+00:00,2026-02-19 10:59:00+00:00,182.51442,182.34300,182.34300,182.85727,17.1,-1.0000,0.5050,1.0583,0.9,182.43500,182.34300,9.2,10.7,0.857,0.937,OFF,0.00,-50.23,9996.26,55,stop_loss
orb_break_direct_fixed_r_t2.0,EURJPY,ORB,break_direct,16,SHORT,2026-02-23,2026-02-23 09:36:00+00:00,2026-02-23 10:10:00+00:00,182.51074,182.28421,182.62400,182.28421,11.3,2.0000,2.0372,0.2319,0.7,182.62400,182.53600,8.8,9.9,0.889,0.808,OFF,0.00,99.96,10096.23,34,take_profit
orb_break_direct_fixed_r_t2.0,EURJPY,ORB,break_direct,17,SHORT,2026-02-24,2026-02-24 09:37:00+00:00,2026-02-24 15:54:00+00:00,183.65259,183.52007,183.79800,183.36176,14.5,0.9113,1.6682,0.8212,0.7,183.79800,183.66700,13.1,9.8,1.332,0.776,OFF,0.00,46.00,10142.23,377,session_flat
orb_break_direct_fixed_r_t2.0,EURJPY,ORB,break_direct,18,SHORT,2026-02-25,2026-02-25 09:43:00+00:00,2026-02-25 09:56:00+00:00,184.44477,184.53600,184.53600,184.26232,9.1,-1.0000,0.6114,1.0000,0.6,184.53600,184.45900,7.7,10.0,0.772,0.581,OFF,0.00,-50.71,10091.52,13,stop_loss
orb_break_direct_fixed_r_t2.0,EURJPY,ORB,break_direct,19,LONG,2026-02-25,2026-02-25 09:58:00+00:00,2026-02-25 10:27:00+00:00,184.55604,184.45900,184.45900,184.75012,9.7,-1.0000,0.4324,0.9588,0.8,184.53600,184.45900,7.7,10.0,0.772,0.581,OFF,0.00,-50.46,10041.06,29,stop_loss
orb_break_direct_fixed_r_t2.0,EURJPY,ORB,break_direct,20,SHORT,2026-02-26,2026-02-26 09:44:00+00:00,2026-02-26 10:24:00+00:00,184.22114,183.94141,184.36100,183.94141,14.0,2.0000,2.2746,0.4566,1.0,184.36100,184.28000,8.1,9.8,0.824,0.946,OFF,0.00,100.41,10141.47,40,take_profit
orb_break_direct_fixed_r_t2.0,EURJPY,ORB,break_direct,21,LONG,2026-02-27,2026-02-27 09:38:00+00:00,2026-02-27 11:27:00+00:00,184.24947,184.44640,184.15100,184.44640,9.8,2.0000,2.1889,0.5938,0.9,184.23600,184.15100,8.5,9.8,0.869,1.157,OFF,0.00,101.41,10242.88,109,take_profit
orb_break_direct_fixed_r_t2.0,EURJPY,ORB,break_direct,22,LONG,2026-03-02,2026-03-02 09:43:00+00:00,2026-03-02 10:52:00+00:00,184.51003,184.36300,184.36300,184.80410,14.7,-1.0000,0.7275,1.0408,0.8,184.50000,184.36300,13.7,9.4,1.452,1.314,OFF,0.00,-51.21,10191.67,69,stop_loss
