run_tag,symbol,preset,model,ticket,direction,ny_day,entry_time_ny,exit_time_ny,entry_price,exit_price,sl_price,tp_price,risk_points,r_realized,mfe_r,mae_r,spread_pts_entry,range_high,range_low,range_pts,atr_pts,range_atr_ratio,rvol,bias,lots,profit_ccy,balance_after,bars_held,exit_reason
orb_break_direct_fixed_r_t2.0,EURUSD,ORB,break_direct,1,LONG,2026-02-02,2026-02-02 09:36:00+00:00,2026-02-02 14:00:00+00:00,1.18211,1.18103,1.18103,1.18428,10.8,-1.0000,0.8005,3.8808,0.3,1.18209,1.18103,10.6,0.0,0.000,1.000,OFF,0.00,-50.00,9950.00,24,stop_loss
orb_break_direct_fixed_r_t2.0,EURUSD,ORB,break_direct,2,LONG,2026-02-03,2026-02-03 09:43:00+00:00,2026-02-03 11:00:00+00:00,1.17954,1.18065,1.17899,1.18065,5.5,2.0000,3.2458,0.8374,0.3,1.17947,1.17899,4.8,0.0,0.000,1.000,OFF,0.00,99.50,10049.50,17,take_profit
orb_break_direct_fixed_r_t2.0,EURUSD,ORB,break_direct,3,LONG,2026-02-04,2026-02-04 09:40:00+00:00,2026-02-04 10:32:00+00:00,1.18107,1.18023,1.18023,1.18275,8.4,-1.0000,1.3535,1.4279,0.2,1.18093,1.18023,7.0,7.7,0.909,0.945,OFF,0.00,-50.25,9999.25,52,stop_loss
orb_break_direct_fixed_r_t2.0,EURUSD,ORB,break_direct,4,LONG,2026-02-05,2026-02-05 09:37:00+00:00,2026-02-05 09:44:00+00:00,1.18131,1.18063,1.18063,1.18268,6.8,-1.0000,0.4613,1.2046,0.3,1.18125,1.18063,6.2,7.5,0.830,1.205,OFF,0.00,-50.00,9949.26,7,stop_loss
orb_break_direct_fixed_r_t2.0,EURUSD,ORB,break_direct,5,SHORT,2026-02-05,2026-02-05 09:48:00+00:00,2026-02-05 15:37:00+00:00,1.18039,1.17866,1.18125,1.17866,8.6,2.0000,2.0519,0.2341,0.2,1.18125,1.18063,6.2,7.5,0.830,1.205,OFF,0.00,99.49,10048.75,229,take_profit
orb_break_direct_fixed_r_t2.0,EURUSD,ORB,break_direct,6,LONG,2026-02-23,2026-02-23 09:43:00+00:00,2026-02-23 09:46:00+00:00,1.18009,1.17949,1.17949,1.18128,6.0,-1.0000,0.0000,1.1504,0.4,1.18003,1.17949,5.4,7.2,0.755,0.735,OFF,0.00,-50.24,9998.51,3,stop_loss
orb_break_direct_fixed_r_t2.0,EURUSD,ORB,break_direct,7,LONG,2026-02-23,2026-02-23 09:50:00+00:00,2026-02-23 09:59:00+00:00,1.18008,1.18051,1.17949,1.18125,5.9,0.7383,1.4001,0.2510,0.3,1.18003,1.17949,5.4,7.2,0.755,0.735,OFF,0.00,36.91,10035.41,9,session_flat
orb_break_direct_fixed_r_t2.0,EURUSD,ORB,break_direct,8,LONG,2026-02-26,2026-02-26 09:44:00+00:00,2026-02-26 11:00:00+00:00,1.18114,1.18069,1.18069,1.18205,4.5,-1.0000,0.9350,2.9570,0.3,1.18110,1.18069,4.1,6.8,0.603,0.758,OFF,0.00,-50.18,9985.24,16,stop_loss
orb_break_direct_fixed_r_t2.0,EURUSD,ORB,break_direct,9,SHORT,2026-03-04,2026-03-04 09:36:00+00:00,2026-03-04 10:26:00+00:00,1.16221,1.16374,1.16374,1.15916,15.3,-1.0000,0.3562,1.0852,0.3,1.16374,1.16316,5.8,6.4,0.913,1.225,OFF,0.00,-49.93,9935.31,50,stop_loss
orb_break_direct_fixed_r_t2.0,EURUSD,ORB,break_direct,10,LONG,2026-03-04,2026-03-04 10:29:00+00:00,2026-03-04 10:40:00+00:00,1.16388,1.16316,1.16316,1.16531,7.2,-1.0000,0.1321,1.0839,0.3,1.16374,1.16316,5.8,6.4,0.913,1.225,OFF,0.00,-49.68,9885.63,11,stop_loss
orb_break_direct_fixed_r_t2.0,EURUSD,ORB,break_direct,11,SHORT,2026-03-05,2026-03-05 09:39:00+00:00,2026-03-05 10:01:00+00:00,1.15992,1.16074,1.16074,1.15827,8.2,-1.0000,0.8330,1.0971,0.3,1.16074,1.16002,7.2,6.3,1.148,1.028,OFF,0.00,-49.43,9836.20,22,stop_loss
orb_break_direct_fixed_r_t2.0,EURUSD,ORB,break_direct,12,LONG,2026-03-05,2026-03-05 10:03:00+00:00,2026-03-05 10:07:00+00:00,1.16076,1.16002,1.16002,1.16225,7.4,-1.0000,0.1831,1.0672,0.3,1.16074,1.16002,7.2,6.3,1.148,1.028,OFF,0.00,-49.18,9787.02,4,stop_loss
orb_break_direct_fixed_r_t2.0,EURUSD,ORB,break_direct,13,SHORT,2026-03-06,2026-03-06 09:36:00+00:00,2026-03-06 09:43:00+00:00,1.15568,1.15685,1.15685,1.15333,11.7,-1.0000,0.2430,1.1532,0.3,1.15685,1.15574,11.1,6.4,1.738,1.824,OFF,0.00,-48.94,9738.09,7,stop_loss
orb_break_direct_fixed_r_t2.0,EURUSD,ORB,break_direct,14,LONG,2026-03-06,2026-03-06 09:52:00+00:00,2026-03-06 11:06:00+00:00,1.15704,1.15963,1.15574,1.15963,13.0,2.0000,2.0625,0.1669,0.3,1.15685,1.15574,11.1,6.4,1.738,1.824,OFF,0.00,97.38,9835.47,74,take_profit
orb_break_direct_fixed_r_t2.0,EURUSD,ORB,break_direct,15,SHORT,2026-03-09,2026-03-09 09:41:00+00:00,2026-03-09 10:06:00+00:00,1.15768,1.15555,1.15875,1.15555,10.7,2.0000,2.1872,0.5407,0.3,1.15875,1.15775,10.0,6.9,1.447,1.741,OFF,0.00,98.35,9933.82,25,take_profit
orb_break_direct_fixed_r_t2.0,EURUSD,ORB,break_direct,16,SHORT,2026-03-10,2026-03-10 09:46:00+00:00,2026-03-10 10:42:00+00:00,1.16329,1.16457,1.16457,1.16074,12.8,-1.0000,0.4664,1.1804,0.3,1.16457,1.16340,11.7,7.2,1.620,1.241,OFF,0.00,-49.67,9884.15,56,stop_loss
orb_break_direct_fixed_r_t2.0,EURUSD,ORB,break_direct,17,LONG,2026-03-11,2026-03-11 09:41:00+00:00,2026-03-11 09:44:00+00:00,1.15885,1.15815,1.15815,1.16026,7.0,-1.0000,0.0000,1.0853,0.3,1.15880,1.15815,6.5,7.6,0.852,0.743,OFF,0.00,-49.42,9834.73,3,stop_loss
orb_break_direct_fixed_r_t2.0,EURUSD,ORB,break_direct,18,SHORT,2026-03-11,2026-03-11 09:46:00+00:00,2026-03-11 09:58:00+00:00,1.15811,1.15880,1.15880,1.15672,6.9,-1.0000,0.4702,1.7495,0.3,1.15880,1.15815,6.5,7.6,0.852,0.743,OFF,0.00,-49.17,9785.56,12,stop_loss
orb_break_direct_fixed_r_t2.0,EURUSD,ORB,break_direct,19,SHORT,2026-03-12,2026-03-12 09:48:00+00:00,2026-03-12 15:54:00+00:00,1.15280,1.15156,1.15392,1.15057,11.2,1.1180,1.5726,0.5608,0.3,1.15392,1.15309,8.3,7.5,1.102,1.309,OFF,0.00,54.70,9840.26,366,session_flat
orb_break_direct_fixed_r_t2.0,EURUSD,ORB,break_direct,20,LONG,2026-03-13,2026-03-13 09:38:00+00:00,2026-03-13 10:00:00+00:00,1.14843,1.14771,1.14771,1.14988,7.2,-1.0000,0.7961,1.2763,0.3,1.14830,1.14771,5.9,7.6,0.777,0.902,OFF,0.00,-49.20,9791.06,22,stop_loss
orb_break_direct_fixed_r_t2.0,EURUSD,ORB,break_direct,21,SHORT,2026-03-13,2026-03-13 10:02:00+00:00,2026-03-13 10:32:00+00:00,1.14755,1.14830,1.14830,1.14604,7.5,-1.0000,0.8023,1.1325,0.3,1.14830,1.14771,5.9,7.6,0.777,0.902,OFF,0.00,-48.96,9742.10,30,stop_loss
orb_break_direct_fixed_r_t2.0,EURUSD,ORB,break_direct,22,LONG,2026-03-16,2026-03-16 09:38:00+00:00,2026-03-16 10:02:00+00:00,1.14876,1.15007,1.14811,1.15007,6.5,2.0000,2.2116,0.3271,0.3,1.14872,1.14811,6.1,7.5,0.816,0.874,OFF,0.00,97.42,9839.53,24,take_profit
orb_break_direct_fixed_r_t2.0,EURUSD,ORB,break_direct,23,LONG,2026-03-16,2026-03-16 10:04:00+00:00,2026-03-16 10:47:00+00:00,1.14998,1.14811,1.14811,1.15373,18.7,-1.0000,0.1151,1.0160,0.3,1.14872,1.14811,6.1,7.5,0.816,0.874,OFF,0.00,-49.20,9790.33,43,stop_loss
