run_tag,symbol,preset,model,ticket,direction,ny_day,entry_time_ny,exit_time_ny,entry_price,exit_price,sl_price,tp_price,risk_points,r_realized,mfe_r,mae_r,spread_pts_entry,range_high,range_low,range_pts,atr_pts,range_atr_ratio,rvol,bias,lots,profit_ccy,balance_after,bars_held,exit_reason
sweep_EAdefault,EURUSD,SWEEP,sweep_mss,1,SHORT,2026-02-05,2026-02-05 03:50:00+00:00,2026-02-05 08:30:00+00:00,1.17954,1.18052,1.18052,1.17759,9.8,-1.0000,1.5585,1.4605,0.3,1.18082,1.17826,25.6,24.1,1.061,0.786,HTF_EMA,0.00,-50.00,9950.00,280,stop_loss
sweep_EAdefault,EURUSD,SWEEP,sweep_mss,2,SHORT,2026-02-06,2026-02-06 10:25:00+00:00,2026-02-06 11:59:00+00:00,1.18087,1.18123,1.18260,1.17741,17.3,-0.2108,0.2071,0.7401,0.2,1.17963,1.17654,30.9,24.5,1.261,0.788,HTF_EMA,0.00,-10.49,9939.51,94,session_flat
sweep_EAdefault,EURUSD,SWEEP,sweep_mss,3,SHORT,2026-02-19,2026-02-19 02:20:00+00:00,2026-02-19 02:43:00+00:00,1.17940,1.18008,1.18008,1.17804,6.8,-1.0000,0.2325,1.1761,0.2,1.17955,1.17847,10.8,20.9,0.516,0.617,HTF_EMA,0.00,-49.70,9889.82,23,stop_loss
sweep_EAdefault,EURUSD,SWEEP,sweep_mss,4,SHORT,2026-02-25,2026-02-25 03:20:00+00:00,2026-02-25 06:20:00+00:00,1.17957,1.17748,1.18061,1.17748,10.4,2.0000,2.0259,0.0712,0.3,1.17961,1.17732,22.9,19.7,1.159,1.000,HTF_EMA,0.00,98.90,9988.71,180,take_profit
sweep_EAdefault,EURUSD,SWEEP,sweep_mss,5,LONG,2026-02-26,2026-02-26 02:55:00+00:00,2026-02-26 03:02:00+00:00,1.18173,1.18107,1.18107,1.18305,6.6,-1.0000,0.1205,1.0757,0.2,1.18288,1.18117,17.1,19.6,0.874,0.809,HTF_EMA,0.00,-49.94,9938.77,7,stop_loss
sweep_EAdefault,EURUSD,SWEEP,sweep_mss,6,SHORT,2026-03-04,2026-03-04 08:00:00+00:00,2026-03-04 08:02:00+00:00,1.16301,1.16384,1.16384,1.16136,8.3,-1.0000,0.0000,1.0242,0.3,1.16110,1.15745,36.5,20.4,1.791,2.287,HTF_EMA,0.00,-49.69,9889.08,2,stop_loss
sweep_EAdefault,EURUSD,SWEEP,sweep_mss,7,SHORT,2026-03-09,2026-03-09 04:30:00+00:00,2026-03-09 05:34:00+00:00,1.15219,1.15651,1.15651,1.14356,43.2,-1.0000,0.1560,1.1320,0.3,1.15399,1.15069,33.0,23.7,1.394,2.855,HTF_EMA,0.00,-49.45,9839.63,64,stop_loss
sweep_EAdefault,EURUSD,SWEEP,sweep_mss,8,SHORT,2026-03-10,2026-03-10 08:05:00+00:00,2026-03-10 09:23:00+00:00,1.16327,1.16477,1.16477,1.16028,15.0,-1.0000,0.7721,1.0736,0.3,1.16355,1.16078,27.7,25.0,1.107,1.945,HTF_EMA,0.00,-49.20,9790.43,78,stop_loss
sweep_EAdefault,EURUSD,SWEEP,sweep_mss,9,SHORT,2026-03-11,2026-03-11 02:55:00+00:00,2026-03-11 03:15:00+00:00,1.16321,1.16396,1.16396,1.16171,7.5,-1.0000,0.6142,1.7604,0.4,1.16317,1.16048,26.9,26.0,1.035,1.078,HTF_EMA,0.00,-48.95,9741.48,20,stop_loss
sweep_EAdefault,EURUSD,SWEEP,sweep_mss,10,SHORT,2026-03-12,2026-03-12 08:10:00+00:00,2026-03-12 11:59:00+00:00,1.15463,1.15219,1.15662,1.15064,19.9,1.2230,1.7769,0.1980,0.3,1.15554,1.15322,23.2,27.1,0.855,1.079,HTF_EMA,0.00,59.57,9801.05,229,session_flat
sweep_EAdefault,EURUSD,SWEEP,sweep_mss,11,SHORT,2026-03-18,2026-03-18 02:45:00+00:00,2026-03-18 03:41:00+00:00,1.15429,1.15291,1.15498,1.15291,6.9,2.0000,2.0504,0.4001,0.3,1.15439,1.15319,12.0,27.6,0.435,1.043,HTF_EMA,0.00,98.01,9899.06,56,take_profit
