run_tag,symbol,preset,model,ticket,direction,ny_day,entry_time_ny,exit_time_ny,entry_price,exit_price,sl_price,tp_price,risk_points,r_realized,mfe_r,mae_r,spread_pts_entry,range_high,range_low,range_pts,atr_pts,range_atr_ratio,rvol,bias,lots,profit_ccy,balance_after,bars_held,exit_reason
orb_break_direct_fixed_r_t2.0,GBPJPY,ORB,break_direct,1,LONG,2026-02-02,2026-02-02 09:36:00+00:00,2026-02-02 14:59:00+00:00,212.10154,212.56419,211.82400,212.65663,27.8,1.6669,1.9869,0.2362,1.5,212.05600,211.82400,23.2,0.0,0.000,1.000,OFF,0.00,83.35,10083.35,323,session_flat
orb_break_direct_fixed_r_t2.0,GBPJPY,ORB,break_direct,2,SHORT,2026-02-04,2026-02-04 09:38:00+00:00,2026-02-04 11:02:00+00:00,214.26739,213.88817,214.45700,213.88817,19.0,2.0000,2.0747,0.7627,1.1,214.45700,214.27300,18.4,17.4,1.054,0.901,OFF,0.00,100.83,10184.18,24,take_profit
orb_break_direct_fixed_r_t2.0,GBPJPY,ORB,break_direct,3,LONG,2026-02-06,2026-02-06 09:41:00+00:00,2026-02-06 10:13:00+00:00,213.39040,213.66721,213.25200,213.66721,13.8,2.0000,2.0779,0.5737,1.1,213.37000,213.25200,11.8,16.9,0.699,0.666,OFF,0.00,101.84,10286.02,32,take_profit
orb_break_direct_fixed_r_t2.0,GBPJPY,ORB,break_direct,4,LONG,2026-02-06,2026-02-06 10:15:00+00:00,2026-02-06 15:54:00+00:00,213.60475,213.97888,213.25200,214.31025,35.3,1.0606,1.0865,0.2856,1.7,213.37000,213.25200,11.8,16.9,0.699,0.666,OFF,0.00,54.55,10340.57,339,session_flat
orb_break_direct_fixed_r_t2.0,GBPJPY,ORB,break_direct,5,SHORT,2026-02-09,2026-02-09 09:36:00+00:00,2026-02-09 09:40:00+00:00,212.16618,212.34900,212.34900,211.80054,18.3,-1.0000,0.2471,1.0055,1.6,212.34900,212.18800,16.1,15.9,1.015,1.141,OFF,0.00,-51.70,10288.87,4,stop_loss
orb_break_direct_fixed_r_t2.0,GBPJPY,ORB,break_direct,6,LONG,2026-02-09,2026-02-09 09:43:00+00:00,2026-02-09 09:47:00+00:00,212.37726,212.18800,212.18800,212.75579,18.9,-1.0000,0.1096,1.1215,1.3,212.34900,212.18800,16.1,15.9,1.015,1.141,OFF,0.00,-51.44,10237.42,4,stop_loss
orb_break_direct_fixed_r_t2.0,GBPJPY,ORB,break_direct,7,SHORT,2026-02-10,2026-02-10 09:38:00+00:00,2026-02-10 10:17:00+00:00,211.23772,210.74317,211.48500,210.74317,24.7,2.0000,2.1544,0.0497,1.5,211.48500,211.29700,18.8,15.9,1.182,1.047,OFF,0.00,102.37,10339.80,39,take_profit
orb_break_direct_fixed_r_t2.0,GBPJPY,ORB,break_direct,8,SHORT,2026-02-11,2026-02-11 09:36:00+00:00,2026-02-11 09:55:00+00:00,209.86356,209.48269,210.05400,209.48269,19.0,2.0000,2.0929,0.3331,1.7,210.05400,209.86900,18.5,16.3,1.134,1.485,OFF,0.00,103.40,10443.20,19,take_profit
orb_break_direct_fixed_r_t2.0,GBPJPY,ORB,break_direct,9,SHORT,2026-02-12,2026-02-12 09:37:00+00:00,2026-02-12 09:41:00+00:00,209.00345,209.13900,209.13900,208.73234,13.6,-1.0000,0.0000,0.9705,1.3,209.13900,209.04000,9.9,16.6,0.597,0.813,OFF,0.00,-52.22,10390.98,4,stop_loss
orb_break_direct_fixed_r_t2.0,GBPJPY,ORB,break_direct,10,SHORT,2026-02-13,2026-02-13 09:40:00+00:00,2026-02-13 09:46:00+00:00,208.33644,208.59900,208.59900,207.81131,26.3,-1.0000,1.1214,1.1066,1.3,208.59900,208.39700,20.2,15.8,1.275,1.040,OFF,0.00,-51.95,10339.02,6,stop_loss
orb_break_direct_fixed_r_t2.0,GBPJPY,ORB,break_direct,11,LONG,2026-02-13,2026-02-13 09:48:00+00:00,2026-02-13 09:50:00+00:00,208.64866,208.39700,208.39700,209.15199,25.2,-1.0000,0.1523,1.0795,1.3,208.59900,208.39700,20.2,15.8,1.275,1.040,OFF,0.00,-51.70,10287.33,2,stop_loss
orb_break_direct_fixed_r_t2.0,GBPJPY,ORB,break_direct,12,LONG,2026-02-18,2026-02-18 09:37:00+00:00,2026-02-18 14:03:00+00:00,208.96883,208.80000,208.80000,209.30648,16.9,-1.0000,1.4463,2.2794,1.4,208.92500,208.80000,12.5,15.1,0.826,1.038,OFF,0.00,-51.44,10235.89,266,stop_loss
orb_break_direct_fixed_r_t2.0,GBPJPY,ORB,break_direct,13,SHORT,2026-02-23,2026-02-23 09:41:00+00:00,2026-02-23 10:45:00+00:00,208.95932,208.66596,209.10600,208.66596,14.7,2.0000,2.1906,0.7818,1.3,209.10600,208.98000,12.6,13.8,0.915,0.786,OFF,0.00,102.36,10338.25,64,take_profit
