run_tag,symbol,preset,model,ticket,direction,ny_day,entry_time_ny,exit_time_ny,entry_price,exit_price,sl_price,tp_price,risk_points,r_realized,mfe_r,mae_r,spread_pts_entry,range_high,range_low,range_pts,atr_pts,range_atr_ratio,rvol,bias,lots,profit_ccy,balance_after,bars_held,exit_reason
orb_break_direct_fixed_r_t1.5,GBPUSD,ORB,break_direct,1,LONG,2026-02-02,2026-02-02 09:36:00+00:00,2026-02-02 14:59:00+00:00,1.36540,1.36586,1.36367,1.36799,17.3,0.2685,1.3148,0.6065,0.6,1.36510,1.36367,14.3,0.0,0.000,1.000,OFF,0.00,13.43,10013.43,143,session_flat
orb_break_direct_fixed_r_t1.5,GBPUSD,ORB,break_direct,2,LONG,2026-02-06,2026-02-06 09:37:00+00:00,2026-02-06 15:54:00+00:00,1.36021,1.36178,1.35910,1.36187,11.1,1.4156,1.4713,0.7835,0.6,1.36016,1.35910,10.6,0.0,0.000,1.000,OFF,0.00,70.88,10084.30,137,session_flat
orb_break_direct_fixed_r_t1.5,GBPUSD,ORB,break_direct,3,SHORT,2026-02-09,2026-02-09 09:36:00+00:00,2026-02-09 11:00:00+00:00,1.36264,1.36506,1.36506,1.35902,24.2,-1.0000,0.0000,2.3240,0.7,1.36506,1.36301,20.5,12.5,1.647,1.197,OFF,0.00,-50.42,10033.88,24,stop_loss
orb_break_direct_fixed_r_t1.5,GBPUSD,ORB,break_direct,4,LONG,2026-02-11,2026-02-11 09:38:00+00:00,2026-02-11 10:30:00+00:00,1.36558,1.36436,1.36436,1.36740,12.2,-1.0000,0.9067,1.1726,0.7,1.36531,1.36436,9.5,15.1,0.628,1.269,OFF,0.00,-50.17,9983.71,52,stop_loss
orb_break_direct_fixed_r_t1.5,GBPUSD,ORB,break_direct,5,LONG,2026-02-17,2026-02-17 09:38:00+00:00,2026-02-17 09:54:00+00:00,1.35321,1.35198,1.35198,1.35507,12.3,-1.0000,0.0048,1.0162,0.7,1.35284,1.35198,8.6,11.7,0.733,1.086,OFF,0.00,-49.92,9933.79,16,stop_loss
orb_break_direct_fixed_r_t1.5,GBPUSD,ORB,break_direct,6,SHORT,2026-02-17,2026-02-17 09:59:00+00:00,2026-02-17 10:34:00+00:00,1.35183,1.35031,1.35284,1.35031,10.1,1.5000,1.6155,0.6743,0.7,1.35284,1.35198,8.6,11.7,0.733,1.086,OFF,0.00,74.50,10008.30,35,take_profit
orb_break_direct_fixed_r_t1.5,GBPUSD,ORB,break_direct,7,LONG,2026-02-18,2026-02-18 10:03:00+00:00,2026-02-18 11:59:00+00:00,1.35459,1.35334,1.35334,1.35647,12.5,-1.0000,0.9002,1.0160,0.7,1.35428,1.35334,9.4,11.2,0.838,0.889,OFF,0.00,-50.04,9958.26,116,stop_loss
orb_break_direct_fixed_r_t1.5,GBPUSD,ORB,break_direct,8,LONG,2026-02-19,2026-02-19 09:45:00+00:00,2026-02-19 10:03:00+00:00,1.34477,1.34626,1.34378,1.34626,9.9,1.5000,1.7224,0.8286,0.6,1.34455,1.34378,7.7,11.0,0.703,1.136,OFF,0.00,74.69,10032.94,18,take_profit
orb_break_direct_fixed_r_t1.5,GBPUSD,ORB,break_direct,9,LONG,2026-02-19,2026-02-19 10:05:00+00:00,2026-02-19 13:59:00+00:00,1.34598,1.34595,1.34378,1.34927,22.0,-0.0131,0.6348,0.9362,0.5,1.34455,1.34378,7.7,11.0,0.703,1.136,OFF,0.00,-0.66,10032.28,174,session_flat
orb_break_direct_fixed_r_t1.5,GBPUSD,ORB,break_direct,10,SHORT,2026-02-20,2026-02-20 09:39:00+00:00,2026-02-20 09:45:00+00:00,1.34699,1.34777,1.34777,1.34581,7.8,-1.0000,0.3029,1.1277,0.7,1.34777,1.34707,7.0,10.6,0.664,0.766,OFF,0.00,-50.16,9982.12,6,stop_loss
orb_break_direct_fixed_r_t1.5,GBPUSD,ORB,break_direct,11,LONG,2026-02-20,2026-02-20 09:53:00+00:00,2026-02-20 10:01:00+00:00,1.34789,1.34912,1.34707,1.34912,8.2,1.5000,2.7387,0.6955,0.6,1.34777,1.34707,7.0,10.6,0.664,0.766,OFF,0.00,74.87,10056.99,8,take_profit
orb_break_direct_fixed_r_t1.5,GBPUSD,ORB,break_direct,12,LONG,2026-02-23,2026-02-23 09:36:00+00:00,2026-02-23 12:02:00+00:00,1.35125,1.35035,1.35035,1.35259,9.0,-1.0000,1.2224,1.0558,0.5,1.35117,1.35035,8.2,10.2,0.807,0.764,OFF,0.00,-50.28,10006.70,26,stop_loss
orb_break_direct_fixed_r_t1.5,GBPUSD,ORB,break_direct,13,SHORT,2026-02-25,2026-02-25 09:39:00+00:00,2026-02-25 09:48:00+00:00,1.35144,1.35198,1.35198,1.35064,5.4,-1.0000,0.5681,0.9627,0.5,1.35198,1.35152,4.6,9.4,0.492,0.693,OFF,0.00,-50.03,9956.67,9,stop_loss
orb_break_direct_fixed_r_t1.5,GBPUSD,ORB,break_direct,14,LONG,2026-02-25,2026-02-25 09:50:00+00:00,2026-02-25 10:14:00+00:00,1.35215,1.35309,1.35152,1.35309,6.3,1.5000,1.8528,0.6334,0.5,1.35198,1.35152,4.6,9.4,0.492,0.693,OFF,0.00,74.68,10031.35,24,take_profit
orb_break_direct_fixed_r_t1.5,GBPUSD,ORB,break_direct,15,LONG,2026-03-02,2026-03-02 09:38:00+00:00,2026-03-02 10:35:00+00:00,1.34076,1.33839,1.33839,1.34430,23.7,-1.0000,0.7460,0.9873,0.7,1.34041,1.33839,20.2,9.0,2.255,1.969,OFF,0.00,-50.16,9981.19,57,stop_loss
orb_break_direct_fixed_r_t1.5,GBPUSD,ORB,break_direct,16,SHORT,2026-03-04,2026-03-04 09:36:00+00:00,2026-03-04 14:59:00+00:00,1.33586,1.33747,1.33777,1.33300,19.1,-0.8438,0.6406,0.9528,0.8,1.33777,1.33692,8.5,9.8,0.865,1.364,OFF,0.00,-42.11,9939.08,203,session_flat
orb_break_direct_fixed_r_t1.5,GBPUSD,ORB,break_direct,17,SHORT,2026-03-09,2026-03-09 09:41:00+00:00,2026-03-09 11:00:00+00:00,1.33690,1.33821,1.33821,1.33495,13.1,-1.0000,0.4480,1.1532,0.7,1.33821,1.33743,7.8,9.7,0.802,1.870,OFF,0.00,-49.70,9889.38,19,stop_loss
orb_break_direct_fixed_r_t1.5,GBPUSD,ORB,break_direct,18,SHORT,2026-03-12,2026-03-12 09:49:00+00:00,2026-03-12 11:00:00+00:00,1.33722,1.33556,1.33833,1.33556,11.1,1.5000,1.9632,0.8374,0.7,1.33833,1.33737,9.6,9.3,1.036,1.447,OFF,0.00,74.17,9963.55,11,take_profit
orb_break_direct_fixed_r_t1.5,GBPUSD,ORB,break_direct,19,LONG,2026-03-13,2026-03-13 09:38:00+00:00,2026-03-13 10:03:00+00:00,1.32771,1.32689,1.32689,1.32894,8.2,-1.0000,1.4771,1.0122,0.6,1.32758,1.32689,6.9,9.2,0.751,1.033,OFF,0.00,-49.82,9913.73,25,stop_loss
orb_break_direct_fixed_r_t1.5,GBPUSD,ORB,break_direct,20,SHORT,2026-03-13,2026-03-13 10:16:00+00:00,2026-03-13 10:30:00+00:00,1.32685,1.32758,1.32758,1.32575,7.3,-1.0000,0.9283,0.9863,0.6,1.32758,1.32689,6.9,9.2,0.751,1.033,OFF,0.00,-49.57,9864.16,14,stop_loss
orb_break_direct_fixed_r_t1.5,GBPUSD,ORB,break_direct,21,LONG,2026-03-16,2026-03-16 09:37:00+00:00,2026-03-16 09:55:00+00:00,1.32940,1.33052,1.32866,1.33052,7.4,1.5000,2.1052,0.3951,0.7,1.32921,1.32866,5.5,8.2,0.669,0.822,OFF,0.00,73.98,9938.15,18,take_profit
orb_break_direct_fixed_r_t1.5,GBPUSD,ORB,break_direct,22,LONG,2026-03-16,2026-03-16 09:57:00+00:00,2026-03-16 15:54:00+00:00,1.33085,1.33246,1.32866,1.33414,21.9,0.7347,1.4123,0.9179,0.7,1.32921,1.32866,5.5,8.2,0.669,0.822,OFF,0.00,36.51,9974.65,177,session_flat
