run_tag,symbol,preset,model,ticket,direction,ny_day,entry_time_ny,exit_time_ny,entry_price,exit_price,sl_price,tp_price,risk_points,r_realized,mfe_r,mae_r,spread_pts_entry,range_high,range_low,range_pts,atr_pts,range_atr_ratio,rvol,bias,lots,profit_ccy,balance_after,bars_held,exit_reason
sweep_EAdefault,GBPUSD,SWEEP,sweep_mss,1,LONG,2026-02-02,2026-02-02 09:50:00+00:00,2026-02-02 10:45:00+00:00,1.36659,1.36307,1.36307,1.37363,35.2,-1.0000,0.3063,1.0028,0.6,1.37055,1.36759,29.6,0.0,0.000,1.000,HTF_EMA,0.00,-50.00,9950.00,55,stop_loss
sweep_EAdefault,GBPUSD,SWEEP,sweep_mss,2,LONG,2026-02-10,2026-02-10 02:20:00+00:00,2026-02-10 02:38:00+00:00,1.36787,1.36677,1.36677,1.37007,11.0,-1.0000,0.0451,1.0727,0.6,1.36958,1.36721,23.7,32.5,0.730,0.735,HTF_EMA,0.00,-49.75,9900.25,18,stop_loss
sweep_EAdefault,GBPUSD,SWEEP,sweep_mss,3,SHORT,2026-02-18,2026-02-18 02:50:00+00:00,2026-02-18 02:55:00+00:00,1.35542,1.35627,1.35627,1.35373,8.5,-1.0000,0.0731,1.0708,0.8,1.35658,1.35496,16.2,27.9,0.580,0.496,HTF_EMA,0.00,-49.50,9850.75,5,stop_loss
sweep_EAdefault,GBPUSD,SWEEP,sweep_mss,4,SHORT,2026-02-19,2026-02-19 03:55:00+00:00,2026-02-19 04:07:00+00:00,1.35044,1.35139,1.35139,1.34853,9.5,-1.0000,0.2903,1.0000,0.7,1.34989,1.34816,17.3,27.0,0.641,0.580,HTF_EMA,0.00,-49.25,9801.50,12,stop_loss
sweep_EAdefault,GBPUSD,SWEEP,sweep_mss,5,SHORT,2026-02-20,2026-02-20 02:55:00+00:00,2026-02-20 04:30:00+00:00,1.34480,1.34669,1.34669,1.34101,18.9,-1.0000,0.6375,1.5546,0.7,1.34637,1.34348,28.9,26.3,1.098,0.701,HTF_EMA,0.00,-49.01,9752.49,95,stop_loss
sweep_EAdefault,GBPUSD,SWEEP,sweep_mss,6,SHORT,2026-02-23,2026-02-23 03:10:00+00:00,2026-02-23 06:28:00+00:00,1.35202,1.34953,1.35326,1.34953,12.4,2.0000,2.0943,0.0918,0.5,1.35324,1.35101,22.3,26.3,0.849,1.036,HTF_EMA,0.00,97.52,9850.01,198,take_profit
sweep_EAdefault,GBPUSD,SWEEP,sweep_mss,7,SHORT,2026-02-25,2026-02-25 02:30:00+00:00,2026-02-25 02:51:00+00:00,1.35207,1.35285,1.35285,1.35051,7.8,-1.0000,0.7308,1.1667,0.6,1.35211,1.34913,29.8,26.0,1.146,1.032,HTF_EMA,0.00,-49.25,9800.76,21,stop_loss
sweep_EAdefault,GBPUSD,SWEEP,sweep_mss,8,LONG,2026-02-26,2026-02-26 04:40:00+00:00,2026-02-26 07:58:00+00:00,1.35293,1.35497,1.35191,1.35497,10.2,2.0000,2.0431,0.5583,0.6,1.35749,1.35492,25.7,25.7,1.002,0.748,HTF_EMA,0.00,98.01,9898.77,198,take_profit
sweep_EAdefault,GBPUSD,SWEEP,sweep_mss,9,SHORT,2026-03-04,2026-03-04 03:35:00+00:00,2026-03-04 04:16:00+00:00,1.33449,1.33621,1.33621,1.33106,17.2,-1.0000,0.7359,1.0524,0.7,1.33521,1.33029,49.2,26.1,1.887,2.292,HTF_EMA,0.00,-49.49,9849.28,41,stop_loss
sweep_EAdefault,GBPUSD,SWEEP,sweep_mss,10,SHORT,2026-03-09,2026-03-09 02:30:00+00:00,2026-03-09 05:21:00+00:00,1.33208,1.33404,1.33404,1.32816,19.6,-1.0000,0.4737,1.0204,0.8,1.33219,1.32828,39.1,31.2,1.255,2.457,HTF_EMA,0.00,-49.25,9800.03,51,stop_loss
sweep_EAdefault,GBPUSD,SWEEP,sweep_mss,11,LONG,2026-03-20,2026-03-20 07:10:00+00:00,2026-03-20 09:04:00+00:00,1.33899,1.33732,1.33732,1.34232,16.7,-1.0000,1.1585,1.1139,0.8,1.34301,1.34034,26.7,35.8,0.746,0.761,HTF_EMA,0.00,-49.00,9751.03,114,stop_loss
sweep_EAdefault,GBPUSD,SWEEP,sweep_mss,12,LONG,2026-03-25,2026-03-25 10:50:00+00:00,2026-03-25 11:59:00+00:00,1.33842,1.33707,1.33585,1.34357,25.7,-0.5259,0.2742,0.8835,0.7,1.34358,1.33973,38.5,33.0,1.166,1.082,HTF_EMA,0.00,-25.64,9725.39,69,session_flat
sweep_EAdefault,GBPUSD,SWEEP,sweep_mss,13,SHORT,2026-04-03,2026-04-03 04:15:00+00:00,2026-04-03 08:30:00+00:00,1.32323,1.32122,1.32423,1.32122,10.0,2.0000,2.7825,0.6815,0.7,1.32375,1.32212,16.3,37.5,0.435,0.214,HTF_EMA,0.00,97.25,9822.64,252,take_profit
sweep_EAdefault,GBPUSD,SWEEP,sweep_mss,14,SHORT,2026-04-06,2026-04-06 02:40:00+00:00,2026-04-06 02:52:00+00:00,1.32111,1.32202,1.32202,1.31929,9.1,-1.0000,0.0004,1.6712,0.8,1.32178,1.31849,32.9,36.4,0.905,0.806,HTF_EMA,0.00,-49.11,9773.53,12,stop_loss
sweep_EAdefault,GBPUSD,SWEEP,sweep_mss,15,SHORT,2026-04-07,2026-04-07 03:30:00+00:00,2026-04-07 04:02:00+00:00,1.32310,1.32422,1.32422,1.32085,11.2,-1.0000,0.3883,3.1003,0.7,1.32386,1.32112,27.4,37.3,0.734,0.654,HTF_EMA,0.00,-48.87,9724.66,32,stop_loss
sweep_EAdefault,GBPUSD,SWEEP,sweep_mss,16,LONG,2026-04-15,2026-04-15 08:35:00+00:00,2026-04-15 08:46:00+00:00,1.35556,1.35471,1.35471,1.35726,8.5,-1.0000,0.0000,1.2297,0.7,1.35790,1.35568,22.2,34.0,0.653,0.926,HTF_EMA,0.00,-48.62,9676.04,11,stop_loss
sweep_EAdefault,GBPUSD,SWEEP,sweep_mss,17,LONG,2026-04-17,2026-04-17 03:40:00+00:00,2026-04-17 05:24:00+00:00,1.35186,1.35363,1.35098,1.35363,8.8,2.0000,2.0519,0.2653,0.5,1.35328,1.35142,18.6,34.9,0.533,0.638,HTF_EMA,0.00,96.76,9772.80,104,take_profit
sweep_EAdefault,GBPUSD,SWEEP,sweep_mss,18,LONG,2026-04-21,2026-04-21 05:55:00+00:00,2026-04-21 09:23:00+00:00,1.35066,1.35231,1.34984,1.35231,8.2,2.0000,2.1519,0.8909,0.7,1.35388,1.35151,23.7,30.9,0.768,0.645,HTF_EMA,0.00,97.73,9870.53,208,take_profit
sweep_EAdefault,GBPUSD,SWEEP,sweep_mss,19,LONG,2026-05-01,2026-05-01 06:10:00+00:00,2026-05-01 08:10:00+00:00,1.36020,1.36230,1.35915,1.36230,10.5,2.0000,2.3218,0.0292,0.6,1.36116,1.35989,12.7,24.1,0.527,0.728,HTF_EMA,0.00,98.71,9969.23,120,take_profit
sweep_EAdefault,GBPUSD,SWEEP,sweep_mss,20,LONG,2026-05-04,2026-05-04 08:05:00+00:00,2026-05-04 08:28:00+00:00,1.35434,1.35608,1.35347,1.35608,8.7,2.0000,2.0702,0.2411,0.6,1.36010,1.35749,26.1,22.9,1.137,1.359,HTF_EMA,0.00,99.69,10068.92,23,take_profit
sweep_EAdefault,GBPUSD,SWEEP,sweep_mss,21,SHORT,2026-05-13,2026-05-13 02:15:00+00:00,2026-05-13 04:00:00+00:00,1.35405,1.35192,1.35511,1.35192,10.6,2.0000,2.0638,0.2951,0.7,1.35461,1.35280,18.1,21.9,0.825,1.093,HTF_EMA,0.00,100.69,10169.61,105,take_profit
sweep_EAdefault,GBPUSD,SWEEP,sweep_mss,22,LONG,2026-05-26,2026-05-26 05:40:00+00:00,2026-05-26 07:42:00+00:00,1.34812,1.34721,1.34721,1.34994,9.1,-1.0000,0.8661,1.0220,0.6,1.35047,1.34822,22.5,20.7,1.087,0.712,HTF_EMA,0.00,-50.85,10118.77,122,stop_loss
