run_tag,symbol,preset,model,ticket,direction,ny_day,entry_time_ny,exit_time_ny,entry_price,exit_price,sl_price,tp_price,risk_points,r_realized,mfe_r,mae_r,spread_pts_entry,range_high,range_low,range_pts,atr_pts,range_atr_ratio,rvol,bias,lots,profit_ccy,balance_after,bars_held,exit_reason
orb_break_direct_fixed_r_t2.0,NZDUSD,ORB,break_direct,1,SHORT,2026-02-04,2026-02-04 09:42:00+00:00,2026-02-04 11:41:00+00:00,0.60147,0.59934,0.60254,0.59934,10.7,2.0000,2.0841,0.7563,0.9,0.60254,0.60166,8.8,0.0,0.000,1.000,OFF,0.00,100.00,10100.00,119,take_profit
orb_break_direct_fixed_r_t2.0,NZDUSD,ORB,break_direct,2,LONG,2026-02-06,2026-02-06 09:38:00+00:00,2026-02-06 15:54:00+00:00,0.60140,0.60185,0.60020,0.60379,12.0,0.3823,1.0639,0.6407,0.9,0.60130,0.60020,11.0,6.3,1.746,0.684,OFF,0.00,19.31,10119.31,376,session_flat
orb_break_direct_fixed_r_t2.0,NZDUSD,ORB,break_direct,3,SHORT,2026-02-13,2026-02-13 09:38:00+00:00,2026-02-13 12:46:00+00:00,0.60360,0.60450,0.60450,0.60180,9.0,-1.0000,1.5744,1.0111,0.8,0.60450,0.60390,6.0,5.9,1.014,1.195,OFF,0.00,-50.60,10068.71,188,stop_loss
orb_break_direct_fixed_r_t2.0,NZDUSD,ORB,break_direct,4,LONG,2026-03-02,2026-03-02 09:36:00+00:00,2026-03-02 10:35:00+00:00,0.59441,0.59326,0.59326,0.59670,11.5,-1.0000,0.7528,1.0872,0.9,0.59426,0.59326,10.0,4.8,2.093,1.453,OFF,0.00,-50.34,10018.37,59,stop_loss
orb_break_direct_fixed_r_t2.0,NZDUSD,ORB,break_direct,5,SHORT,2026-03-03,2026-03-03 09:42:00+00:00,2026-03-03 10:08:00+00:00,0.58711,0.58487,0.58823,0.58487,11.2,2.0000,2.1318,0.2059,1.0,0.58823,0.58758,6.5,5.2,1.247,1.690,OFF,0.00,100.18,10118.55,26,take_profit
orb_break_direct_fixed_r_t2.0,NZDUSD,ORB,break_direct,6,SHORT,2026-03-04,2026-03-04 09:36:00+00:00,2026-03-04 09:53:00+00:00,0.59023,0.59137,0.59137,0.58795,11.4,-1.0000,0.0453,1.0000,1.0,0.59137,0.59095,4.2,5.3,0.791,1.376,OFF,0.00,-50.59,10067.96,17,stop_loss
orb_break_direct_fixed_r_t2.0,NZDUSD,ORB,break_direct,7,SHORT,2026-03-06,2026-03-06 09:36:00+00:00,2026-03-06 10:00:00+00:00,0.58612,0.58730,0.58730,0.58376,11.8,-1.0000,0.1533,1.3986,1.0,0.58730,0.58673,5.7,5.5,1.045,2.021,OFF,0.00,-50.34,10017.62,24,stop_loss
orb_break_direct_fixed_r_t2.0,NZDUSD,ORB,break_direct,8,LONG,2026-03-06,2026-03-06 10:02:00+00:00,2026-03-06 11:37:00+00:00,0.58778,0.58988,0.58673,0.58988,10.5,2.0000,2.2456,0.7716,1.0,0.58730,0.58673,5.7,5.5,1.045,2.021,OFF,0.00,100.18,10117.80,95,take_profit
orb_break_direct_fixed_r_t2.0,NZDUSD,ORB,break_direct,9,SHORT,2026-03-10,2026-03-10 09:44:00+00:00,2026-03-10 10:39:00+00:00,0.59333,0.59451,0.59451,0.59098,11.8,-1.0000,0.3249,1.0000,0.9,0.59451,0.59354,9.7,5.6,1.719,1.117,OFF,0.00,-50.59,10067.21,55,stop_loss
orb_break_direct_fixed_r_t2.0,NZDUSD,ORB,break_direct,10,LONG,2026-04-01,2026-04-01 09:39:00+00:00,2026-04-01 09:42:00+00:00,0.57728,0.57612,0.57612,0.57959,11.6,-1.0000,0.0190,1.0691,1.0,0.57704,0.57612,9.2,5.6,1.649,0.825,OFF,0.00,-50.34,10016.87,3,stop_loss
orb_break_direct_fixed_r_t2.0,NZDUSD,ORB,break_direct,11,SHORT,2026-04-01,2026-04-01 10:01:00+00:00,2026-04-01 11:03:00+00:00,0.57595,0.57704,0.57704,0.57378,10.9,-1.0000,0.3350,1.0737,0.9,0.57704,0.57612,9.2,5.6,1.649,0.825,OFF,0.00,-50.08,9966.79,62,stop_loss
orb_break_direct_fixed_r_t2.0,NZDUSD,ORB,break_direct,12,SHORT,2026-04-08,2026-04-08 09:36:00+00:00,2026-04-08 14:39:00+00:00,0.58378,0.58173,0.58481,0.58173,10.3,2.0000,2.0658,0.4063,0.9,0.58481,0.58393,8.8,5.4,1.640,1.045,OFF,0.00,99.67,10066.45,303,take_profit
orb_break_direct_fixed_r_t2.0,NZDUSD,ORB,break_direct,13,SHORT,2026-06-12,2026-06-12 09:41:00+00:00,2026-06-12 11:18:00+00:00,0.58227,0.58326,0.58326,0.58030,9.9,-1.0000,0.3691,1.0507,0.9,0.58326,0.58283,4.3,3.4,1.259,1.287,OFF,0.00,-50.33,10016.12,97,stop_loss
orb_break_direct_fixed_r_t2.0,NZDUSD,ORB,break_direct,14,LONG,2026-06-16,2026-06-16 09:43:00+00:00,2026-06-16 15:54:00+00:00,0.58335,0.58319,0.58262,0.58480,7.3,-0.2112,1.3156,0.9311,0.3,0.58324,0.58262,6.2,3.8,1.650,1.137,OFF,0.00,-10.58,10005.54,371,session_flat
