run_tag,symbol,preset,model,ticket,direction,ny_day,entry_time_ny,exit_time_ny,entry_price,exit_price,sl_price,tp_price,risk_points,r_realized,mfe_r,mae_r,spread_pts_entry,range_high,range_low,range_pts,atr_pts,range_atr_ratio,rvol,bias,lots,profit_ccy,balance_after,bars_held,exit_reason
rvoltest_1.10,USATECHIDXUSD,ORB,break_direct,1,LONG,2026-02-05,2026-02-05 09:38:00+00:00,2026-02-05 10:08:00+00:00,24751.86237,24553.27900,24553.27900,25149.02910,198.6,-1.0000,0.5448,1.0470,1.1,24714.01100,24553.27900,160.7,131.0,1.227,1.175,OFF,0.00,-50.00,9950.00,30,stop_loss
rvoltest_1.10,USATECHIDXUSD,ORB,break_direct,2,SHORT,2026-02-05,2026-02-05 10:11:00+00:00,2026-02-05 11:33:00+00:00,24544.56650,24714.01100,24714.01100,24205.67749,169.4,-1.0000,0.5593,1.0042,1.1,24714.01100,24553.27900,160.7,131.0,1.227,1.175,OFF,0.00,-49.75,9900.25,82,stop_loss
rvoltest_1.10,USATECHIDXUSD,ORB,break_direct,3,LONG,2026-06-16,2026-06-16 09:36:00+00:00,2026-06-16 10:19:00+00:00,30510.58674,30429.48900,30429.48900,30672.78222,81.1,-1.0000,0.6945,1.3241,1.2,30494.23200,30429.48900,64.7,104.2,0.621,1.106,OFF,0.00,-49.50,9850.75,43,stop_loss
rvoltest_1.10,USATECHIDXUSD,ORB,break_direct,4,SHORT,2026-06-16,2026-06-16 10:21:00+00:00,2026-06-16 10:58:00+00:00,30416.03205,30259.63216,30494.23200,30259.63216,78.2,2.0000,2.0911,0.3440,1.3,30494.23200,30429.48900,64.7,104.2,0.621,1.106,OFF,0.00,98.51,9949.26,37,take_profit
rvoltest_1.10,USATECHIDXUSD,ORB,break_direct,5,LONG,2026-06-22,2026-06-22 09:39:00+00:00,2026-06-22 12:00:00+00:00,30600.43895,30445.77200,30445.77200,30909.77284,154.7,-1.0000,0.1114,2.4442,1.3,30590.70800,30445.77200,144.9,109.5,1.324,1.115,OFF,0.00,-49.75,9899.51,21,stop_loss
rvoltest_1.10,USATECHIDXUSD,ORB,break_direct,6,LONG,2026-06-26,2026-06-26 09:57:00+00:00,2026-06-26 15:54:00+00:00,29119.92136,29155.39794,28886.66400,29586.43609,233.3,0.1521,1.2652,0.1133,2.0,29073.04200,28886.66400,186.4,120.0,1.553,1.644,OFF,0.00,7.53,9907.04,357,session_flat
rvoltest_1.10,USATECHIDXUSD,ORB,break_direct,7,LONG,2026-06-29,2026-06-29 09:45:00+00:00,2026-06-29 10:00:00+00:00,29495.69183,29267.45300,29267.45300,29952.16950,228.2,-1.0000,0.2108,1.1255,1.8,29476.78300,29267.45300,209.3,123.1,1.700,1.323,OFF,0.00,-49.54,9857.50,15,stop_loss
rvoltest_1.10,USATECHIDXUSD,ORB,break_direct,8,SHORT,2026-06-29,2026-06-29 10:05:00+00:00,2026-06-29 11:29:00+00:00,29249.69022,29476.78300,29476.78300,28795.50467,227.1,-1.0000,1.1779,1.0701,1.2,29476.78300,29267.45300,209.3,123.1,1.700,1.323,OFF,0.00,-49.29,9808.22,84,stop_loss
rvoltest_1.10,USATECHIDXUSD,ORB,break_direct,9,LONG,2026-07-02,2026-07-02 09:37:00+00:00,2026-07-02 10:27:00+00:00,29892.52195,29750.54200,29750.54200,30176.48185,142.0,-1.0000,1.0205,1.4676,1.2,29881.83800,29750.54200,131.3,133.4,0.984,1.256,OFF,0.00,-49.04,9759.17,50,stop_loss
rvoltest_1.10,USATECHIDXUSD,ORB,break_direct,10,SHORT,2026-07-02,2026-07-02 10:29:00+00:00,2026-07-02 12:30:00+00:00,29684.14519,29288.75956,29881.83800,29288.75956,197.7,2.0000,2.0127,0.3475,1.3,29881.83800,29750.54200,131.3,133.4,0.984,1.256,OFF,0.00,97.59,9856.77,121,take_profit
