run_tag,symbol,preset,model,ticket,direction,ny_day,entry_time_ny,exit_time_ny,entry_price,exit_price,sl_price,tp_price,risk_points,r_realized,mfe_r,mae_r,spread_pts_entry,range_high,range_low,range_pts,atr_pts,range_atr_ratio,rvol,bias,lots,profit_ccy,balance_after,bars_held,exit_reason
orb_break_direct_fixed_r_t2.0,USDCAD,ORB,break_direct,1,LONG,2026-02-02,2026-02-02 10:02:00+00:00,2026-02-02 15:54:00+00:00,1.36738,1.36755,1.36370,1.37475,36.8,0.0456,0.7704,0.5764,1.1,1.36707,1.36370,33.7,0.0,0.000,1.000,OFF,0.00,2.28,10002.28,352,session_flat
orb_break_direct_fixed_r_t2.0,USDCAD,ORB,break_direct,2,SHORT,2026-02-04,2026-02-04 09:47:00+00:00,2026-02-04 09:55:00+00:00,1.36514,1.36625,1.36625,1.36291,11.1,-1.0000,0.0521,1.0000,1.0,1.36625,1.36531,9.4,21.1,0.445,0.831,OFF,0.00,-50.01,9952.27,8,stop_loss
orb_break_direct_fixed_r_t2.0,USDCAD,ORB,break_direct,3,LONG,2026-02-04,2026-02-04 09:57:00+00:00,2026-02-04 15:54:00+00:00,1.36642,1.36702,1.36531,1.36864,11.1,0.5427,1.7677,0.9189,1.0,1.36625,1.36531,9.4,21.1,0.445,0.831,OFF,0.00,27.01,9979.28,357,session_flat
orb_break_direct_fixed_r_t2.0,USDCAD,ORB,break_direct,4,SHORT,2026-02-06,2026-02-06 09:38:00+00:00,2026-02-06 14:13:00+00:00,1.36353,1.36537,1.36537,1.35985,18.4,-1.0000,0.6080,1.0054,1.0,1.36537,1.36393,14.4,14.8,0.970,0.727,OFF,0.00,-49.90,9929.38,275,stop_loss
orb_break_direct_fixed_r_t2.0,USDCAD,ORB,break_direct,5,LONG,2026-02-09,2026-02-09 09:36:00+00:00,2026-02-09 09:43:00+00:00,1.35924,1.35801,1.35801,1.36170,12.3,-1.0000,0.0087,1.0244,1.0,1.35911,1.35801,11.0,14.8,0.745,1.139,OFF,0.00,-49.65,9879.73,7,stop_loss
orb_break_direct_fixed_r_t2.0,USDCAD,ORB,break_direct,6,SHORT,2026-02-09,2026-02-09 09:56:00+00:00,2026-02-09 15:32:00+00:00,1.35793,1.35557,1.35911,1.35557,11.8,2.0000,2.0556,0.7969,1.0,1.35911,1.35801,11.0,14.8,0.745,1.139,OFF,0.00,98.80,9978.53,336,take_profit
orb_break_direct_fixed_r_t2.0,USDCAD,ORB,break_direct,7,LONG,2026-02-10,2026-02-10 09:49:00+00:00,2026-02-10 09:55:00+00:00,1.35412,1.35300,1.35300,1.35636,11.2,-1.0000,0.2871,0.9642,1.0,1.35388,1.35300,8.8,14.1,0.623,0.875,OFF,0.00,-49.89,9928.64,6,stop_loss
orb_break_direct_fixed_r_t2.0,USDCAD,ORB,break_direct,8,LONG,2026-02-11,2026-02-11 09:51:00+00:00,2026-02-11 11:47:00+00:00,1.35891,1.35734,1.35734,1.36205,15.7,-1.0000,1.8837,1.0064,1.0,1.35879,1.35734,14.5,13.4,1.084,1.189,OFF,0.00,-49.64,9879.00,116,stop_loss
orb_break_direct_fixed_r_t2.0,USDCAD,ORB,break_direct,9,LONG,2026-02-12,2026-02-12 09:43:00+00:00,2026-02-12 10:34:00+00:00,1.35742,1.35972,1.35627,1.35972,11.5,2.0000,2.2147,0.1833,1.0,1.35708,1.35627,8.1,13.5,0.599,0.672,OFF,0.00,98.79,9977.79,51,take_profit
orb_break_direct_fixed_r_t2.0,USDCAD,ORB,break_direct,10,LONG,2026-02-17,2026-02-17 09:37:00+00:00,2026-02-17 11:16:00+00:00,1.36736,1.36617,1.36617,1.36974,11.9,-1.0000,1.5883,1.0084,1.0,1.36729,1.36617,11.2,11.5,0.973,1.168,OFF,0.00,-49.89,9927.90,99,stop_loss
orb_break_direct_fixed_r_t2.0,USDCAD,ORB,break_direct,11,SHORT,2026-02-18,2026-02-18 09:55:00+00:00,2026-02-18 11:27:00+00:00,1.36624,1.36740,1.36740,1.36392,11.6,-1.0000,0.2942,0.9655,1.0,1.36740,1.36646,9.4,11.5,0.819,0.934,OFF,0.00,-49.64,9878.26,92,stop_loss
orb_break_direct_fixed_r_t2.0,USDCAD,ORB,break_direct,12,SHORT,2026-02-23,2026-02-23 09:51:00+00:00,2026-02-23 10:04:00+00:00,1.36671,1.36809,1.36809,1.36396,13.8,-1.0000,0.0092,1.0073,1.1,1.36809,1.36697,11.2,9.1,1.235,1.220,OFF,0.00,-49.39,9828.87,13,stop_loss
