run_tag,symbol,preset,model,ticket,direction,ny_day,entry_time_ny,exit_time_ny,entry_price,exit_price,sl_price,tp_price,risk_points,r_realized,mfe_r,mae_r,spread_pts_entry,range_high,range_low,range_pts,atr_pts,range_atr_ratio,rvol,bias,lots,profit_ccy,balance_after,bars_held,exit_reason
orb_break_direct_fixed_r_t1.5,USDCHF,ORB,break_direct,1,SHORT,2026-02-09,2026-02-09 09:59:00+00:00,2026-02-09 15:54:00+00:00,0.76734,0.76649,0.76858,0.76548,12.4,0.6895,1.3007,0.8385,0.8,0.76858,0.76744,11.4,4.6,2.452,1.051,OFF,0.00,34.48,10034.48,355,session_flat
orb_break_direct_fixed_r_t1.5,USDCHF,ORB,break_direct,2,LONG,2026-02-10,2026-02-10 09:49:00+00:00,2026-02-10 10:29:00+00:00,0.76371,0.76495,0.76289,0.76495,8.2,1.5000,2.1120,0.5138,0.7,0.76361,0.76289,7.2,6.9,1.043,1.158,OFF,0.00,75.26,10109.73,40,take_profit
orb_break_direct_fixed_r_t1.5,USDCHF,ORB,break_direct,3,LONG,2026-02-11,2026-02-11 09:36:00+00:00,2026-02-11 11:30:00+00:00,0.77236,0.77115,0.77115,0.77417,12.1,-1.0000,0.5210,1.0000,0.8,0.77212,0.77115,9.7,7.0,1.391,1.739,OFF,0.00,-50.55,10059.19,114,stop_loss
orb_break_direct_fixed_r_t1.5,USDCHF,ORB,break_direct,4,SHORT,2026-02-12,2026-02-12 09:40:00+00:00,2026-02-12 11:07:00+00:00,0.76856,0.76725,0.76944,0.76725,8.8,1.5000,1.5889,0.7035,0.7,0.76944,0.76872,7.2,7.5,0.957,0.704,OFF,0.00,75.44,10134.63,87,take_profit
orb_break_direct_fixed_r_t1.5,USDCHF,ORB,break_direct,5,SHORT,2026-02-27,2026-02-27 09:36:00+00:00,2026-02-27 10:34:00+00:00,0.76874,0.76738,0.76965,0.76738,9.1,1.5000,1.5970,0.3948,0.8,0.76965,0.76913,5.2,5.6,0.926,0.987,OFF,0.00,76.01,10210.64,58,take_profit
orb_break_direct_fixed_r_t1.5,USDCHF,ORB,break_direct,6,LONG,2026-03-05,2026-03-05 09:40:00+00:00,2026-03-05 11:06:00+00:00,0.78092,0.78266,0.77976,0.78266,11.6,1.5000,1.6460,0.9655,0.8,0.78061,0.77976,8.5,5.4,1.582,1.199,OFF,0.00,76.58,10287.22,86,take_profit
orb_break_direct_fixed_r_t1.5,USDCHF,ORB,break_direct,7,SHORT,2026-03-06,2026-03-06 09:42:00+00:00,2026-03-06 10:01:00+00:00,0.78017,0.77845,0.78132,0.77845,11.5,1.5000,1.5768,0.1991,0.8,0.78132,0.78026,10.6,5.5,1.940,1.733,OFF,0.00,77.15,10364.37,19,take_profit
orb_break_direct_fixed_r_t1.5,USDCHF,ORB,break_direct,8,SHORT,2026-03-19,2026-03-19 09:51:00+00:00,2026-03-19 09:56:00+00:00,0.79323,0.79173,0.79423,0.79173,10.0,1.5000,1.8961,0.1212,0.8,0.79423,0.79340,8.3,5.3,1.562,1.656,OFF,0.00,77.73,10442.11,5,take_profit
orb_break_direct_fixed_r_t1.5,USDCHF,ORB,break_direct,9,SHORT,2026-04-01,2026-04-01 09:39:00+00:00,2026-04-01 09:48:00+00:00,0.79119,0.79221,0.79221,0.78966,10.2,-1.0000,0.0881,0.9804,0.8,0.79221,0.79164,5.7,5.4,1.049,1.052,OFF,0.00,-52.21,10389.90,9,stop_loss
orb_break_direct_fixed_r_t1.5,USDCHF,ORB,break_direct,10,LONG,2026-04-08,2026-04-08 09:36:00+00:00,2026-04-08 14:18:00+00:00,0.78922,0.79097,0.78805,0.79097,11.7,1.5000,1.5574,0.7776,0.8,0.78882,0.78805,7.7,4.9,1.588,1.469,OFF,0.00,77.92,10467.82,282,take_profit
