run_tag,symbol,preset,model,ticket,direction,ny_day,entry_time_ny,exit_time_ny,entry_price,exit_price,sl_price,tp_price,risk_points,r_realized,mfe_r,mae_r,spread_pts_entry,range_high,range_low,range_pts,atr_pts,range_atr_ratio,rvol,bias,lots,profit_ccy,balance_after,bars_held,exit_reason
orb_break_direct_fixed_r_t2.0_rvol1.5,USDCHF,ORB,break_direct,1,LONG,2026-02-11,2026-02-11 09:36:00+00:00,2026-02-11 11:30:00+00:00,0.77236,0.77115,0.77115,0.77478,12.1,-1.0000,0.5210,1.0000,0.8,0.77212,0.77115,9.7,7.0,1.391,1.739,OFF,0.00,-50.00,9950.00,114,stop_loss
orb_break_direct_fixed_r_t2.0_rvol1.5,USDCHF,ORB,break_direct,2,SHORT,2026-03-06,2026-03-06 09:42:00+00:00,2026-03-06 11:20:00+00:00,0.78017,0.77787,0.78132,0.77787,11.5,2.0000,2.1600,0.1991,0.8,0.78132,0.78026,10.6,5.5,1.940,1.733,OFF,0.00,99.50,10049.50,98,take_profit
orb_break_direct_fixed_r_t2.0_rvol1.5,USDCHF,ORB,break_direct,3,SHORT,2026-03-19,2026-03-19 09:51:00+00:00,2026-03-19 10:06:00+00:00,0.79323,0.79123,0.79423,0.79123,10.0,2.0000,2.3855,0.1212,0.8,0.79423,0.79340,8.3,5.3,1.562,1.656,OFF,0.00,100.50,10150.00,15,take_profit
orb_break_direct_fixed_r_t2.0_rvol1.5,USDCHF,ORB,break_direct,4,LONG,2026-04-28,2026-04-28 10:20:00+00:00,2026-04-28 10:53:00+00:00,0.79088,0.78978,0.78978,0.79307,11.0,-1.0000,0.0000,0.9726,0.7,0.79064,0.78978,8.6,4.8,1.786,1.774,OFF,0.00,-50.75,10099.25,33,stop_loss
orb_break_direct_fixed_r_t2.0_rvol1.5,USDCHF,ORB,break_direct,5,SHORT,2026-04-30,2026-04-30 09:48:00+00:00,2026-04-30 10:54:00+00:00,0.78402,0.78159,0.78524,0.78159,12.2,2.0000,2.0949,0.6388,0.8,0.78524,0.78436,8.8,4.9,1.786,1.739,OFF,0.00,100.99,10200.24,66,take_profit
orb_break_direct_fixed_r_t2.0_rvol1.5,USDCHF,ORB,break_direct,6,LONG,2026-06-01,2026-06-01 09:37:00+00:00,2026-06-01 11:30:00+00:00,0.78728,0.78642,0.78642,0.78901,8.6,-1.0000,1.3359,1.4047,0.7,0.78716,0.78642,7.4,3.7,2.004,2.108,OFF,0.00,-51.00,10149.24,113,stop_loss
orb_break_direct_fixed_r_t2.0_rvol1.5,USDCHF,ORB,break_direct,7,LONG,2026-06-05,2026-06-05 09:43:00+00:00,2026-06-05 11:58:00+00:00,0.79330,0.79556,0.79217,0.79556,11.3,2.0000,2.0468,0.5749,0.8,0.79318,0.79217,10.1,4.0,2.557,1.766,OFF,0.00,101.49,10250.73,135,take_profit
orb_break_direct_fixed_r_t2.0_rvol1.5,USDCHF,ORB,break_direct,8,SHORT,2026-07-01,2026-07-01 09:39:00+00:00,2026-07-01 12:06:00+00:00,0.80963,0.80781,0.81054,0.80781,9.1,2.0000,2.0455,0.4942,0.8,0.81054,0.80982,7.2,4.8,1.511,2.212,OFF,0.00,102.51,10353.24,147,take_profit
orb_break_direct_fixed_r_t2.0_rvol1.5,USDCHF,ORB,break_direct,9,SHORT,2026-07-02,2026-07-02 09:49:00+00:00,2026-07-02 13:17:00+00:00,0.80257,0.80360,0.80360,0.80050,10.3,-1.0000,0.9854,0.9903,0.9,0.80360,0.80261,9.9,4.9,2.038,1.684,OFF,0.00,-51.77,10301.47,208,stop_loss
orb_break_direct_fixed_r_t2.0_rvol1.5,USDCHF,ORB,break_direct,10,SHORT,2026-07-14,2026-07-14 10:02:00+00:00,2026-07-14 10:30:00+00:00,0.80677,0.80762,0.80762,0.80507,8.5,-1.0000,0.8585,0.9882,0.8,0.80762,0.80706,5.6,4.5,1.250,1.760,OFF,0.00,-51.51,10249.96,28,stop_loss
