run_tag,symbol,preset,model,ticket,direction,ny_day,entry_time_ny,exit_time_ny,entry_price,exit_price,sl_price,tp_price,risk_points,r_realized,mfe_r,mae_r,spread_pts_entry,range_high,range_low,range_pts,atr_pts,range_atr_ratio,rvol,bias,lots,profit_ccy,balance_after,bars_held,exit_reason
orb_break_direct_fixed_r_t2.0_rvol1.5,USDJPY,ORB,break_direct,1,SHORT,2026-03-02,2026-03-02 09:38:00+00:00,2026-03-02 10:00:00+00:00,157.43246,157.56600,157.56600,157.16537,13.4,-1.0000,0.1532,1.3819,0.5,157.56600,157.44800,11.8,8.8,1.340,1.534,OFF,0.00,-50.00,9950.00,22,stop_loss
orb_break_direct_fixed_r_t2.0_rvol1.5,USDJPY,ORB,break_direct,2,LONG,2026-03-02,2026-03-02 10:02:00+00:00,2026-03-02 11:35:00+00:00,157.59419,157.44800,157.44800,157.88657,14.6,-1.0000,1.0727,1.0137,0.6,157.56600,157.44800,11.8,8.8,1.340,1.534,OFF,0.00,-49.75,9900.25,93,stop_loss
orb_break_direct_fixed_r_t2.0_rvol1.5,USDJPY,ORB,break_direct,3,SHORT,2026-03-06,2026-03-06 09:43:00+00:00,2026-03-06 15:54:00+00:00,157.84414,157.88788,158.01000,157.51242,16.6,-0.2637,2.0085,0.6985,0.6,158.01000,157.85100,15.9,9.1,1.743,1.940,OFF,0.00,-13.06,9887.19,251,session_flat
orb_break_direct_fixed_r_t2.0_rvol1.5,USDJPY,ORB,break_direct,4,LONG,2026-03-09,2026-03-09 09:42:00+00:00,2026-03-09 11:21:00+00:00,158.33371,158.18600,158.18600,158.62913,14.8,-1.0000,1.4440,1.1083,0.5,158.31600,158.18600,13.0,10.0,1.295,1.553,OFF,0.00,-49.44,9837.76,99,stop_loss
orb_break_direct_fixed_r_t2.0_rvol1.5,USDJPY,ORB,break_direct,5,SHORT,2026-03-19,2026-03-19 09:37:00+00:00,2026-03-19 09:53:00+00:00,158.63635,158.28106,158.81400,158.28106,17.8,2.0000,2.1861,0.1613,0.5,158.81400,158.65100,16.3,8.9,1.831,1.535,OFF,0.00,98.38,9936.14,16,take_profit
orb_break_direct_fixed_r_t2.0_rvol1.5,USDJPY,ORB,break_direct,6,LONG,2026-03-23,2026-03-23 09:36:00+00:00,2026-03-23 09:37:00+00:00,158.70170,158.59200,158.59200,158.92111,11.0,-1.0000,0.0027,1.3373,0.5,158.69300,158.59200,10.1,9.4,1.079,1.960,OFF,0.00,-49.68,9886.46,1,stop_loss
orb_break_direct_fixed_r_t2.0_rvol1.5,USDJPY,ORB,break_direct,7,SHORT,2026-03-23,2026-03-23 09:39:00+00:00,2026-03-23 10:01:00+00:00,158.58753,158.37658,158.69300,158.37658,10.5,2.0000,2.3658,0.2320,0.5,158.69300,158.59200,10.1,9.4,1.079,1.960,OFF,0.00,98.86,9985.32,22,take_profit
orb_break_direct_fixed_r_t2.0_rvol1.5,USDJPY,ORB,break_direct,8,LONG,2026-04-28,2026-04-28 10:02:00+00:00,2026-04-28 15:54:00+00:00,159.56499,159.66600,159.44500,159.80497,12.0,0.8418,1.5252,0.4750,0.6,159.54700,159.44500,10.2,7.4,1.382,1.538,OFF,0.00,42.03,10027.35,352,session_flat
orb_break_direct_fixed_r_t2.0_rvol1.5,USDJPY,ORB,break_direct,9,LONG,2026-04-30,2026-04-30 09:36:00+00:00,2026-04-30 10:50:00+00:00,156.73902,156.54000,156.54000,157.13707,19.9,-1.0000,1.1103,1.1005,0.4,156.70100,156.54000,16.1,7.4,2.186,1.696,OFF,0.00,-50.14,9977.21,74,stop_loss
orb_break_direct_fixed_r_t2.0_rvol1.5,USDJPY,ORB,break_direct,10,SHORT,2026-06-05,2026-06-05 09:45:00+00:00,2026-06-05 09:45:00+00:00,160.10462,159.96787,160.17300,159.96787,6.8,2.0000,2.3930,0.0494,0.5,160.17300,160.13600,3.7,4.0,0.933,1.722,OFF,0.00,99.77,10076.98,0,take_profit
