run_tag,symbol,preset,model,ticket,direction,ny_day,entry_time_ny,exit_time_ny,entry_price,exit_price,sl_price,tp_price,risk_points,r_realized,mfe_r,mae_r,spread_pts_entry,range_high,range_low,range_pts,atr_pts,range_atr_ratio,rvol,bias,lots,profit_ccy,balance_after,bars_held,exit_reason
orb_break_direct_fixed_r_t1.5,XAGUSD,ORB,break_direct,1,LONG,2026-02-03,2026-02-03 09:40:00+00:00,2026-02-03 12:00:00+00:00,87.88286,86.40100,86.40100,90.10564,148.2,-1.0000,0.7039,1.0769,7.4,87.50800,86.40100,110.7,0.0,0.000,1.000,OFF,0.00,-50.00,9950.00,80,stop_loss
orb_break_direct_fixed_r_t1.5,XAGUSD,ORB,break_direct,2,SHORT,2026-02-04,2026-02-04 09:39:00+00:00,2026-02-04 11:00:00+00:00,89.42124,86.55809,91.33000,86.55809,190.9,1.5000,1.5771,0.5154,10.6,91.33000,89.98900,134.1,0.0,0.000,1.000,OFF,0.00,74.63,10024.62,21,take_profit
orb_break_direct_fixed_r_t1.5,XAGUSD,ORB,break_direct,3,LONG,2026-02-05,2026-02-05 09:40:00+00:00,2026-02-05 10:43:00+00:00,75.68952,73.43800,73.43800,79.06680,225.2,-1.0000,0.8157,1.0115,11.7,75.27900,73.43800,184.1,122.4,1.504,0.874,OFF,0.00,-50.12,9974.50,63,stop_loss
orb_break_direct_fixed_r_t1.5,XAGUSD,ORB,break_direct,4,LONG,2026-02-06,2026-02-06 09:36:00+00:00,2026-02-06 13:10:00+00:00,75.81088,77.95119,74.38400,77.95119,142.7,1.5000,1.5265,0.5536,8.4,75.71200,74.38400,132.8,143.0,0.929,0.808,OFF,0.00,74.81,10049.31,154,take_profit
orb_break_direct_fixed_r_t1.5,XAGUSD,ORB,break_direct,5,LONG,2026-02-09,2026-02-09 09:40:00+00:00,2026-02-09 11:00:00+00:00,81.08332,82.63031,80.05200,82.63031,103.1,1.5000,1.5763,0.2747,6.9,81.00400,80.05200,95.2,140.4,0.678,0.954,OFF,0.00,75.37,10124.68,80,take_profit
orb_break_direct_fixed_r_t1.5,XAGUSD,ORB,break_direct,6,SHORT,2026-02-10,2026-02-10 09:38:00+00:00,2026-02-10 10:38:00+00:00,82.32994,81.28586,83.02600,81.28586,69.6,1.5000,1.8934,0.2113,6.4,83.02600,82.37800,64.8,131.4,0.493,0.745,OFF,0.00,75.94,10200.62,60,take_profit
orb_break_direct_fixed_r_t1.5,XAGUSD,ORB,break_direct,7,SHORT,2026-02-11,2026-02-11 09:39:00+00:00,2026-02-11 15:54:00+00:00,83.93032,84.55438,84.97400,82.36481,104.4,-0.5979,1.3082,0.8774,6.3,84.97400,84.23400,74.0,120.3,0.615,0.888,OFF,0.00,-30.50,10170.12,375,session_flat
orb_break_direct_fixed_r_t1.5,XAGUSD,ORB,break_direct,8,SHORT,2026-02-13,2026-02-13 09:38:00+00:00,2026-02-13 09:42:00+00:00,77.61424,75.97510,78.70700,75.97510,109.3,1.5000,1.5614,0.1215,7.6,78.70700,78.45300,25.4,107.2,0.237,0.748,OFF,0.00,76.28,10246.39,4,take_profit
orb_break_direct_fixed_r_t1.5,XAGUSD,ORB,break_direct,9,SHORT,2026-02-13,2026-02-13 09:44:00+00:00,2026-02-13 15:54:00+00:00,76.49986,76.78404,78.70700,73.18914,220.7,-0.1288,0.0801,0.9633,10.4,78.70700,78.45300,25.4,107.2,0.237,0.748,OFF,0.00,-6.60,10239.80,370,session_flat
orb_break_direct_fixed_r_t1.5,XAGUSD,ORB,break_direct,10,SHORT,2026-02-17,2026-02-17 09:39:00+00:00,2026-02-17 15:54:00+00:00,73.61560,73.38699,74.72900,71.94551,111.3,0.2053,1.5184,0.4171,7.7,74.72900,73.75000,97.9,89.6,1.093,1.367,OFF,0.00,10.51,10250.31,375,session_flat
