run_tag,symbol,preset,model,ticket,direction,ny_day,entry_time_ny,exit_time_ny,entry_price,exit_price,sl_price,tp_price,risk_points,r_realized,mfe_r,mae_r,spread_pts_entry,range_high,range_low,range_pts,atr_pts,range_atr_ratio,rvol,bias,lots,profit_ccy,balance_after,bars_held,exit_reason
orb_break_direct_fixed_r_t1.5,XAUUSD,ORB,break_direct,1,SHORT,2026-02-04,2026-02-04 09:38:00+00:00,2026-02-04 10:31:00+00:00,4997.10578,4935.96694,5037.86500,4935.96694,407.6,1.5000,1.6757,0.5008,13.4,5037.86500,5003.66500,342.0,0.0,0.000,1.000,OFF,0.00,75.00,10075.00,53,take_profit
orb_break_direct_fixed_r_t1.5,XAUUSD,ORB,break_direct,2,LONG,2026-02-05,2026-02-05 09:39:00+00:00,2026-02-05 10:46:00+00:00,4841.05029,4805.73500,4805.73500,4894.02323,353.2,-1.0000,0.7970,1.0864,10.5,4836.23100,4805.73500,305.0,0.0,0.000,1.000,OFF,0.00,-50.38,10024.62,67,stop_loss
orb_break_direct_fixed_r_t1.5,XAUUSD,ORB,break_direct,3,LONG,2026-02-06,2026-02-06 09:38:00+00:00,2026-02-06 15:54:00+00:00,4945.92675,4950.95391,4897.28500,5018.88938,486.4,0.1034,0.5134,0.5006,9.2,4930.16500,4897.28500,328.8,323.5,1.016,0.746,OFF,0.00,5.18,10029.81,376,session_flat
orb_break_direct_fixed_r_t1.5,XAUUSD,ORB,break_direct,4,LONG,2026-02-09,2026-02-09 09:44:00+00:00,2026-02-09 11:22:00+00:00,5036.35264,5070.53410,5013.56500,5070.53410,227.9,1.5000,1.6602,0.5708,7.6,5035.49800,5013.56500,219.3,325.3,0.674,0.821,OFF,0.00,75.22,10105.03,98,take_profit
orb_break_direct_fixed_r_t1.5,XAUUSD,ORB,break_direct,5,SHORT,2026-02-10,2026-02-10 09:37:00+00:00,2026-02-10 09:45:00+00:00,5064.49798,5043.51745,5078.48500,5043.51745,139.9,1.5000,1.6210,0.0470,7.8,5078.48500,5067.69500,107.9,298.8,0.361,0.764,OFF,0.00,75.79,10180.82,8,take_profit
orb_break_direct_fixed_r_t1.5,XAUUSD,ORB,break_direct,6,SHORT,2026-02-10,2026-02-10 09:47:00+00:00,2026-02-10 15:54:00+00:00,5043.29973,5034.02619,5078.48500,4990.52183,351.9,0.2636,1.2680,0.1297,7.9,5078.48500,5067.69500,107.9,298.8,0.361,0.764,OFF,0.00,13.42,10194.23,367,session_flat
orb_break_direct_fixed_r_t1.5,XAUUSD,ORB,break_direct,7,SHORT,2026-02-11,2026-02-11 09:37:00+00:00,2026-02-11 10:05:00+00:00,5059.63716,5075.56500,5075.56500,5035.74540,159.3,-1.0000,1.5132,1.0226,8.8,5075.56500,5060.23500,153.3,260.6,0.588,1.003,OFF,0.00,-50.97,10143.26,28,stop_loss
orb_break_direct_fixed_r_t1.5,XAUUSD,ORB,break_direct,8,LONG,2026-02-11,2026-02-11 10:08:00+00:00,2026-02-11 10:24:00+00:00,5076.25923,5060.23500,5060.23500,5100.29557,160.2,-1.0000,0.3261,1.8529,7.9,5075.56500,5060.23500,153.3,260.6,0.588,1.003,OFF,0.00,-50.72,10092.55,16,stop_loss
orb_break_direct_fixed_r_t1.5,XAUUSD,ORB,break_direct,9,SHORT,2026-02-12,2026-02-12 09:43:00+00:00,2026-02-12 10:30:00+00:00,5056.59629,5071.35500,5071.35500,5034.45823,147.6,-1.0000,1.1743,1.0535,8.0,5071.35500,5058.37500,129.8,242.7,0.535,0.693,OFF,0.00,-50.46,10042.08,47,stop_loss
orb_break_direct_fixed_r_t1.5,XAUUSD,ORB,break_direct,10,SHORT,2026-02-13,2026-02-13 09:40:00+00:00,2026-02-13 10:09:00+00:00,4986.95443,5010.63600,5010.63600,4951.43209,236.8,-1.0000,0.9799,1.0073,9.4,5010.63600,4993.81500,168.2,226.6,0.742,0.866,OFF,0.00,-50.21,9991.87,29,stop_loss
