run_tag,symbol,preset,model,ticket,direction,ny_day,entry_time_ny,exit_time_ny,entry_price,exit_price,sl_price,tp_price,risk_points,r_realized,mfe_r,mae_r,spread_pts_entry,range_high,range_low,range_pts,atr_pts,range_atr_ratio,rvol,bias,lots,profit_ccy,balance_after,bars_held,exit_reason
orb_direct_timeonly,XAUUSD,ORB,break_direct,1,LONG,2026-02-03,2026-02-03 10:09:00+00:00,2026-02-03 14:01:00+00:00,4934.71340,4896.89500,4896.89500,0,378.2,-1.0000,1.5533,1.0217,14.2,4928.67500,4896.89500,317.8,0.0,0.000,1.000,OFF,0.00,-50.00,9950.00,172,stop_loss
orb_direct_timeonly,XAUUSD,ORB,break_direct,2,SHORT,2026-02-04,2026-02-04 09:38:00+00:00,2026-02-04 15:54:00+00:00,4997.10578,4943.45075,5037.86500,0,407.6,1.3164,3.0604,0.5008,13.4,5037.86500,5003.66500,342.0,0.0,0.000,1.000,OFF,0.00,65.49,10015.49,316,session_flat
orb_direct_timeonly,XAUUSD,ORB,break_direct,3,LONG,2026-02-05,2026-02-05 09:39:00+00:00,2026-02-05 10:46:00+00:00,4841.05029,4805.73500,4805.73500,0,353.2,-1.0000,0.7970,1.0864,10.5,4836.23100,4805.73500,305.0,329.9,0.924,0.948,OFF,0.00,-50.08,9965.41,67,stop_loss
orb_direct_timeonly,XAUUSD,ORB,break_direct,4,LONG,2026-02-06,2026-02-06 09:38:00+00:00,2026-02-06 10:59:00+00:00,4945.92675,4942.92629,4897.28500,0,486.4,-0.0617,0.3785,0.4823,9.2,4930.16500,4897.28500,328.8,321.6,1.022,0.735,OFF,0.00,-3.07,9962.34,81,session_flat
orb_direct_timeonly,XAUUSD,ORB,break_direct,5,SHORT,2026-02-27,2026-02-27 09:42:00+00:00,2026-02-27 11:00:00+00:00,5214.70880,5233.54500,5233.54500,0,188.4,-1.0000,0.0114,1.3458,9.1,5233.54500,5217.82500,157.2,323.4,0.486,0.925,OFF,0.00,-49.81,9912.53,18,stop_loss
orb_direct_timeonly,XAUUSD,ORB,break_direct,6,LONG,2026-03-02,2026-03-02 09:39:00+00:00,2026-03-02 11:00:00+00:00,5344.07548,5305.06900,5305.06900,0,390.1,-1.0000,0.2963,1.4508,13.4,5339.85500,5305.06900,347.9,290.2,1.199,1.188,OFF,0.00,-49.56,9862.97,81,stop_loss
orb_direct_timeonly,XAUUSD,ORB,break_direct,7,SHORT,2026-03-03,2026-03-03 09:36:00+00:00,2026-03-03 14:02:00+00:00,5111.54260,5145.63500,5145.63500,0,340.9,-1.0000,3.4045,1.0041,11.0,5145.63500,5113.66500,319.7,299.8,1.066,1.162,OFF,0.00,-49.31,9813.65,266,stop_loss
orb_direct_timeonly,XAUUSD,ORB,break_direct,8,SHORT,2026-03-04,2026-03-04 09:48:00+00:00,2026-03-04 15:54:00+00:00,5160.27003,5134.87886,5184.87500,0,246.0,1.0320,2.0968,0.2617,8.7,5184.87500,5162.96500,219.1,302.6,0.724,0.880,OFF,0.00,50.64,9864.29,366,session_flat
orb_direct_timeonly,XAUUSD,ORB,break_direct,9,SHORT,2026-03-05,2026-03-05 09:40:00+00:00,2026-03-05 15:54:00+00:00,5097.17161,5077.01066,5122.98500,0,258.1,0.7810,1.8027,0.8687,8.3,5122.98500,5104.91500,180.7,292.2,0.618,0.808,OFF,0.00,38.52,9902.81,374,session_flat
orb_direct_timeonly,XAUUSD,ORB,break_direct,10,SHORT,2026-03-06,2026-03-06 09:36:00+00:00,2026-03-06 09:56:00+00:00,5092.54865,5115.16500,5115.16500,0,226.2,-1.0000,0.3831,1.0791,8.3,5115.16500,5099.97500,151.9,279.8,0.543,0.899,OFF,0.00,-49.51,9853.29,20,stop_loss
orb_direct_timeonly,XAUUSD,ORB,break_direct,11,LONG,2026-03-06,2026-03-06 09:58:00+00:00,2026-03-06 15:54:00+00:00,5124.89010,5155.65717,5099.97500,0,249.2,1.2349,1.9853,0.2189,8.3,5115.16500,5099.97500,151.9,279.8,0.543,0.899,OFF,0.00,60.84,9914.13,356,session_flat
orb_direct_timeonly,XAUUSD,ORB,break_direct,12,SHORT,2026-03-09,2026-03-09 09:41:00+00:00,2026-03-09 10:44:00+00:00,5090.05109,5108.94500,5108.94500,0,188.9,-1.0000,1.5832,1.2975,8.1,5108.94500,5091.42500,175.2,267.0,0.656,0.861,OFF,0.00,-49.57,9864.56,63,stop_loss
orb_direct_timeonly,XAUUSD,ORB,break_direct,13,SHORT,2026-03-10,2026-03-10 09:36:00+00:00,2026-03-10 11:13:00+00:00,5207.96526,5221.95600,5221.95600,0,139.9,-1.0000,1.6390,1.2508,6.4,5221.95600,5209.32500,126.3,258.7,0.488,0.742,OFF,0.00,-49.32,9815.24,97,stop_loss
orb_direct_timeonly,XAUUSD,ORB,break_direct,14,SHORT,2026-03-11,2026-03-11 09:45:00+00:00,2026-03-11 10:01:00+00:00,5164.76658,5181.31500,5181.31500,0,165.5,-1.0000,0.9488,1.3082,7.8,5181.31500,5168.76500,125.5,247.6,0.507,0.691,OFF,0.00,-49.08,9766.16,16,stop_loss
orb_direct_timeonly,XAUUSD,ORB,break_direct,15,LONG,2026-03-11,2026-03-11 10:03:00+00:00,2026-03-11 11:15:00+00:00,5183.50409,5168.76500,5168.76500,0,147.4,-1.0000,0.8409,1.0455,7.8,5181.31500,5168.76500,125.5,247.6,0.507,0.691,OFF,0.00,-48.83,9717.33,72,stop_loss
orb_direct_timeonly,XAUUSD,ORB,break_direct,16,SHORT,2026-03-12,2026-03-12 09:37:00+00:00,2026-03-12 15:54:00+00:00,5159.68927,5094.31876,5170.95500,0,112.7,5.8026,7.1513,0.6716,6.3,5170.95500,5160.43500,105.2,238.2,0.442,0.802,OFF,0.00,281.93,9999.26,377,session_flat
orb_direct_timeonly,XAUUSD,ORB,break_direct,17,SHORT,2026-03-13,2026-03-13 09:37:00+00:00,2026-03-13 09:44:00+00:00,5098.82704,5109.32500,5109.32500,0,105.0,-1.0000,0.0000,1.2839,6.4,5109.32500,5100.15500,91.7,228.7,0.401,0.688,OFF,0.00,-50.00,9949.26,7,stop_loss
orb_direct_timeonly,XAUUSD,ORB,break_direct,18,LONG,2026-03-13,2026-03-13 09:46:00+00:00,2026-03-13 09:57:00+00:00,5115.44988,5100.15500,5100.15500,0,152.9,-1.0000,0.0199,0.9895,6.3,5109.32500,5100.15500,91.7,228.7,0.401,0.688,OFF,0.00,-49.75,9899.52,11,stop_loss
