run_tag,symbol,preset,model,ticket,direction,ny_day,entry_time_ny,exit_time_ny,entry_price,exit_price,sl_price,tp_price,risk_points,r_realized,mfe_r,mae_r,spread_pts_entry,range_high,range_low,range_pts,atr_pts,range_atr_ratio,rvol,bias,lots,profit_ccy,balance_after,bars_held,exit_reason
orb_retest_fixed_r_t2.0,XAUUSD,ORB,retest,1,SHORT,2026-03-03,2026-03-03 09:41:00+00:00,2026-03-03 09:44:00+00:00,5108.44205,5073.51614,5125.90500,5073.51614,174.6,2.0000,2.6872,0.1221,12.7,5145.63500,5113.66500,319.7,299.8,1.066,1.162,OFF,0.00,100.00,10100.00,3,take_profit
orb_retest_fixed_r_t2.0,XAUUSD,ORB,retest,2,SHORT,2026-03-05,2026-03-05 09:50:00+00:00,2026-03-05 09:58:00+00:00,5096.53570,5106.18500,5106.18500,5077.23711,96.5,-1.0000,0.2716,1.4915,8.4,5122.98500,5104.91500,180.7,292.2,0.618,0.808,OFF,0.00,-50.50,10049.50,8,stop_loss
orb_retest_fixed_r_t2.0,XAUUSD,ORB,retest,3,SHORT,2026-03-05,2026-03-05 10:05:00+00:00,2026-03-05 10:08:00+00:00,5096.46946,5064.59837,5112.40500,5064.59837,159.4,2.0000,2.2631,0.5745,7.5,5122.98500,5104.91500,180.7,292.2,0.618,0.808,OFF,0.00,100.50,10150.00,3,take_profit
orb_retest_fixed_r_t2.0,XAUUSD,ORB,retest,4,SHORT,2026-03-10,2026-03-10 09:38:00+00:00,2026-03-10 09:39:00+00:00,5207.88886,5214.35526,5214.35526,5194.95604,64.7,-1.0000,0.1320,0.9938,6.3,5221.95600,5209.32500,126.3,258.7,0.488,0.742,OFF,0.00,-50.75,10099.25,1,stop_loss
orb_retest_fixed_r_t2.0,XAUUSD,ORB,retest,5,SHORT,2026-03-10,2026-03-10 09:46:00+00:00,2026-03-10 09:51:00+00:00,5202.19154,5209.64500,5209.64500,5187.28463,74.5,-1.0000,0.8273,1.0859,6.3,5221.95600,5209.32500,126.3,258.7,0.488,0.742,OFF,0.00,-50.50,10048.75,5,stop_loss
orb_retest_fixed_r_t2.0,XAUUSD,ORB,retest,6,LONG,2026-03-23,2026-03-23 09:40:00+00:00,2026-03-23 09:45:00+00:00,4431.90415,4420.15800,4420.15800,4455.39644,117.5,-1.0000,1.5665,1.0936,9.4,4421.52500,4400.99500,205.3,170.6,1.203,1.367,OFF,0.00,-50.24,9998.51,5,stop_loss
orb_retest_fixed_r_t2.0,XAUUSD,ORB,retest,7,SHORT,2026-03-25,2026-03-25 09:40:00+00:00,2026-03-25 09:40:00+00:00,4558.17517,4565.49500,4565.49500,4543.53552,73.2,-1.0000,0.0761,1.0260,6.4,4576.28500,4562.06500,142.2,159.1,0.894,0.935,OFF,0.00,-49.99,9948.51,0,stop_loss
orb_retest_fixed_r_t2.0,XAUUSD,ORB,retest,8,SHORT,2026-03-25,2026-03-25 09:44:00+00:00,2026-03-25 10:00:00+00:00,4558.21674,4535.74023,4569.45500,4535.74023,112.4,2.0000,2.2461,0.4812,6.8,4576.28500,4562.06500,142.2,159.1,0.894,0.935,OFF,0.00,99.49,10048.00,16,take_profit
orb_retest_fixed_r_t2.0,XAUUSD,ORB,retest,9,LONG,2026-04-01,2026-04-01 09:45:00+00:00,2026-04-01 09:51:00+00:00,4743.59917,4735.46500,4735.46500,4759.86750,81.3,-1.0000,0.4298,1.2311,7.5,4741.41500,4730.55500,108.6,157.3,0.691,0.871,OFF,0.00,-50.24,9997.76,6,stop_loss
orb_retest_fixed_r_t2.0,XAUUSD,ORB,retest,10,LONG,2026-04-01,2026-04-01 10:13:00+00:00,2026-04-01 10:24:00+00:00,4745.33320,4736.95500,4736.95500,4762.08960,83.8,-1.0000,1.1043,1.0645,7.2,4741.41500,4730.55500,108.6,157.3,0.691,0.871,OFF,0.00,-49.99,9947.77,11,stop_loss
orb_retest_fixed_r_t2.0,XAUUSD,ORB,retest,11,SHORT,2026-04-13,2026-04-13 09:53:00+00:00,2026-04-13 11:04:00+00:00,4726.27055,4706.66165,4736.07500,4706.66165,98.0,2.0000,2.1047,0.5471,7.9,4736.94800,4730.36500,65.8,154.6,0.426,0.917,OFF,0.00,99.48,10047.25,11,take_profit
orb_retest_fixed_r_t2.0,XAUUSD,ORB,retest,12,LONG,2026-04-17,2026-04-17 09:49:00+00:00,2026-04-17 09:54:00+00:00,4861.29027,4875.56080,4854.15500,4875.56080,71.4,2.0000,2.4196,0.1465,6.3,4856.88500,4848.17800,87.1,134.5,0.648,0.968,OFF,0.00,100.47,10147.72,5,take_profit
orb_retest_fixed_r_t2.0,XAUUSD,ORB,retest,13,LONG,2026-04-28,2026-04-28 09:46:00+00:00,2026-04-28 09:54:00+00:00,4586.83470,4580.04500,4580.04500,4600.41409,67.9,-1.0000,0.8351,1.0869,6.0,4581.55500,4570.62500,109.3,109.0,1.002,1.203,OFF,0.00,-50.74,10096.98,8,stop_loss
orb_retest_fixed_r_t2.0,XAUUSD,ORB,retest,14,SHORT,2026-04-28,2026-04-28 10:05:00+00:00,2026-04-28 10:06:00+00:00,4565.57825,4573.04500,4573.04500,4550.64475,74.7,-1.0000,0.0888,1.0067,5.5,4581.55500,4570.62500,109.3,109.0,1.002,1.203,OFF,0.00,-50.48,10046.50,1,stop_loss
orb_retest_fixed_r_t2.0,XAUUSD,ORB,retest,15,LONG,2026-05-01,2026-05-01 09:51:00+00:00,2026-05-01 10:00:00+00:00,4609.00652,4628.50957,4599.25500,4628.50957,97.5,2.0000,2.8223,0.5198,6.0,4601.41500,4586.40500,150.1,95.3,1.574,1.053,OFF,0.00,100.46,10146.96,9,take_profit
orb_retest_fixed_r_t2.0,XAUUSD,ORB,retest,16,LONG,2026-05-06,2026-05-06 09:52:00+00:00,2026-05-06 10:12:00+00:00,4698.91833,4709.70498,4693.52500,4709.70498,53.9,2.0000,2.2596,0.4345,5.1,4698.33500,4680.05500,182.8,94.3,1.939,1.073,OFF,0.00,101.47,10248.43,20,take_profit
orb_retest_fixed_r_t2.0,XAUUSD,ORB,retest,17,SHORT,2026-05-07,2026-05-07 09:48:00+00:00,2026-05-07 09:58:00+00:00,4741.65752,4747.95500,4747.95500,4729.06256,63.0,-1.0000,0.7181,1.0159,5.5,4758.03500,4743.23500,148.0,102.6,1.442,1.111,OFF,0.00,-51.24,10197.19,10,stop_loss
orb_retest_fixed_r_t2.0,XAUUSD,ORB,retest,18,SHORT,2026-05-14,2026-05-14 09:41:00+00:00,2026-05-14 09:46:00+00:00,4674.73410,4682.99500,4682.99500,4658.21231,82.6,-1.0000,1.0603,1.1077,7.4,4689.14500,4681.41800,77.3,112.3,0.688,1.099,OFF,0.00,-50.99,10146.20,5,stop_loss
orb_retest_fixed_r_t2.0,XAUUSD,ORB,retest,19,SHORT,2026-05-18,2026-05-18 09:45:00+00:00,2026-05-18 09:48:00+00:00,4565.86973,4574.69500,4574.69500,4548.21918,88.3,-1.0000,0.2510,1.1779,5.7,4579.83500,4566.94500,128.9,111.2,1.159,1.061,OFF,0.00,-50.73,10095.47,3,stop_loss
orb_retest_fixed_r_t2.0,XAUUSD,ORB,retest,20,LONG,2026-05-21,2026-05-21 09:52:00+00:00,2026-05-21 10:16:00+00:00,4507.49969,4500.62500,4500.62500,4521.24906,68.7,-1.0000,1.9630,1.3084,5.9,4501.15500,4489.83500,113.2,127.2,0.890,1.022,OFF,0.00,-50.48,10044.99,24,stop_loss
orb_retest_fixed_r_t2.0,XAUUSD,ORB,retest,21,LONG,2026-05-27,2026-05-27 09:46:00+00:00,2026-05-27 10:05:00+00:00,4424.73675,4438.14024,4418.03500,4438.14024,67.0,2.0000,2.1007,0.8105,5.6,4424.23500,4404.10800,201.3,108.5,1.854,1.097,OFF,0.00,100.45,10145.44,19,take_profit
orb_retest_fixed_r_t2.0,XAUUSD,ORB,retest,22,SHORT,2026-06-03,2026-06-03 09:43:00+00:00,2026-06-03 09:52:00+00:00,4434.85663,4446.19500,4446.19500,4412.17988,113.4,-1.0000,0.7639,1.0300,6.6,4453.01500,4445.97500,70.4,107.0,0.658,0.683,OFF,0.00,-50.73,10094.72,9,stop_loss
orb_retest_fixed_r_t2.0,XAUUSD,ORB,retest,23,LONG,2026-06-22,2026-06-22 09:46:00+00:00,2026-06-22 10:08:00+00:00,4193.67062,4206.64187,4187.18500,4206.64187,64.9,2.0000,2.6172,0.0502,5.9,4188.40500,4182.73500,56.7,82.2,0.690,1.075,OFF,0.00,100.95,10195.66,22,take_profit
orb_retest_fixed_r_t2.0,XAUUSD,ORB,retest,24,LONG,2026-07-02,2026-07-02 09:44:00+00:00,2026-07-02 10:04:00+00:00,4136.67702,4127.84500,4127.84500,4154.34106,88.3,-1.0000,0.7969,1.0464,7.0,4129.49500,4109.92500,195.7,104.6,1.871,1.094,OFF,0.00,-50.98,10144.69,20,stop_loss
