run_tag,symbol,preset,model,ticket,direction,ny_day,entry_time_ny,exit_time_ny,entry_price,exit_price,sl_price,tp_price,risk_points,r_realized,mfe_r,mae_r,spread_pts_entry,range_high,range_low,range_pts,atr_pts,range_atr_ratio,rvol,bias,lots,profit_ccy,balance_after,bars_held,exit_reason
rvoltest_1.05,XAUUSD,ORB,break_direct,1,SHORT,2026-02-17,2026-02-17 09:39:00+00:00,2026-02-17 13:56:00+00:00,4883.31179,4906.67500,4906.67500,4836.58538,233.6,-1.0000,1.4907,1.1494,10.1,4906.67500,4886.96500,197.1,197.7,0.997,1.237,OFF,0.00,-50.00,9950.00,257,stop_loss
rvoltest_1.05,XAUUSD,ORB,break_direct,2,LONG,2026-02-24,2026-02-24 09:37:00+00:00,2026-02-24 12:17:00+00:00,5126.08995,5159.45985,5109.40500,5159.45985,166.8,2.0000,2.0357,0.4984,9.9,5124.96500,5109.40500,155.6,186.3,0.835,1.193,OFF,0.00,99.50,10049.50,160,take_profit
rvoltest_1.05,XAUUSD,ORB,break_direct,3,LONG,2026-02-26,2026-02-26 09:37:00+00:00,2026-02-26 10:27:00+00:00,5173.51685,5139.48500,5139.48500,5241.58054,340.3,-1.0000,0.0640,1.2935,8.4,5170.04500,5139.48500,305.6,157.4,1.941,1.284,OFF,0.00,-50.25,9999.25,50,stop_loss
rvoltest_1.05,XAUUSD,ORB,break_direct,4,SHORT,2026-02-26,2026-02-26 10:29:00+00:00,2026-02-26 10:40:00+00:00,5138.28665,5170.04500,5170.04500,5074.76995,317.6,-1.0000,0.0019,0.9987,10.0,5170.04500,5139.48500,305.6,157.4,1.941,1.284,OFF,0.00,-50.00,9949.26,11,stop_loss
rvoltest_1.05,XAUUSD,ORB,break_direct,5,SHORT,2026-02-27,2026-02-27 09:42:00+00:00,2026-02-27 10:08:00+00:00,5214.70880,5233.54500,5233.54500,5177.03640,188.4,-1.0000,0.0114,1.1540,9.1,5233.54500,5217.82500,157.2,155.8,1.009,1.186,OFF,0.00,-49.75,9899.51,26,stop_loss
rvoltest_1.05,XAUUSD,ORB,break_direct,6,LONG,2026-02-27,2026-02-27 10:11:00+00:00,2026-02-27 10:22:00+00:00,5234.90613,5217.82500,5217.82500,5269.06840,170.8,-1.0000,0.2915,1.0439,8.2,5233.54500,5217.82500,157.2,155.8,1.009,1.186,OFF,0.00,-49.50,9850.01,11,stop_loss
rvoltest_1.05,XAUUSD,ORB,break_direct,7,LONG,2026-03-02,2026-03-02 09:39:00+00:00,2026-03-02 11:00:00+00:00,5344.07548,5305.06900,5305.06900,5422.08845,390.1,-1.0000,0.2963,1.4508,13.4,5339.85500,5305.06900,347.9,151.3,2.298,1.485,OFF,0.00,-49.25,9800.76,81,stop_loss
rvoltest_1.05,XAUUSD,ORB,break_direct,8,SHORT,2026-03-03,2026-03-03 09:36:00+00:00,2026-03-03 09:50:00+00:00,5111.54260,5043.35781,5145.63500,5043.35781,340.9,2.0000,2.4932,0.6383,11.0,5145.63500,5113.66500,319.7,168.5,1.897,1.462,OFF,0.00,98.01,9898.77,14,take_profit
rvoltest_1.05,XAUUSD,ORB,break_direct,9,SHORT,2026-03-04,2026-03-04 09:48:00+00:00,2026-03-04 13:40:00+00:00,5160.27003,5111.06008,5184.87500,5111.06008,246.0,2.0000,2.0968,0.2617,8.7,5184.87500,5162.96500,219.1,180.4,1.215,1.106,OFF,0.00,98.99,9997.76,232,take_profit
rvoltest_1.05,XAUUSD,ORB,break_direct,10,SHORT,2026-03-06,2026-03-06 09:36:00+00:00,2026-03-06 09:56:00+00:00,5092.54865,5115.16500,5115.16500,5047.31594,226.2,-1.0000,0.3831,1.0791,8.3,5115.16500,5099.97500,151.9,187.6,0.810,1.115,OFF,0.00,-49.99,9947.77,20,stop_loss
