run_tag,symbol,preset,model,ticket,direction,ny_day,entry_time_ny,exit_time_ny,entry_price,exit_price,sl_price,tp_price,risk_points,r_realized,mfe_r,mae_r,spread_pts_entry,range_high,range_low,range_pts,atr_pts,range_atr_ratio,rvol,bias,lots,profit_ccy,balance_after,bars_held,exit_reason
sweep_EAdefault,XAUUSD,SWEEP,sweep_mss,1,LONG,2026-02-23,2026-02-23 05:25:00+00:00,2026-02-23 07:59:00+00:00,5153.90783,5163.52301,5128.21269,5205.29811,257.0,0.3742,0.4408,0.3565,6.9,5176.38500,5151.65500,247.3,1027.8,0.241,0.402,HTF_EMA,0.00,18.71,10018.71,154,session_flat
sweep_EAdefault,XAUUSD,SWEEP,sweep_mss,2,LONG,2026-02-24,2026-02-24 10:20:00+00:00,2026-02-24 11:59:00+00:00,5140.33360,5141.36325,5117.07753,5186.84572,232.6,0.0443,0.6326,0.4229,7.6,5223.71500,5144.69800,790.2,930.2,0.849,0.804,HTF_EMA,0.00,2.22,10020.93,99,session_flat
sweep_EAdefault,XAUUSD,SWEEP,sweep_mss,3,LONG,2026-02-26,2026-02-26 09:45:00+00:00,2026-02-26 10:27:00+00:00,5172.35129,5139.48500,5139.48500,5238.08387,328.7,-1.0000,0.1017,1.3040,8.7,5199.16500,5154.83500,443.3,880.2,0.504,0.788,HTF_EMA,0.00,-50.10,9970.82,42,stop_loss
sweep_EAdefault,XAUUSD,SWEEP,sweep_mss,4,LONG,2026-03-11,2026-03-11 04:15:00+00:00,2026-03-11 04:26:00+00:00,5198.28149,5183.83953,5183.83953,5227.16542,144.4,-1.0000,0.0000,1.1665,6.3,5223.01500,5186.49500,365.2,577.7,0.632,0.574,HTF_EMA,0.00,-49.85,9920.97,11,stop_loss
sweep_EAdefault,XAUUSD,SWEEP,sweep_mss,5,SHORT,2026-03-16,2026-03-16 10:25:00+00:00,2026-03-16 11:29:00+00:00,5020.89884,4987.26652,5037.71500,4987.26652,168.2,2.0000,2.2035,0.0349,6.3,5030.55500,4967.12500,634.3,608.4,1.043,1.553,HTF_EMA,0.00,99.21,10020.18,64,take_profit
sweep_EAdefault,XAUUSD,SWEEP,sweep_mss,6,SHORT,2026-03-18,2026-03-18 03:20:00+00:00,2026-03-18 04:45:00+00:00,5006.10029,4976.88340,5020.70874,4976.88340,146.1,2.0000,2.0996,0.2351,6.3,5015.67500,4985.84500,298.3,584.3,0.510,0.757,HTF_EMA,0.00,100.20,10120.38,85,take_profit
sweep_EAdefault,XAUUSD,SWEEP,sweep_mss,7,SHORT,2026-03-27,2026-03-27 04:00:00+00:00,2026-03-27 07:06:00+00:00,4447.07674,4407.76260,4466.73381,4407.76260,196.6,2.0000,2.0294,0.1685,7.8,4445.93500,4375.23500,707.0,786.3,0.899,0.675,HTF_EMA,0.00,101.20,10221.58,186,take_profit
sweep_EAdefault,XAUUSD,SWEEP,sweep_mss,8,SHORT,2026-03-30,2026-03-30 03:40:00+00:00,2026-03-30 07:15:00+00:00,4522.01652,4540.79568,4540.79568,4484.45820,187.8,-1.0000,0.2509,1.0159,7.8,4517.44500,4417.66500,997.8,751.2,1.328,1.426,HTF_EMA,0.00,-51.11,10170.48,215,stop_loss
sweep_EAdefault,XAUUSD,SWEEP,sweep_mss,9,LONG,2026-04-02,2026-04-02 03:55:00+00:00,2026-04-02 09:00:00+00:00,4644.90763,4591.57500,4591.57500,4751.57288,533.3,-1.0000,0.0684,1.2042,6.1,4800.18500,4648.33500,1518.5,851.8,1.783,1.522,HTF_EMA,0.00,-50.85,10119.62,305,stop_loss
sweep_EAdefault,XAUUSD,SWEEP,sweep_mss,10,SHORT,2026-05-05,2026-05-05 02:25:00+00:00,2026-05-05 03:00:00+00:00,4534.63451,4551.82500,4551.82500,4500.25354,171.9,-1.0000,0.0366,0.9971,5.8,4546.56500,4513.26500,333.0,421.1,0.791,0.714,HTF_EMA,0.00,-50.60,10069.03,35,stop_loss
sweep_EAdefault,XAUUSD,SWEEP,sweep_mss,11,LONG,2026-05-11,2026-05-11 06:25:00+00:00,2026-05-11 08:23:00+00:00,4665.55464,4687.01739,4654.82327,4687.01739,107.3,2.0000,2.5365,0.5022,5.4,4705.24500,4670.12500,351.2,429.3,0.818,1.543,HTF_EMA,0.00,100.69,10169.72,118,take_profit
