run_tag,symbol,preset,model,ticket,direction,ny_day,entry_time_ny,exit_time_ny,entry_price,exit_price,sl_price,tp_price,risk_points,r_realized,mfe_r,mae_r,spread_pts_entry,range_high,range_low,range_pts,atr_pts,range_atr_ratio,rvol,bias,lots,profit_ccy,balance_after,bars_held,exit_reason
sweep_cov0.5,XAUUSD,SWEEP,sweep_mss,1,LONG,2026-02-02,2026-02-02 02:55:00+00:00,2026-02-02 06:15:00+00:00,4598.73423,4749.06669,4523.56800,4749.06669,751.7,2.0000,2.0477,0.5432,22.0,4884.24800,4582.79800,3014.5,0.0,0.000,1.000,OFF,0.00,100.00,10100.00,200,take_profit
sweep_cov0.5,XAUUSD,SWEEP,sweep_mss,2,SHORT,2026-02-20,2026-02-20 02:30:00+00:00,2026-02-20 06:59:00+00:00,5014.81410,5017.37305,5046.67045,4951.10140,318.6,-0.0803,0.3186,0.8636,6.8,5014.51500,4981.31500,332.0,1274.3,0.261,0.256,OFF,0.00,-4.06,10095.94,269,session_flat
sweep_cov0.5,XAUUSD,SWEEP,sweep_mss,3,LONG,2026-02-23,2026-02-23 05:25:00+00:00,2026-02-23 07:59:00+00:00,5153.90783,5163.52301,5125.97754,5209.76841,279.3,0.3443,0.4056,0.3280,6.9,5176.38500,5151.65500,247.3,1117.2,0.221,0.354,OFF,0.00,17.38,10113.32,154,session_flat
sweep_cov0.5,XAUUSD,SWEEP,sweep_mss,4,LONG,2026-02-24,2026-02-24 10:20:00+00:00,2026-02-24 11:59:00+00:00,5140.33360,5141.36325,5115.51013,5189.98052,248.2,0.0415,0.5926,0.3962,7.6,5223.71500,5144.69800,790.2,992.9,0.796,0.722,OFF,0.00,2.10,10115.42,99,session_flat
sweep_cov0.5,XAUUSD,SWEEP,sweep_mss,5,SHORT,2026-02-25,2026-02-25 02:15:00+00:00,2026-02-25 11:46:00+00:00,5188.01092,5212.20073,5212.20073,5139.63129,241.9,-1.0000,1.3690,1.0080,6.9,5193.51800,5136.53500,569.8,967.6,0.589,0.622,OFF,0.00,-50.58,10064.84,571,stop_loss
sweep_cov0.5,XAUUSD,SWEEP,sweep_mss,6,LONG,2026-02-26,2026-02-26 09:45:00+00:00,2026-02-26 10:27:00+00:00,5172.35129,5139.48500,5139.48500,5238.08387,328.7,-1.0000,0.1017,1.3040,8.7,5199.16500,5154.83500,443.3,923.4,0.480,0.726,OFF,0.00,-50.32,10014.52,42,stop_loss
sweep_cov0.5,XAUUSD,SWEEP,sweep_mss,7,SHORT,2026-03-02,2026-03-02 06:50:00+00:00,2026-03-02 08:04:00+00:00,5380.64150,5401.28416,5401.28416,5339.35618,206.4,-1.0000,0.1297,1.0412,7.5,5387.64500,5302.69500,849.5,825.7,1.029,1.388,OFF,0.00,-50.07,9964.44,74,stop_loss
sweep_cov0.5,XAUUSD,SWEEP,sweep_mss,8,SHORT,2026-03-04,2026-03-04 07:20:00+00:00,2026-03-04 10:11:00+00:00,5182.66959,5136.01877,5205.99500,5136.01877,233.3,2.0000,2.0396,0.5743,6.7,5190.67500,5105.34800,853.3,800.4,1.066,1.239,OFF,0.00,99.64,10064.09,171,take_profit
sweep_cov0.5,XAUUSD,SWEEP,sweep_mss,9,LONG,2026-03-05,2026-03-05 03:50:00+00:00,2026-03-05 08:16:00+00:00,5168.42214,5137.21800,5137.21800,5230.83043,312.0,-1.0000,0.3763,0.9894,8.1,5194.61500,5159.10500,355.1,804.1,0.442,0.694,OFF,0.00,-50.32,10013.77,266,stop_loss
sweep_cov0.5,XAUUSD,SWEEP,sweep_mss,10,LONG,2026-03-06,2026-03-06 08:35:00+00:00,2026-03-06 11:59:00+00:00,5124.12083,5139.05704,5065.05800,5242.24650,590.6,0.2529,0.7977,0.8568,10.3,5143.66500,5066.21500,774.5,614.2,1.261,0.729,OFF,0.00,12.66,10026.43,204,session_flat
sweep_cov0.5,XAUUSD,SWEEP,sweep_mss,11,SHORT,2026-03-10,2026-03-10 06:05:00+00:00,2026-03-10 09:00:00+00:00,5177.64098,5192.10914,5192.10914,5148.70466,144.7,-1.0000,1.4837,1.2720,6.7,5186.57800,5124.46500,621.1,578.7,1.073,0.911,OFF,0.00,-50.13,9976.30,175,stop_loss
sweep_cov0.5,XAUUSD,SWEEP,sweep_mss,12,LONG,2026-03-11,2026-03-11 04:15:00+00:00,2026-03-11 04:26:00+00:00,5198.28149,5183.83953,5183.83953,5227.16542,144.4,-1.0000,0.0000,1.1665,6.3,5223.01500,5186.49500,365.2,577.7,0.632,0.550,OFF,0.00,-49.88,9926.42,11,stop_loss
sweep_cov0.5,XAUUSD,SWEEP,sweep_mss,13,SHORT,2026-03-12,2026-03-12 07:30:00+00:00,2026-03-12 09:56:00+00:00,5175.97000,5146.68025,5190.61488,5146.68025,146.4,2.0000,2.0591,0.6825,6.3,5174.94500,5125.18500,497.6,585.8,0.849,0.789,OFF,0.00,99.26,10025.68,146,take_profit
