run_tag,symbol,preset,model,ticket,direction,ny_day,entry_time_ny,exit_time_ny,entry_price,exit_price,sl_price,tp_price,risk_points,r_realized,mfe_r,mae_r,spread_pts_entry,range_high,range_low,range_pts,atr_pts,range_atr_ratio,rvol,bias,lots,profit_ccy,balance_after,bars_held,exit_reason
sweep_mss_bias,XAUUSD,SWEEP,sweep_mss,1,LONG,2026-02-02,2026-02-02 07:01:00+00:00,2026-02-02 07:02:00+00:00,4774.90973,4756.54500,4756.54500,4811.63919,183.6,-1.0000,0.0025,0.9592,17.9,4884.24800,4582.79800,3014.5,0.0,0.000,1.000,HTF_EMA,0.00,-50.00,9950.00,1,stop_loss
sweep_mss_bias,XAUUSD,SWEEP,sweep_mss,2,LONG,2026-02-23,2026-02-23 05:03:00+00:00,2026-02-23 07:59:00+00:00,5152.25007,5163.52301,5126.55493,5203.64036,257.0,0.4387,0.5053,0.2920,6.9,5176.38500,5151.65500,247.3,1027.8,0.241,0.402,HTF_EMA,0.00,21.83,9971.83,176,session_flat
sweep_mss_bias,XAUUSD,SWEEP,sweep_mss,3,LONG,2026-02-24,2026-02-24 09:08:00+00:00,2026-02-24 09:13:00+00:00,5125.85787,5102.60181,5102.60181,5172.37000,232.6,-1.0000,0.0179,1.4032,10.1,5223.71500,5144.69800,790.2,930.2,0.849,0.804,HTF_EMA,0.00,-49.86,9921.97,5,stop_loss
sweep_mss_bias,XAUUSD,SWEEP,sweep_mss,4,LONG,2026-02-26,2026-02-26 09:37:00+00:00,2026-02-26 10:27:00+00:00,5173.51685,5139.48500,5139.48500,5241.58054,340.3,-1.0000,0.0640,1.2935,8.4,5199.16500,5154.83500,443.3,880.2,0.504,0.788,HTF_EMA,0.00,-49.61,9872.36,50,stop_loss
sweep_mss_bias,XAUUSD,SWEEP,sweep_mss,5,LONG,2026-03-03,2026-03-03 03:07:00+00:00,2026-03-03 03:23:00+00:00,5333.61333,5313.56787,5313.56787,5373.70425,200.5,-1.0000,0.0000,0.9820,7.6,5379.75500,5332.52500,472.3,801.8,0.589,0.902,HTF_EMA,0.00,-49.36,9823.00,16,stop_loss
sweep_mss_bias,XAUUSD,SWEEP,sweep_mss,6,LONG,2026-03-11,2026-03-11 03:50:00+00:00,2026-03-11 04:38:00+00:00,5194.74146,5180.29950,5180.29950,5223.62539,144.4,-1.0000,0.2578,1.3562,6.3,5223.01500,5186.49500,365.2,577.7,0.632,0.574,HTF_EMA,0.00,-49.11,9773.88,48,stop_loss
sweep_mss_bias,XAUUSD,SWEEP,sweep_mss,7,SHORT,2026-03-16,2026-03-16 02:35:00+00:00,2026-03-16 03:37:00+00:00,5024.31002,4993.88848,5039.52078,4993.88848,152.1,2.0000,2.1528,0.1377,7.1,5030.55500,4967.12500,634.3,608.4,1.043,1.553,HTF_EMA,0.00,97.74,9871.62,62,take_profit
sweep_mss_bias,XAUUSD,SWEEP,sweep_mss,8,SHORT,2026-03-18,2026-03-18 03:16:00+00:00,2026-03-18 04:45:00+00:00,5007.93274,4978.71585,5022.54119,4978.71585,146.1,2.0000,2.2250,0.1097,6.2,5015.67500,4985.84500,298.3,584.3,0.510,0.757,HTF_EMA,0.00,98.72,9970.34,89,take_profit
sweep_mss_bias,XAUUSD,SWEEP,sweep_mss,9,SHORT,2026-03-27,2026-03-27 03:55:00+00:00,2026-03-27 10:05:00+00:00,4443.11560,4462.77267,4462.77267,4403.80146,196.6,-1.0000,1.9886,1.0089,8.0,4445.93500,4375.23500,707.0,786.3,0.899,0.675,HTF_EMA,0.00,-49.85,9920.48,370,stop_loss
sweep_mss_bias,XAUUSD,SWEEP,sweep_mss,10,SHORT,2026-03-30,2026-03-30 03:36:00+00:00,2026-03-30 04:08:00+00:00,4516.53046,4535.30962,4535.30962,4478.97214,187.8,-1.0000,0.0008,1.0242,7.9,4517.44500,4417.66500,997.8,751.2,1.328,1.426,HTF_EMA,0.00,-49.60,9870.88,32,stop_loss
sweep_mss_bias,XAUUSD,SWEEP,sweep_mss,11,LONG,2026-04-02,2026-04-02 03:51:00+00:00,2026-04-02 04:56:00+00:00,4645.03588,4623.74141,4623.74141,4687.62481,212.9,-1.0000,0.1653,1.0548,6.2,4800.18500,4648.33500,1518.5,851.8,1.783,1.522,HTF_EMA,0.00,-49.35,9821.53,65,stop_loss
sweep_mss_bias,XAUUSD,SWEEP,sweep_mss,12,LONG,2026-04-15,2026-04-15 04:59:00+00:00,2026-04-15 04:59:00+00:00,4817.49808,4817.87192,4794.97224,4862.54975,225.3,0.0166,0.1687,0.0760,6.3,4871.16500,4816.54800,546.2,901.0,0.606,0.795,HTF_EMA,0.00,0.82,9822.34,0,session_flat
sweep_mss_bias,XAUUSD,SWEEP,sweep_mss,13,LONG,2026-04-21,2026-04-21 08:34:00+00:00,2026-04-21 10:34:00+00:00,4784.92368,4764.47500,4764.47500,4825.82104,204.5,-1.0000,0.2632,1.1296,6.2,4831.33800,4792.34500,389.9,723.2,0.539,0.655,HTF_EMA,0.00,-49.11,9773.23,60,stop_loss
sweep_mss_bias,XAUUSD,SWEEP,sweep_mss,14,SHORT,2026-04-30,2026-04-30 03:21:00+00:00,2026-04-30 03:44:00+00:00,4586.05436,4597.30946,4597.30946,4563.54414,112.6,-1.0000,0.1243,1.0414,4.6,4582.17800,4549.33500,328.4,450.2,0.730,1.157,HTF_EMA,0.00,-48.87,9724.36,23,stop_loss
sweep_mss_bias,XAUUSD,SWEEP,sweep_mss,15,SHORT,2026-05-05,2026-05-05 02:06:00+00:00,2026-05-05 03:02:00+00:00,4542.07047,4552.59877,4552.59877,4521.01386,105.3,-1.0000,0.8145,1.0680,5.9,4546.56500,4513.26500,333.0,421.1,0.791,0.714,HTF_EMA,0.00,-48.62,9675.74,56,stop_loss
sweep_mss_bias,XAUUSD,SWEEP,sweep_mss,16,LONG,2026-05-11,2026-05-11 02:21:00+00:00,2026-05-11 05:24:00+00:00,4670.48087,4659.74949,4659.74949,4691.94362,107.3,-1.0000,0.9108,1.0927,5.9,4705.24500,4670.12500,351.2,429.3,0.818,1.543,HTF_EMA,0.00,-48.38,9627.36,183,stop_loss
sweep_mss_bias,XAUUSD,SWEEP,sweep_mss,17,LONG,2026-05-13,2026-05-13 05:36:00+00:00,2026-05-13 08:30:00+00:00,4692.73580,4681.92746,4681.92746,4714.35248,108.1,-1.0000,1.6246,1.6136,5.8,4726.61800,4687.19800,394.2,432.3,0.912,1.347,HTF_EMA,0.00,-48.14,9579.23,174,stop_loss
sweep_mss_bias,XAUUSD,SWEEP,sweep_mss,18,SHORT,2026-05-14,2026-05-14 03:45:00+00:00,2026-05-14 09:30:00+00:00,4708.77252,4687.88895,4719.21431,4687.88895,104.4,2.0000,2.4703,0.0934,5.6,4706.86500,4673.66500,332.0,417.7,0.795,1.442,HTF_EMA,0.00,95.79,9675.02,285,take_profit
