run_tag,symbol,preset,model,ticket,direction,ny_day,entry_time_ny,exit_time_ny,entry_price,exit_price,sl_price,tp_price,risk_points,r_realized,mfe_r,mae_r,spread_pts_entry,range_high,range_low,range_pts,atr_pts,range_atr_ratio,rvol,bias,lots,profit_ccy,balance_after,bars_held,exit_reason
sweep_mss_tf15,XAUUSD,SWEEP,sweep_mss,1,LONG,2026-02-23,2026-02-23 07:45:00+00:00,2026-02-23 07:59:00+00:00,5164.54320,5163.52301,5138.84806,5215.93349,257.0,-0.0397,0.0269,0.1976,7.0,5176.38500,5151.65500,247.3,1027.8,0.241,0.402,OFF,0.00,-1.99,9998.01,14,session_flat
sweep_mss_tf15,XAUUSD,SWEEP,sweep_mss,2,SHORT,2026-03-02,2026-03-02 09:15:00+00:00,2026-03-02 11:00:00+00:00,5374.34491,5289.78474,5416.62500,5289.78474,422.8,2.0000,2.0544,0.0487,10.1,5387.64500,5302.69500,849.5,797.8,1.065,1.485,OFF,0.00,99.98,10097.99,105,take_profit
sweep_mss_tf15,XAUUSD,SWEEP,sweep_mss,3,SHORT,2026-03-04,2026-03-04 07:30:00+00:00,2026-03-04 11:59:00+00:00,5177.85484,5149.89183,5205.99500,5121.57451,281.4,0.9937,1.6663,0.6471,7.6,5190.67500,5105.34800,853.3,778.3,1.096,1.313,OFF,0.00,50.17,10148.17,269,session_flat
sweep_mss_tf15,XAUUSD,SWEEP,sweep_mss,4,LONG,2026-03-05,2026-03-05 07:15:00+00:00,2026-03-05 08:00:00+00:00,5168.69352,5153.09582,5153.09582,5199.88891,156.0,-1.0000,0.0931,0.9815,8.4,5194.61500,5159.10500,355.1,623.9,0.569,0.732,OFF,0.00,-50.74,10097.43,45,stop_loss
sweep_mss_tf15,XAUUSD,SWEEP,sweep_mss,5,LONG,2026-03-06,2026-03-06 08:45:00+00:00,2026-03-06 11:59:00+00:00,5121.76270,5139.05704,5065.05800,5235.17209,567.0,0.3050,0.8725,0.8509,10.0,5143.66500,5066.21500,774.5,569.7,1.360,0.767,OFF,0.00,15.40,10112.82,194,session_flat
sweep_mss_tf15,XAUUSD,SWEEP,sweep_mss,6,SHORT,2026-03-10,2026-03-10 06:30:00+00:00,2026-03-10 07:08:00+00:00,5173.04970,5189.22500,5189.22500,5140.69911,161.8,-1.0000,1.0432,1.0408,8.9,5186.57800,5124.46500,621.1,568.4,1.093,0.953,OFF,0.00,-50.56,10062.26,38,stop_loss
sweep_mss_tf15,XAUUSD,SWEEP,sweep_mss,7,LONG,2026-03-11,2026-03-11 10:15:00+00:00,2026-03-11 11:59:00+00:00,5190.06644,5165.72159,5149.06500,5272.06932,410.0,-0.5938,0.1422,0.6437,7.8,5223.01500,5186.49500,365.2,577.7,0.632,0.574,OFF,0.00,-29.87,10032.39,104,session_flat
sweep_mss_tf15,XAUUSD,SWEEP,sweep_mss,8,SHORT,2026-03-12,2026-03-12 08:30:00+00:00,2026-03-12 09:02:00+00:00,5171.45805,5186.10292,5186.10292,5142.16830,146.4,-1.0000,0.2133,0.9906,6.7,5174.94500,5125.18500,497.6,585.8,0.849,0.821,OFF,0.00,-50.16,9982.23,32,stop_loss
sweep_mss_tf15,XAUUSD,SWEEP,sweep_mss,9,LONG,2026-03-13,2026-03-13 08:00:00+00:00,2026-03-13 10:17:00+00:00,5107.65986,5084.20500,5084.20500,5154.56959,234.5,-1.0000,0.5963,1.0584,6.3,5128.22500,5088.36500,398.6,597.6,0.667,0.684,OFF,0.00,-49.91,9932.31,137,stop_loss
sweep_mss_tf15,XAUUSD,SWEEP,sweep_mss,10,LONG,2026-03-17,2026-03-17 09:45:00+00:00,2026-03-17 09:53:00+00:00,5027.18860,5009.39500,5009.39500,5062.77581,177.9,-1.0000,0.0161,1.2276,6.3,5033.44500,4994.60500,388.4,597.3,0.650,0.787,OFF,0.00,-49.66,9882.65,8,stop_loss
