run_tag,symbol,preset,model,ticket,direction,ny_day,entry_time_ny,exit_time_ny,entry_price,exit_price,sl_price,tp_price,risk_points,r_realized,mfe_r,mae_r,spread_pts_entry,range_high,range_low,range_pts,atr_pts,range_atr_ratio,rvol,bias,lots,profit_ccy,balance_after,bars_held,exit_reason
sweep_sweep_reclaim_fixed_r_t1.5,XAUUSD,SWEEP,sweep_reclaim,1,LONG,2026-02-02,2026-02-02 02:46:00+00:00,2026-02-02 03:02:00+00:00,4597.14310,4565.93500,4565.93500,4643.95524,312.1,-1.0000,0.6778,1.2573,22.8,4884.24800,4582.79800,3014.5,0.0,0.000,1.000,OFF,0.00,-50.00,9950.00,16,stop_loss
sweep_sweep_reclaim_fixed_r_t1.5,XAUUSD,SWEEP,sweep_reclaim,2,SHORT,2026-02-04,2026-02-04 02:03:00+00:00,2026-02-04 04:59:00+00:00,5071.10203,5060.13673,5122.71328,4993.68516,516.1,0.2125,0.5512,0.3932,8.7,5081.22500,4945.72500,1355.0,2064.4,0.656,0.626,OFF,0.00,10.57,9960.57,176,session_flat
sweep_sweep_reclaim_fixed_r_t1.5,XAUUSD,SWEEP,sweep_reclaim,3,SHORT,2026-02-18,2026-02-18 06:48:00+00:00,2026-02-18 07:59:00+00:00,4907.13017,4945.37830,4945.37830,4849.75798,382.5,-1.0000,0.0000,1.0407,7.1,4906.98500,4857.84800,491.4,1529.9,0.321,0.128,OFF,0.00,-49.80,9910.77,71,stop_loss
sweep_sweep_reclaim_fixed_r_t1.5,XAUUSD,SWEEP,sweep_reclaim,4,SHORT,2026-02-19,2026-02-19 07:03:00+00:00,2026-02-19 10:29:00+00:00,4983.02862,5016.08397,5016.08397,4933.44559,330.6,-1.0000,0.6169,1.0009,8.3,4985.20500,4960.04800,251.6,1322.2,0.190,0.252,OFF,0.00,-49.55,9861.21,146,stop_loss
sweep_sweep_reclaim_fixed_r_t1.5,XAUUSD,SWEEP,sweep_reclaim,5,SHORT,2026-02-20,2026-02-20 02:24:00+00:00,2026-02-20 04:13:00+00:00,5012.10851,5040.70284,5040.70284,4969.21701,285.9,-1.0000,0.2603,0.9892,7.3,5014.51500,4981.31500,332.0,1143.8,0.290,0.298,OFF,0.00,-49.31,9811.91,109,stop_loss
sweep_sweep_reclaim_fixed_r_t1.5,XAUUSD,SWEEP,sweep_reclaim,6,LONG,2026-02-23,2026-02-23 05:03:00+00:00,2026-02-23 07:59:00+00:00,5152.25007,5163.52301,5126.55493,5190.79279,257.0,0.4387,0.5053,0.2920,6.9,5176.38500,5151.65500,247.3,1027.8,0.241,0.402,OFF,0.00,21.52,9833.43,176,session_flat
sweep_sweep_reclaim_fixed_r_t1.5,XAUUSD,SWEEP,sweep_reclaim,7,LONG,2026-02-24,2026-02-24 08:43:00+00:00,2026-02-24 08:50:00+00:00,5145.58079,5122.32473,5122.32473,5180.46488,232.6,-1.0000,0.1133,1.0142,8.1,5223.71500,5144.69800,790.2,930.2,0.849,0.804,OFF,0.00,-49.17,9784.26,7,stop_loss
sweep_sweep_reclaim_fixed_r_t1.5,XAUUSD,SWEEP,sweep_reclaim,8,SHORT,2026-02-25,2026-02-25 02:03:00+00:00,2026-02-25 11:46:00+00:00,5188.13210,5210.99908,5210.99908,5153.83165,228.7,-1.0000,1.4535,1.0610,7.1,5193.51800,5136.53500,569.8,914.7,0.623,0.682,OFF,0.00,-48.92,9735.34,583,stop_loss
sweep_sweep_reclaim_fixed_r_t1.5,XAUUSD,SWEEP,sweep_reclaim,9,LONG,2026-02-26,2026-02-26 09:36:00+00:00,2026-02-26 10:27:00+00:00,5166.89035,5139.48500,5139.48500,5207.99838,274.1,-1.0000,0.3213,1.3645,8.3,5199.16500,5154.83500,443.3,880.2,0.504,0.788,OFF,0.00,-48.68,9686.67,51,stop_loss
sweep_sweep_reclaim_fixed_r_t1.5,XAUUSD,SWEEP,sweep_reclaim,10,SHORT,2026-03-02,2026-03-02 05:03:00+00:00,2026-03-02 08:05:00+00:00,5385.49510,5405.44122,5405.44122,5355.57591,199.5,-1.0000,0.5329,1.0513,7.2,5387.64500,5302.69500,849.5,797.8,1.065,1.485,OFF,0.00,-48.43,9638.23,182,stop_loss
