timestamp_utc,symbol,event_type,setup_id,score,priority,direction,entry_price,sl,tp,lots,risk_pct,session,market_state,htf_bias,profile_shape,poc,vah,val,cvd_at_entry,bar_delta,vol_z,delta_z,abs_stars,notif_cascade_completed,mode,result_pnl_pips,result_pnl_pct,result_R,hold_minutes
2026.05.05 11:42:00,EURUSD,ENTRY,1,5,1,LONG,1.08340,1.08220,1.08670,8.00,1.00,LDN_MAIN,1,BULL,D,1.08670,1.08920,1.08300,14820,-842,2.40,1.80,4,1,AUTO,0.00,0.0000,0.00,0.0
2026.05.05 12:18:00,EURUSD,PARTIAL,1,5,1,LONG,1.08340,1.08220,1.08670,4.00,1.00,LDN_MAIN,1,BULL,D,1.08670,1.08920,1.08300,15640,420,1.10,0.80,0,1,AUTO,12.00,0.0048,1.00,36.0
2026.05.05 12:18:00,EURUSD,BE_MOVE,1,5,1,LONG,1.08340,1.08350,1.08670,4.00,1.00,LDN_MAIN,1,BULL,D,1.08670,1.08920,1.08300,15640,420,1.10,0.80,0,1,AUTO,0.00,0.0000,0.00,36.0
2026.05.05 13:05:00,EURUSD,EXIT_POC,1,5,1,LONG,1.08340,1.08350,1.08670,4.00,1.00,LDN_MAIN,1,BULL,D,1.08670,1.08920,1.08300,16210,180,0.50,0.30,0,1,AUTO,33.00,0.0132,2.75,83.0
2026.05.06 18:22:00,EURUSD,SKIP_F1,18,5,1,SHORT,1.09020,1.09100,1.08800,0.00,1.00,NY_MAIN,2,BEAR,P,1.08920,1.09050,1.08750,-1820,-1240,2.70,2.20,0,1,MANUAL,0.00,0.0000,0.00,0.0
2026.05.07 11:15:00,EURUSD,SKIP_F2,0,0,0,NONE,0.00000,0.00000,0.00000,0.00,1.00,ASIAN,1,NEUTRAL,UNK,0.00000,0.00000,0.00000,0,0,0.00,0.00,0,0,AUTO,0.00,0.0000,0.00,0.0
2026.05.07 18:05:00,EURUSD,KILL_SPREAD,0,0,0,NONE,0.00000,0.00000,0.00000,0.00,1.00,NY_MAIN,2,BEAR,b,1.08840,1.08980,1.08720,0,0,0.00,0.00,0,0,AUTO,0.00,0.0000,0.00,0.0
2026.05.08 12:30:00,EURUSD,ENTRY,5,4,2,LONG,1.08280,1.08240,1.08580,5.00,1.00,LDN_MAIN,1,BULL,D,1.08580,1.08800,1.08280,8430,612,1.80,1.20,0,1,AUTO,0.00,0.0000,0.00,0.0
2026.05.08 12:55:00,EURUSD,EXIT_SL,5,4,2,LONG,1.08280,1.08240,1.08580,5.00,1.00,LDN_MAIN,1,BULL,D,1.08580,1.08800,1.08280,8120,-280,1.40,1.10,0,1,AUTO,-4.00,-0.0020,-1.00,25.0
2026.05.08 21:00:00,EURUSD,EXIT_SESSION,0,0,0,NONE,0.00000,0.00000,0.00000,0.00,1.00,NY_MAIN,2,BEAR,b,1.08840,1.08980,1.08720,0,0,0.00,0.00,0,0,AUTO,0.00,0.0000,0.00,0.0
