ts,open,high,low,close,volume
2026.05.05 09:00:00,1.08300,1.08320,1.08290,1.08315,1100
2026.05.05 09:15:00,1.08315,1.08340,1.08310,1.08335,1180
2026.05.05 09:30:00,1.08335,1.08360,1.08330,1.08355,1220
2026.05.05 09:45:00,1.08355,1.08380,1.08350,1.08375,1260
2026.05.05 10:00:00,1.08375,1.08390,1.08360,1.08365,1300
2026.05.05 10:15:00,1.08365,1.08380,1.08350,1.08355,1280
2026.05.05 10:30:00,1.08355,1.08370,1.08340,1.08345,1240
2026.05.05 10:45:00,1.08345,1.08360,1.08330,1.08335,1200
2026.05.05 11:00:00,1.08335,1.08350,1.08315,1.08320,1450
2026.05.05 11:15:00,1.08320,1.08330,1.08280,1.08290,1680
2026.05.05 11:30:00,1.08290,1.08300,1.08260,1.08275,1820
2026.05.05 11:45:00,1.08275,1.08280,1.08220,1.08240,2400
2026.05.05 12:00:00,1.08240,1.08260,1.08210,1.08230,2200
2026.05.05 12:15:00,1.08230,1.08280,1.08220,1.08270,1900
2026.05.05 12:30:00,1.08270,1.08310,1.08260,1.08300,1700
2026.05.05 12:45:00,1.08300,1.08350,1.08290,1.08340,1600
2026.05.05 13:00:00,1.08340,1.08380,1.08330,1.08370,1500
2026.05.05 13:15:00,1.08370,1.08400,1.08360,1.08390,1450
2026.05.05 13:30:00,1.08390,1.08420,1.08380,1.08410,1400
2026.05.05 13:45:00,1.08410,1.08440,1.08400,1.08430,1380
